t,mse_t,rmse_t,mse_db_t
0,0.8673218488693237,0.9313011590615163,-0.618197130771483
1,0.6084927916526794,0.7800594795608086,-2.1574456215701803
2,0.515228807926178,0.7177944050535487,-2.8799986231439108
3,0.47894662618637085,0.6920596984266393,-3.1971288166743324
4,0.45386382937431335,0.673694166053346,-3.430744269268528
5,0.4246590733528137,0.6516587092587758,-3.7195959225515542
6,0.38751864433288574,0.6225099552078551,-4.117073978386955
7,0.36435309052467346,0.6036166751545831,-4.38477542340315
8,0.33914175629615784,0.5823587865707512,-4.696187351037552
9,0.31570786237716675,0.5618788680642535,-5.007146023190609
10,0.29865142703056335,0.5464900978339529,-5.248354057452417
11,0.2770936191082001,0.5263968266509593,-5.573734750045074
12,0.25834891200065613,0.5082803478402997,-5.877933630833139
13,0.2538164258003235,0.5038019708182209,-5.954802758441162
14,0.2437611073255539,0.49372169015099376,-6.130355859256625
15,0.2387910634279251,0.4886625250906039,-6.219819303758428
16,0.2290187031030655,0.4785589860226903,-6.401290490017132
17,0.22222250699996948,0.4714048228433492,-6.532119572273814
18,0.21586567163467407,0.4646134647582591,-6.658164165124755
19,0.20587360858917236,0.45373297057759904,-6.863993230211523
20,0.20067192614078522,0.4479642018518726,-6.975133807509376
21,0.19470764696598053,0.4412568945251513,-7.106169916237153
22,0.19255991280078888,0.43881649103103326,-7.154341193997526
23,0.191637322306633,0.43776400298178125,-7.175199060437919
24,0.19111374020576477,0.437165575275278,-7.187080880311826
25,0.19281798601150513,0.4391104485337432,-7.148524576675125
26,0.18222258985042572,0.4268753797660691,-7.393977852156196
27,0.18867003917694092,0.43436164560990065,-7.242970603714353
28,0.18301233649253845,0.4277994115149511,-7.3751963436762225
29,0.17051677405834198,0.41293676762712955,-7.68232892198454
30,0.17141756415367126,0.4140260428447361,-7.659446805213015
31,0.1688603162765503,0.4109261688874904,-7.7247240162544255
32,0.17151105403900146,0.4141389308420563,-7.657078840560048
33,0.16452792286872864,0.40562041722370024,-7.837603851383013
34,0.16404466331005096,0.40502427496392235,-7.8503789348698945
35,0.16223108768463135,0.4027792046328005,-7.898659200618733
36,0.16318625211715698,0.4039631816356003,-7.873164318637267
37,0.1597726196050644,0.3997156734543498,-7.96497644128875
38,0.15512540936470032,0.3938596315499982,-8.093170594200737
39,0.15063033998012543,0.3881112469126931,-8.220875436807646
40,0.1509959101676941,0.3885819220803949,-8.210348157244256
41,0.14922066032886505,0.3862909011727626,-8.261710425092147
42,0.15132556855678558,0.389005872136637,-8.20087685691566
43,0.1487756073474884,0.3857144116409036,-8.274682681367729
44,0.14951258897781372,0.38666857769647345,-8.25322238152821
45,0.15124909579753876,0.3889075671641512,-8.203072129816967
46,0.15064728260040283,0.3881330733142988,-8.220386977927747
47,0.1499605029821396,0.3872473408328837,-8.240231115820327
48,0.15108183026313782,0.38869246231839616,-8.207877626030083
49,0.15282689034938812,0.3909307999497969,-8.158002236210827
50,0.1524895876646042,0.3904991519383931,-8.16759809918438
51,0.1457671821117401,0.38179468580866877,-8.363402416701039
52,0.148820698261261,0.3857728583781666,-8.273366620998955
53,0.1465083807706833,0.38276413203261783,-8.341375314985564
54,0.1528273969888687,0.39093144794051643,-8.157987838851465
55,0.14775988459587097,0.3843954794165391,-8.304434567624279
56,0.14604386687278748,0.38215686160631407,-8.355166765489262
57,0.14013351500034332,0.37434411308359494,-8.534579843501692
58,0.1426251083612442,0.37765739548067134,-8.458040126128347
59,0.1352662444114685,0.3677855957096043,-8.68810567739847
60,0.13864479959011078,0.37235037208268074,-8.58096415676275
61,0.13951276242733002,0.3735140725961072,-8.55386061937047
62,0.13596734404563904,0.36873750018900847,-8.665653857750828
63,0.134588822722435,0.36686349330838985,-8.709910057251895
64,0.1335679143667221,0.36546944382085095,-8.742978553861523
65,0.13579638302326202,0.36850560785863495,-8.671117974631613
66,0.1356348991394043,0.3682864362685711,-8.676285512241224
67,0.13617295026779175,0.36901619241950856,-8.659091531878365
68,0.13357122242450714,0.3654739695580345,-8.742870994088799
69,0.13300533592700958,0.3646989661721151,-8.761309355955358
