t,mse_t,rmse_t,mse_db_t
0,0.0017869232688099146,0.04227201519693513,-27.478940958703518
1,0.00098859379068017,0.03144191137129183,-30.04982121653724
2,0.0007878790493123233,0.02806918326763932,-31.03540447799721
3,0.0007614725618623197,0.027594792296053248,-31.183457409772814
4,0.0007888751570135355,0.028086921458457058,-31.029917203774847
5,0.0007531518931500614,0.027443612975518755,-31.23117427910154
6,0.0007473421865142882,0.027337559995623022,-31.264805016816773
7,0.0007716793334111571,0.02777911685801327,-31.125631305724895
8,0.0007738597341813147,0.02781833449689817,-31.113377501587635
9,0.0007823347114026546,0.02797024689563277,-31.06607400118034
10,0.0007882751524448395,0.02807623821748276,-31.033221628017863
11,0.0007565686828456819,0.027505793623265662,-31.21151639713643
12,0.0007170099997892976,0.026777042401828054,-31.444747873963166
13,0.0006937512662261724,0.0263391584190948,-31.58796211199664
14,0.0007374361157417297,0.02715577499799499,-31.322755967498974
15,0.0007284224266186357,0.026989302077279353,-31.37616691643199
16,0.0006946074427105486,0.026355406327934854,-31.58260567540079
17,0.0006932290270924568,0.02632924281274448,-31.591232606693893
18,0.0007398509187623858,0.02720020071180332,-31.3085578254138
19,0.0007215486839413643,0.026861658250029247,-31.417343611002227
20,0.000749846687540412,0.027383328642449807,-31.250275226902254
21,0.0007465932867489755,0.027323859294561145,-31.269159195007717
22,0.0007626578444615006,0.027616260508285705,-31.17670258362464
23,0.0007985074771568179,0.02825787460437918,-30.977210128094775
24,0.0007984081748872995,0.028256117477234898,-30.977750249643368
25,0.0007065506651997566,0.026581020770462458,-31.508566903932792
26,0.0007457858300767839,0.027309079627054148,-31.273858724870788
27,0.0007477974868379533,0.027345886104457345,-31.262159987354806
28,0.0007534114993177354,0.027448342378324695,-31.229677554466274
29,0.000761785835493356,0.027600468030331587,-31.181671067922487
30,0.0007467427058145404,0.02732659338107369,-31.2682901089319
31,0.000730321160517633,0.02702445486069299,-31.364861158135607
32,0.000728761195205152,0.02699557732676136,-31.374147605643515
33,0.0007669238839298487,0.027693390618157405,-31.15247737002278
34,0.0007409580866806209,0.027220545304615425,-31.30206357794148
35,0.0007347295759245753,0.027105895593478833,-31.338724776426098
36,0.0007503546657972038,0.027392602391835715,-31.247334126205445
37,0.000731478095985949,0.027045851733416514,-31.357986742343122
38,0.0007352131069637835,0.027114813422994145,-31.335867591963385
39,0.0007491182768717408,0.027370025152924884,-31.25449606950198
40,0.000718449882697314,0.026803915435945437,-31.436035217916157
41,0.0007443297654390335,0.02728240761807934,-31.28234613404409
42,0.0007486471440643072,0.027361417069740872,-31.257228278196347
43,0.0007502143271267414,0.027390040655806653,-31.24814646220125
44,0.0007230002665892243,0.026888664276777014,-31.408615425696354
45,0.0007282285951077938,0.026985710943160157,-31.377322717716154
46,0.0007825387292541564,0.027973893709209597,-31.06494159231817
47,0.0007302610320039093,0.02702334235441481,-31.365218734475558
48,0.0007885392406024039,0.02808094087815442,-31.031766897123163
49,0.0007272306829690933,0.02696721496501063,-31.383278058545002
50,0.0007360473391599953,0.02713019239076633,-31.330942529521543
51,0.0007777400314807892,0.027887990811114184,-31.091655466617283
52,0.000764217518735677,0.027644484417975262,-31.167830108729063
53,0.0007730023353360593,0.027802919546983898,-31.118191940221255
54,0.000779678113758564,0.0279227168047553,-31.080846566313088
55,0.0007492350996471941,0.027372159206887462,-31.253818852930266
56,0.0007349798688665032,0.02711051214688692,-31.337245560993757
57,0.0007753022946417332,0.027844250656854336,-31.10528930658678
58,0.0007758550927974284,0.02785417550022668,-31.10219384766388
59,0.0007658639806322753,0.027674247607338404,-31.15848355310259
60,0.0007567279390059412,0.02750868842758486,-31.21060231233816
61,0.0007359194569289684,0.02712783546339384,-31.331697146372353
62,0.0007745266193524003,0.0278303183480247,-31.10963651579151
63,0.0007442659116350114,0.02728123735527792,-31.28271871815379
64,0.0007465644739568233,0.027323332043453694,-31.26932680270425
65,0.0007238151738420129,0.02690381336989262,-31.40372316714445
66,0.0007525623077526689,0.027432869112666083,-31.23457537205306
67,0.0007780427695252001,0.02789341803231006,-31.08996528899449
68,0.0007379819289781153,0.027165822810622086,-31.319542726500952
69,0.0007356322021223605,0.027122540480610597,-31.33339267881564
70,0.0007516822079196572,0.027416823446921368,-31.239657292454062
71,0.0007590558379888535,0.027550968004570246,-31.19726275173731
72,0.0007526764529757202,0.027434949480101476,-31.233916703914886
73,0.0007140078232623637,0.02672092482049159,-31.462970297069326
74,0.0007656944217160344,0.02767118395941949,-31.159445168433336
75,0.0007444843067787588,0.02728523972368135,-31.281444524466885
76,0.0006884841714054346,0.02623898190489552,-31.621060399390792
77,0.0007426416268572211,0.027251451830264405,-31.29220711172728
78,0.000792059872765094,0.02814355828187143,-31.012419883237705
79,0.000833346857689321,0.02886774770724798,-30.79174197841006
80,0.0008056283695623279,0.028383593316603305,-30.9386524885037
81,0.0007861076155677438,0.028037610732153048,-31.045179963931226
82,0.000675749615766108,0.02599518447263085,-31.70214192570719
83,0.0007215189980342984,0.026861105674083827,-31.417522291819378
84,0.0007425886578857899,0.02725047995698039,-31.29251688364953
85,0.0007117362110875547,0.02667838471661196,-31.47680937959153
86,0.0007076059118844569,0.0266008629913478,-31.502085473167636
87,0.0007787551730871201,0.02790618521201205,-31.085990554072794
88,0.0007662035641260445,0.02768038229732466,-31.1565583215368
89,0.0007668843609280884,0.02769267702711474,-31.152701187069454
90,0.0007858063327148557,0.028032237383320932,-31.046844755852522
91,0.00073020881973207,0.02702237627841175,-31.36552925785309
92,0.0007813487318344414,0.027952615831697065,-31.071550883913183
93,0.0007272470975294709,0.02696751930618519,-31.383180033630623
94,0.0007227015448734164,0.02688310891384061,-31.41041016917136
95,0.0007298672571778297,0.027016055544394887,-31.367561189443272
96,0.0007731742807663977,0.027806011594013223,-31.117226009795008
97,0.0007895394810475409,0.028098745186352022,-31.026261481479285
98,0.000747918151319027,0.02734809227933508,-31.26145926701641
99,0.0007381914765574038,0.027169679360592457,-31.318309736424705
100,0.0014356129104271531,0.03788948284718535,-28.429626447229857
101,0.001971580320969224,0.04440248102267737,-27.051855253403648
102,0.00233449530787766,0.0483166152361448,-26.318069946245394
103,0.002505319193005562,0.05005316366630147,-26.011369344954005
104,0.002540852641686797,0.05040687097694914,-25.950205213951328
105,0.002609087387099862,0.05107922657108134,-25.835113746752924
106,0.002622077474370599,0.051206224957231504,-25.813544803825643
107,0.002802990609779954,0.052943277285978,-25.523783571550123
108,0.0028314953669905663,0.05321179725390382,-25.479841446474033
109,0.002991792978718877,0.05469728493004819,-25.24068461379307
110,0.0028393829707056284,0.053285860889223026,-25.46776026689685
111,0.002789346966892481,0.052814268591853855,-25.544974604795527
112,0.0028134877793490887,0.05304232064445417,-25.507549669051485
113,0.002862446941435337,0.053501840542502246,-25.432625546976148
114,0.0029731944669038057,0.0545270067664071,-25.26776684087634
115,0.0027872989885509014,0.05279487653694155,-25.54816442799713
116,0.0028338369447737932,0.05323379513780502,-25.476251420992217
117,0.0028130863793194294,0.05303853673810609,-25.508169320773106
118,0.0028479997999966145,0.05336665438264436,-25.45460045533907
119,0.0028084381483495235,0.05299469924765612,-25.51535136369036
120,0.002731782617047429,0.0522664578582424,-25.635538628136942
121,0.0027096092235296965,0.05205390689976783,-25.67093338019304
122,0.0027773897163569927,0.052700946067001424,-25.563631768618023
123,0.002725897589698434,0.052210129186762544,-25.644904643723365
124,0.0028203066904097795,0.053106559768165924,-25.497036623507242
125,0.0029792727436870337,0.05458271469693527,-25.25889736578121
126,0.002922564744949341,0.05406075050301597,-25.342358589299316
127,0.002935017691925168,0.054175803565108,-25.323892765348276
128,0.0030137549620121717,0.05489767720051707,-25.208920615675446
129,0.0028734297957271338,0.05360438224368539,-25.41599409179586
130,0.0028722924180328846,0.0535937721944713,-25.417713481785583
131,0.002762841759249568,0.05256274116947829,-25.586439884286687
132,0.002835092833265662,0.053245589801087394,-25.474327158487004
133,0.002914236392825842,0.05398366783413148,-25.354752226635465
134,0.0028876368887722492,0.05373673686382761,-25.39457418829918
135,0.002865683985874057,0.05353208370569986,-25.42771703247149
136,0.0029279410373419523,0.05411045220049406,-25.334376733154436
137,0.0030118143185973167,0.05487999925835747,-25.21171806340629
138,0.002992997644469142,0.054708295938268287,-25.23893624955484
139,0.0029415234457701445,0.05423581331343842,-25.31427685665786
140,0.003059851936995983,0.05531592842026592,-25.142995880613512
141,0.002982304897159338,0.05461048339979548,-25.254479583394765
142,0.0030491261277347803,0.055218892851403495,-25.15824610581719
143,0.0031475296709686518,0.05610284904502312,-25.02030167216217
144,0.0030784790869802237,0.055484043534877875,-25.116637923534604
145,0.0028925295919179916,0.05378224234743278,-25.387221893197033
146,0.0029359955806285143,0.0541848279560664,-25.322446024719394
147,0.0029466901905834675,0.05428342463941887,-25.30665522647829
148,0.003054269589483738,0.055265446614351524,-25.150926319626876
149,0.003053497988730669,0.055258465312842966,-25.152023617278697
150,0.002944288542494178,0.05426129875421503,-25.31019631062643
151,0.00299145863391459,0.05469422852472269,-25.2411699823288
152,0.0029690207447856665,0.05448872126216275,-25.27386767943036
153,0.0029864823445677757,0.05464871768456947,-25.248400483635713
154,0.0028427441138774157,0.053317390351342364,-25.462622310350227
155,0.002814189065247774,0.05304893085866834,-25.506467287791782
156,0.0029439227655529976,0.054257928135462354,-25.310735879942328
157,0.0029586171731352806,0.054393172118706964,-25.2891122623879
158,0.0028433953411877155,0.05332349708325323,-25.461627524939843
159,0.0028313605580478907,0.05321053051838415,-25.480048221220564
160,0.0028547479305416346,0.05342984119891837,-25.44432233200198
161,0.002958571771159768,0.054392754767154126,-25.289178908315954
162,0.00295043783262372,0.05431793288246268,-25.301135317563535
163,0.0028169595170766115,0.053075036665805625,-25.502193942767654
164,0.0028757185209542513,0.05362572629768525,-25.4125362551408
165,0.0028744791634380817,0.05361416942784884,-25.41440835126081
166,0.0027668846305459738,0.052601184687666246,-25.580089490490863
167,0.0029139185789972544,0.0539807241429499,-25.355225874960993
168,0.002892418997362256,0.05378121416779521,-25.387387946895004
169,0.002996796742081642,0.054743006330321704,-25.233427121046944
170,0.0030275487806648016,0.055023165854618014,-25.189088506612517
171,0.0030363877303898335,0.055103427573879954,-25.176427721648587
172,0.003096496919170022,0.055646176141492615,-25.091293477513336
173,0.0031248300801962614,0.055900179607907,-25.051735934365414
174,0.003136507235467434,0.05600452870498451,-25.035537062710894
175,0.0030296766199171543,0.055042498307372956,-25.186037245275607
176,0.0029994118958711624,0.05476688685575585,-25.229638904189578
177,0.0028917870949953794,0.0537753390969818,-25.38833684708198
178,0.002924923552200198,0.054082562367182625,-25.338854804506845
179,0.003016592701897025,0.05492351683839105,-25.20483323984664
180,0.0030528069473803043,0.05525221214920091,-25.15300658635624
181,0.0030395560897886753,0.055132169282449565,-25.17189838046622
182,0.0030604854691773653,0.05532165461351789,-25.14209678138677
183,0.003083212533965707,0.055526683080891,-25.109965371784124
184,0.003063812619075179,0.05535171739950965,-25.137377994148068
185,0.0030390990432351828,0.05512802411872915,-25.17255146175537
186,0.003078499576076865,0.05548422817411147,-25.116609018767843
187,0.002952377777546644,0.054335787263521305,-25.298280722532304
188,0.003027093829587102,0.05501903152171166,-25.18974117186684
189,0.003009994048625231,0.05486341265930539,-25.214343630944548
190,0.0030900100246071815,0.05558785860785772,-25.100401116351915
191,0.0031469969544559717,0.056098101166224615,-25.021036773802674
192,0.0030257401522248983,0.05500672824505106,-25.191683715211827
193,0.0030609581153839827,0.05532592624967053,-25.141426130299326
194,0.002958169672638178,0.054389058390803,-25.28976919663947
195,0.0029366451781243086,0.054190821899324504,-25.321485241928066
196,0.0029463176615536213,0.05427999319780375,-25.30720430873403
197,0.002892895834520459,0.05378564710515677,-25.38667203858902
198,0.002886529080569744,0.053726428138949865,-25.39624062808568
199,0.0028557709883898497,0.05343941418456839,-25.442766226894168
