t,mse_t,rmse_t,mse_db_t
0,0.059763386845588684,0.24446551258938076,-12.235647986312262
1,0.023377660661935806,0.15289754956157997,-16.311989496516436
2,0.016231924295425415,0.12740456936635128,-17.896299914894755
3,0.013687553815543652,0.11699381956130696,-18.6367416029086
4,0.010902443900704384,0.10441476859479402,-19.624761393417366
5,0.009557350538671017,0.09776170282207147,-20.196624849111295
6,0.008850328624248505,0.09407618521309473,-20.530406030820583
7,0.008300542831420898,0.09110731491719476,-20.808935050959875
8,0.007530054543167353,0.08677588687629388,-21.232018780209707
9,0.007132945116609335,0.08445676477707002,-21.467311175810853
10,0.006978926248848438,0.08353996797251265,-21.56211391140687
11,0.006622444838285446,0.08137840523311726,-21.789816504755052
12,0.006571346428245306,0.08106384168200584,-21.823456370691893
13,0.006664857268333435,0.0816385770842035,-21.76209146811101
14,0.0063955713994801044,0.07997231645688466,-21.941206482837856
15,0.006398598663508892,0.07999124116744841,-21.93915129038531
16,0.006271053105592728,0.07918998109352425,-22.026595214430806
17,0.006061097607016563,0.07785305136612543,-22.174487221197765
18,0.006069806404411793,0.07790896228555347,-22.168251604628782
19,0.0059897941537201405,0.07739376043144654,-22.225881023919204
20,0.0059858025051653385,0.0773679682114332,-22.228776163183866
21,0.0058831339702010155,0.07670159040203153,-22.303912617848173
22,0.005957269109785557,0.0771833473605904,-22.249527809226283
23,0.005856184288859367,0.07652570998598685,-22.32385264877369
24,0.0058448133058846,0.07645137870492984,-22.332293564472284
25,0.0058629862032830715,0.07657013910972783,-22.318811277911674
26,0.005569225177168846,0.0746272415219057,-22.542052221847882
27,0.005934056825935841,0.07703282953349072,-22.266482990922817
28,0.005902645643800497,0.07682867722276948,-22.289532881935777
29,0.005987789481878281,0.07738080822709388,-22.22733476943844
30,0.006081185303628445,0.07798195498721769,-22.16011762724942
31,0.006346408277750015,0.0796643475950818,-21.974719922623414
32,0.0061929007060825825,0.07869498526642331,-22.08105883198264
33,0.0061180926859378815,0.07821823755325788,-22.133839479648636
34,0.006049897987395525,0.0777810901658978,-22.18251948303684
35,0.005918133072555065,0.07692940317300703,-22.278152737095862
36,0.0058270725421607494,0.07633526407998305,-22.345495752745293
37,0.00584397790953517,0.07644591493032947,-22.33291434384748
38,0.00579445157200098,0.07612129512824241,-22.369876624656705
39,0.005844268947839737,0.07644781846357512,-22.332698064483665
40,0.00574846938252449,0.07581866117602243,-22.40447777434555
41,0.005821452010422945,0.07629844041933587,-22.349686783287407
42,0.005742756184190512,0.0757809750807583,-22.40879621836269
43,0.00581413134932518,0.07625045146964823,-22.355151611375263
44,0.0057789781130850315,0.07601959032436989,-22.381489503483593
45,0.005990720819681883,0.07739974689675595,-22.225209189836196
46,0.006263868883252144,0.07914460741738595,-22.031573416072092
47,0.006222333759069443,0.07888177076530066,-22.060466975290506
48,0.006071230862289667,0.07791810355937616,-22.16723252498128
49,0.00596986711025238,0.07726491513133488,-22.240353361949925
50,0.00621365662664175,0.0788267507045784,-22.06652749998819
51,0.006252504885196686,0.07907278220220082,-22.03945960275087
52,0.005756760947406292,0.07587332171064011,-22.398218044823118
53,0.005871908739209175,0.07662838076854538,-22.312207028136925
54,0.00583394430577755,0.07638026123140422,-22.34037721221989
55,0.005784798879176378,0.0760578653340756,-22.377117356201413
56,0.005972115322947502,0.07727946249132109,-22.238718145377412
57,0.0059183016419410706,0.07693049877611005,-22.278029036410764
58,0.005822697654366493,0.07630660295391542,-22.348757602009705
59,0.005992409773170948,0.07741065671579687,-22.223984963529617
60,0.0059458669275045395,0.07710944771884014,-22.2578481482452
61,0.005947666708379984,0.07712111713648852,-22.256533761902606
62,0.0059149907901883125,0.0769089773055676,-22.2804592724459
63,0.005937151610851288,0.07705291435663733,-22.26421860806902
64,0.00587449362501502,0.07664524528641696,-22.310295631566063
65,0.005896460730582476,0.07678841534100359,-22.294085894413882
66,0.005868811625987291,0.0766081694467848,-22.314498300173828
67,0.005805406719446182,0.07619321964221083,-22.361673487378848
68,0.005953694693744183,0.07716018852843856,-22.25213439797091
69,0.00586108211427927,0.07655770447367966,-22.320221940716216
70,0.005767753813415766,0.07594572939550825,-22.389932850009735
71,0.0060010263696312904,0.0774662918283255,-22.217744648586
72,0.005929088685661554,0.0770005758787657,-22.270120535502326
73,0.006089693866670132,0.07803649060965089,-22.154045391171458
74,0.005992732010781765,0.07741273803956146,-22.223751431012776
75,0.005644593387842178,0.07513050903489327,-22.48367337313262
76,0.005965676158666611,0.0772377897059892,-22.24340325617161
77,0.006464080885052681,0.08039950799011572,-21.894932178720424
78,0.006281588226556778,0.0792564711967217,-22.019305360679596
79,0.006208730861544609,0.07879550026203659,-22.06997165710371
80,0.005943559110164642,0.07709448171020182,-22.259534137704016
81,0.006078123115003109,0.0779623185584107,-22.162305073450895
82,0.006087804678827524,0.07802438515507523,-22.15539289921482
83,0.005888982675969601,0.07673970729661145,-22.299597232727706
84,0.005846263840794563,0.07646086476619633,-22.331215889074993
