t,mse_t,rmse_t,mse_db_t
0,0.0005671754479408264,0.0238154455751058,-32.46282577286561
1,0.0003755787038244307,0.019379853039288783,-34.25299041202904
2,0.0003262243699282408,0.018061682367050993,-34.86483598997669
3,0.0003362687712069601,0.018337632650016745,-34.7331346311129
4,0.00033469864865764976,0.018294771074207235,-34.75346041098185
5,0.00035444204695522785,0.018826631322550188,-34.5045476399303
6,0.00036697997711598873,0.019156721460521074,-34.35357630748622
7,0.0003515154239721596,0.01874874459722996,-34.54055614032394
8,0.0003535279829520732,0.01880233982652354,-34.51576204609117
9,0.00035658921115100384,0.018883569873067007,-34.47831800836678
10,0.0003539191384334117,0.018812738727612514,-34.51095951939236
11,0.0003512319817673415,0.01874118410793036,-34.54405945861899
12,0.00032895998447202146,0.0181372540499388,-34.82856927520945
13,0.0003548373351804912,0.01883712651070994,-34.49970690954703
14,0.00033819919917732477,0.0183901930163151,-34.708274251039796
15,0.000352814415236935,0.01878335473862257,-34.52453678840784
16,0.0003427736519370228,0.01851414734566577,-34.64992568482029
17,0.00034923385828733444,0.018687799717658965,-34.568836579947245
18,0.0003421351430006325,0.018496895496288898,-34.65802314217822
19,0.00032451472361572087,0.01801429220412839,-34.8876559396377
20,0.0003593774454202503,0.018957253108513646,-34.44449182755422
21,0.00034000095911324024,0.01843911492217672,-34.68519857848921
22,0.00035357032902538776,0.018803465878007377,-34.51524187327556
23,0.0003596512251533568,0.018964472709605103,-34.44118455934762
24,0.00033664220245555043,0.018347811925555332,-34.7283144051505
25,0.0003442951128818095,0.018555190995562656,-34.63069141871353
26,0.0003143353096675128,0.017729503931794392,-35.02606831415005
27,0.00031604900141246617,0.017777767053611265,-35.00245577529671
28,0.00031411892268806696,0.017723400426782297,-35.029059006868934
29,0.0003277237992733717,0.018103143353389535,-34.84492019045474
30,0.0003296089416835457,0.018155135408020114,-34.820010152056604
31,0.0003410961071494967,0.01846878737625989,-34.67123237066188
32,0.0003284395788796246,0.018122902054572402,-34.83544513387863
33,0.0003477811114862561,0.018648890355360454,-34.5869400887744
34,0.0003415874089114368,0.018482083456997936,-34.66498146007225
35,0.0003390122437849641,0.01841228513207864,-34.6978461651012
36,0.0003250123409088701,0.018028098649299377,-34.88100148292297
37,0.0003529404057189822,0.018786708219349718,-34.52298619406312
38,0.0003304265846963972,0.01817763968991566,-34.80925018487001
39,0.00032182515133172274,0.017939485815700592,-34.92380017857445
40,0.00032942439429461956,0.01815005218434976,-34.82244243917714
41,0.0003469348303042352,0.01862618668177239,-34.5975209724761
42,0.0003274155023973435,0.018094626340362584,-34.84900761557452
43,0.00033794916816987097,0.018383393815339728,-34.711486181942405
44,0.0003596531751099974,0.018964524120314682,-34.44116101283772
45,0.0003313871566206217,0.018204042315393076,-34.796643272892815
46,0.0003431645454838872,0.018524700955316047,-34.644975882362
47,0.00036117417039349675,0.019004582878703147,-34.42283316101288
48,0.0003725512360688299,0.019301586361458217,-34.28813991340395
49,0.0003551551199052483,0.018845559686707324,-34.495819201709494
50,0.00033892711508087814,0.018409973250411802,-34.69893685045962
51,0.00032515195198357105,0.018031970274586497,-34.87913634449719
52,0.00033432082273066044,0.01828444209514363,-34.75836573107114
53,0.0003284344566054642,0.018122760733548966,-34.83551286605504
54,0.0003377744578756392,0.018378641350100915,-34.71373194383329
55,0.00034987140679731965,0.018704849820228967,-34.5609154873617
56,0.00032648094929754734,0.01806878383559744,-34.86142155449662
57,0.00031741245766170323,0.017816073014604066,-34.983760322517334
58,0.0003522321640048176,0.0187678492109463,-34.531709890501254
59,0.00033172391704283655,0.018213289572255653,-34.79223215048894
60,0.0003341787669342011,0.018280557073957048,-34.760211477887054
61,0.00032926120911724865,0.018145556180984054,-34.824594313247054
62,0.00036896546953357756,0.019208473899130496,-34.330142763686865
63,0.00034675991628319025,0.018621490710552423,-34.59971110570489
64,0.00034725110162980855,0.018634674712208112,-34.593563678193235
65,0.000361524464096874,0.01901379667759372,-34.418623089841425
66,0.000344486121321097,0.01856033731700739,-34.62828270287789
67,0.0003172164724674076,0.01781057192982324,-34.98644268655976
68,0.00033284429810009897,0.018244020886309546,-34.77758878474587
69,0.00035550413304008543,0.01885481723698444,-34.491553458594794
70,0.000333984789904207,0.01827525074805287,-34.762733110659354
71,0.0003259863588027656,0.018055092323296648,-34.868005730015014
72,0.0003574549627956003,0.018906479386591263,-34.46778668943975
73,0.00036392943002283573,0.01907693450276631,-34.38982822732778
74,0.00034757217508740723,0.01864328766841855,-34.58954998304173
75,0.0003447969793342054,0.018568709684148907,-34.624365475579765
76,0.000348578643752262,0.018670260944942948,-34.57699224181453
77,0.0003535296127665788,0.018802383167209915,-34.51574202454128
78,0.0003415157552808523,0.018480144893394432,-34.66589256041892
79,0.00033418103703297675,0.0182806191643767,-34.760181976071834
80,0.0003405724128242582,0.018454604109117544,-34.67790533835032
81,0.0003252412425354123,0.018034446000235557,-34.87794388447389
82,0.000333213567500934,0.018254138366434445,-34.7727732367933
83,0.0003394995292183012,0.01842551299742564,-34.6916082361628
84,0.00035574715002439916,0.018861260562974023,-34.48858570466826
85,0.0003280322125647217,0.018111659575111325,-34.84083506738955
86,0.0003163687069900334,0.017786756505614884,-34.998064804640634
87,0.0003389375633560121,0.018410257014936322,-34.698802970398276
88,0.0003315969370305538,0.018209803322127172,-34.793894896925494
89,0.0003389274061191827,0.018409981154775327,-34.69893312115411
90,0.00033418944803997874,0.018280849215503603,-34.76007266981101
91,0.00033912662183865905,0.01841539089562475,-34.696381162560876
92,0.000345820386428386,0.018596246568283233,-34.6114940825012
93,0.00034000418963842094,0.018439202521758388,-34.68515731411754
94,0.0003393834049347788,0.018422361546087916,-34.69309397496999
95,0.0003345241420902312,0.018290001150635043,-34.755725344037074
96,0.00032289745286107063,0.017969347591414404,-34.909353808507376
97,0.00034003888140432537,0.018440143204550376,-34.68471421152141
98,0.00034533237339928746,0.01858312065825564,-34.61762706534305
99,0.0003345813602209091,0.01829156527530952,-34.75498257571749
100,0.0009561735205352306,0.030922055567753425,-30.19463287459583
101,0.0012358460808172822,0.03515460255524563,-29.080356153428696
102,0.0013757601846009493,0.03709124134618508,-28.614572634707432
103,0.001506817527115345,0.038817747579108,-28.219393367796222
104,0.001468880451284349,0.038325976194799646,-28.330135489750706
105,0.0014974424848333001,0.038696801997494576,-28.246498494055736
106,0.0014941642293706536,0.03865442056700182,-28.256016649104765
107,0.0015118184965103865,0.038882110237362204,-28.20500345538236
108,0.0016105256509035826,0.04013135495972672,-27.93032353764397
109,0.0015349163440987468,0.03917800842435392,-28.139152894287086
110,0.001484857639297843,0.03853385056411886,-28.28315182327306
111,0.0015101602766662836,0.038860780700679234,-28.20976957622177
112,0.0015412254724651575,0.03925844460068633,-28.12133821836794
113,0.001543695107102394,0.039289885557257535,-28.114384723801514
114,0.001480157719925046,0.0384728179358498,-28.2969200538638
115,0.0014787063701078296,0.038453951293824534,-28.301180562277164
116,0.0015497533604502678,0.03936690692002952,-28.09737413260999
117,0.0015716188354417682,0.039643648109650154,-28.036527749229666
118,0.001497740508057177,0.03870065255337663,-28.24563424073737
119,0.0015033809468150139,0.03877345673028153,-28.229309581111668
120,0.0015226404648274183,0.03902102593253307,-28.174026328260755
121,0.001509830355644226,0.0388565355589536,-28.210718472409596
122,0.0014754125149920583,0.03841109885166081,-28.31086537016354
123,0.0014503392158076167,0.038083319390615315,-28.38530409955371
124,0.0014929448952898383,0.038638645101631584,-28.259562218216622
125,0.0016068073455244303,0.04008500150336071,-27.94036191557347
126,0.0015291505260393023,0.03910435431047676,-28.15549761539556
127,0.0014914089115336537,0.038618763723527634,-28.264032662216792
128,0.001527821528725326,0.03908735765852338,-28.159273745670532
129,0.0015108088264241815,0.03886912433312824,-28.207904866085318
130,0.0014613638631999493,0.03822778914873249,-28.35241636149756
131,0.001400780980475247,0.037427008703277996,-28.536297636484292
132,0.0014203329337760806,0.03768730467645677,-28.47609842691611
133,0.0014250155072659254,0.037749377574549825,-28.46180409561873
134,0.0015612647403031588,0.039512842726171435,-28.065234483122175
135,0.001553874695673585,0.039419217339688326,-28.085840055940704
136,0.001609898405149579,0.04012353928991782,-27.932015298532995
137,0.0015995465219020844,0.039994331122073845,-27.96003124187848
