t,mse_t,rmse_t,mse_db_t
0,1.0104165077209473,1.0051947610890872,0.04500432909063948
1,2.0990118980407715,1.4487967069402012,3.2201490034457647
2,5.590147972106934,2.3643493760666874,7.474233038826625
3,13.345537185668945,3.6531544157986184,11.253360597328466
4,28.823406219482422,5.368743448841863,14.59745302463859
5,58.4385871887207,7.6445135351257445,17.666997078858145
6,115.03265380859375,10.725327678378584,20.608211391005145
7,223.6842498779297,14.95607735597572,23.496354055006726
8,431.3601379394531,20.769211297963462,26.348400093970206
9,828.74853515625,28.78799289905863,29.18422773781916
10,1590.082275390625,39.87583573281725,32.014195965366135
11,3055.701904296875,55.27840359757936,34.85110984840344
12,5882.08056640625,76.69472319792445,37.695309687099886
13,11314.681640625,106.37049233986369,40.53642338788765
14,21685.12890625,147.25871419461058,43.36162008135999
15,41294.30859375,203.21001105691127,46.15890198952876
16,78030.2265625,279.3389098613009,48.92262867901063
17,146360.59375,382.57103098640385,51.65424162647213
18,272769.75,522.2736351760444,54.357962056599696
19,505866.84375,711.2431678054982,57.04036215189741
20,934913.5625,966.909283490442,59.70771460001313
21,1724854.25,1313.337066407554,62.36752403122327
22,3180626.25,1783.4310331493057,65.0251263889703
23,5868385.0,2422.47497407094,67.68518598335979
24,10844268.0,3293.0636191850285,70.35200241985073
25,20084388.0,4481.560888797562,73.02858602695903
26,37303188.0,6107.63358429433,75.71745949010949
27,69494312.0,8336.32484971645,78.41949259725308
28,129857568.0,11395.506482820323,81.13467265053984
29,243443376.0,15602.672078845982,83.86397962057984
30,457803040.0,21396.33239599722,86.60678672241629
31,864398912.0,29400.66176125973,89.36714211574584
32,1638188928.0,40474.54666824571,92.143639863477
33,3116129024.0,55822.29862698239,94.93615431430297
34,5945932800.0,77109.87485400298,97.74219996568532
35,11374538752.0,106651.48265261014,100.55933794645838
36,21856022528.0,147837.82509222731,103.39571129648814
37,42130735104.0,205257.7284878696,106.24599036834553
38,81590468608.0,285640.4533815195,109.11639427470465
39,158541905920.0,398173.2109522186,112.001440747831
40,308737441792.0,555641.4687476088,114.89589301259274
41,602942537728.0,776493.7460971595,117.80275924516968
42,1181245112320.0,1086851.00741546,120.72340024525282
43,2321955684352.0,1523796.4707768555,123.65853926761277
44,4566941696000.0,2137040.405794893,126.59625467208686
45,8980793393152.0,2996797.1891924883,129.53314705380822
46,17656891572224.0,4202010.420289793,132.4691425009929
47,34693701435392.0,5890135.943710637,135.40250636746381
48,68284460302336.0,8263441.19010573,138.34321881239214
49,134491548942336.0,11597049.148052102,141.2869499539403
50,265204835287040.0,16285110.846630428,144.2358143798061
51,525338421493760.0,22920262.247490972,147.20439164809437
52,1041868200607744.0,32277983.217787076,150.1781278290869
53,2070941156769792.0,45507594.49553219,153.16167759128493
54,4109935809921024.0,64108781.067190975,156.13835039001424
55,8144719355838464.0,90248098.90428975,159.10876124333836
56,1.615348474314752e+16,127096360.07041083,162.0826622582916
57,3.2084979806633984e+16,179122806.49496865,165.06301770294806
58,6.393869280424755e+16,252861014.797156,168.05763753085103
59,1.2755642270246502e+17,357150420.2747983,171.05702331029022
60,2.5561525349934694e+17,505584071.6432302,174.07586766203647
61,5.13744471616127e+17,716759702.8405873,177.10747161483584
62,1.0331920413260513e+18,1016460545.8777293,180.14181052145597
63,2.0765911239706542e+18,1441038210.4478195,183.17350993365142
64,4.1580352173884047e+18,2039126091.5863945,186.18888163363098
65,8.309246865614832e+18,2882576428.4082446,189.1956166193932
66,1.6661052527805989e+19,4081795257.947903,192.2170243360015
67,3.3480087284337345e+19,5786197999.060985,195.24786581551112
68,6.7548360512976716e+19,8218780962.708321,198.2961481259109
69,1.3697305960898573e+20,11703549017.6692,201.36635156837508
70,2.7789765845508214e+20,16670262699.042332,204.43884887459916
71,5.650991556059862e+20,23771814310.354736,207.52124658358002
72,1.1445968118018851e+21,33831890455.632023,210.5865253187573
73,2.3134197526367914e+21,48098022336.02533,213.64254439391797
74,4.657050777473891e+21,68242587710.856125,216.68110973225086
75,9.385314161105624e+21,96877831112.72478,219.72448814639947
76,1.9004861664730695e+22,137858121504.43185,222.78864712746662
77,3.857378567199066e+22,196402102005.02097,225.86292263075958
