t,mse_t,rmse_t,mse_db_t
0,0.9920175671577454,0.9960007867254651,-0.03480637067475401
1,2.05574631690979,1.4337874029680238,3.129695208467098
2,5.602713584899902,2.3670051932557947,7.483984215614697
3,13.59273910522461,3.6868332082187565,11.33306981266635
4,29.64879608154297,5.445070805925573,14.720070631047356
5,60.65322494506836,7.788018037027673,17.828538973478928
6,120.12277221679688,10.960053476913188,20.796253463754685
7,233.9540557861328,15.295556733448208,23.69130578445786
8,449.2175598144531,21.19475311992223,26.524567243958902
9,853.7705078125,29.21935159808479,29.313411486929112
10,1612.0823974609375,40.15074591412888,32.07387235885988
11,3036.3447265625,55.10303736240408,34.82351076954942
12,5712.92529296875,75.58389572500712,37.568585448966125
13,10728.8798828125,103.58030644293586,40.30554383093026
14,20062.509765625,141.64218921502518,43.02385261146132
15,37259.84765625,193.02810069067664,45.71241074870873
16,68612.6875,261.94023650443626,48.36404430601172
17,125238.953125,353.8911599983814,50.97739428683492
18,226798.671875,476.2338415894024,53.55640507015192
19,408186.6875,638.8948955031649,56.10858836637846
20,731506.8125,855.2817152845021,58.64218375051051
21,1307526.625,1143.471304843283,61.16450541113194
22,2334220.25,1527.8155156955306,63.68141832363471
23,4165624.75,2040.986219943682,66.19680145029767
24,7437152.5,2727.1143173691858,68.71406686856511
25,13291902.0,3645.8060837076896,71.23587130604257
26,23792044.0,4877.708888402423,73.76431754344469
27,42684664.0,6533.350136032815,76.30271867144121
28,76759408.0,8761.244660434955,78.85131616619391
29,138397616.0,11764.25161240612,81.41128609145579
30,250110432.0,15814.8800817458,83.98131806346855
31,453221760.0,21289.00561322675,86.56310752958925
32,823400832.0,28694.96178774246,89.15611301491715
33,1499735552.0,38726.4193025898,91.76014686767587
34,2738380032.0,52329.53307645693,94.3749371930838
35,5012843008.0,70801.43365780103,97.00084103610274
36,9199027200.0,95911.55926164478,99.63741902996644
37,16920411136.0,130078.48067993415,102.28410911417356
38,31190874112.0,176609.3828537997,104.94027545860021
39,57632563200.0,240067.83041465594,107.60667935195815
40,106709180416.0,326663.71150772163,110.28201784302637
41,197981437952.0,444951.0511865322,112.96624474236725
42,368049192960.0,606670.580265765,115.65905869769321
43,685486047232.0,827940.8476648558,118.35998619341696
44,1279041208320.0,1130947.0404576864,121.0688453686152
45,2390737813504.0,1546201.0909011804,123.7853195069046
46,4475834597376.0,2115616.836144012,126.50874028979153
47,8393192374272.0,2897100.684179271,129.23927177375862
48,15762794217472.0,3970238.5592646697,131.97633205898794
49,29647007907840.0,5444906.602306416,134.7198086921175
50,55836512616448.0,7472383.329062288,137.46918285712363
51,105303269965824.0,10261738.155196905,140.2244185747289
52,198848764968960.0,14101374.577287138,142.98522897968058
53,375951204548608.0,19389461.172209196,145.75131480644492
54,711624474230784.0,26676290.488574006,148.5225087595011
55,1348524167921664.0,36722257.119105086,151.29858734178578
56,2558225866031104.0,50578907.32341995,154.0793888574097
