t,mse_t,rmse_t,mse_db_t
0,0.9977356195449829,0.9988671681184556,-0.009845230250399947
1,1.9350353479385376,1.3910554798204626,2.8668890283009194
2,5.020754337310791,2.24070398252665,7.007689721091746
3,11.940047264099121,3.455437347731705,10.77006045930437
4,25.824411392211914,5.081772465608029,14.12030431565227
5,52.55016326904297,7.249149141040138,17.205740696836575
6,103.5242691040039,10.174687666164692,20.150421730047128
7,200.29580688476562,14.152590112229126,23.01671857601766
8,382.06121826171875,19.546386322328708,25.821329561659603
9,721.65576171875,26.863651310250994,28.583300833907543
10,1355.76904296875,36.820769179482795,31.321857131983393
11,2544.4345703125,50.44238862615945,34.055912875466746
12,4780.5615234375,69.14160486593799,36.79478911718302
13,8986.4306640625,94.79678614838427,39.535872278052054
14,16861.88671875,129.85332771534968,42.26906167305238
15,31499.478515625,177.48092437111376,44.98303363959088
16,58451.3984375,241.7672402073945,47.667949060269315
17,107652.265625,328.10404695004905,50.32023174318183
18,196773.046875,443.59108069820337,52.93965610380323
19,357454.15625,597.8746994563326,55.5322035113202
20,646500.9375,804.0528200933071,58.10569158993337
21,1165793.125,1079.719002796561,60.66621489837975
22,2098428.75,1448.5954404180623,63.2189422777331
23,3773128.0,1942.454117862247,65.76701538503607
24,6780173.5,2603.876629181959,68.31240807307849
25,12187415.0,3491.04783696815,70.85911599770414
26,21933908.0,4683.365029548732,73.41116017524665
27,39541264.0,6288.184475665453,75.97050548120068
28,71407248.0,8450.28094207524,78.53742295902879
29,129236992.0,11368.244895321353,81.11386841228892
30,234368656.0,15309.103696820399,83.69899529545471
31,426053696.0,20641.068189413065,86.29464337147141
32,776095424.0,27858.489262700517,88.89915122764376
33,1417232000.0,37646.14190059852,91.51440949804608
34,2594046208.0,50931.7799414079,94.13977707947245
35,4758464000.0,68981.62074060018,96.77466788019551
36,8746346496.0,93521.90383006539,99.41826678396447
37,16109953024.0,126924.98975379119,102.0709427403515
38,29733316608.0,172433.51358712144,104.73243355360877
39,54983172096.0,234484.90803461106,107.40229791601466
40,101854576640.0,319146.6381461663,110.0798054796399
41,189012525056.0,434755.7073299901,112.76490583974693
42,351334039552.0,592734.3752069725,115.45720229135694
43,654076084224.0,808749.7043115379,118.15628269787169
44,1219487203328.0,1104303.9451745157,120.86177247410558
45,2277043863552.0,1508987.6949637462,123.57371396673601
46,4257300086784.0,2063322.5842761477,126.29134263623482
47,7970407055360.0,2823190.934981196,129.0148050174522
48,14940789276672.0,3865331.7162530823,131.7437354054827
49,28040216182784.0,5295301.330687801,134.47781357605186
50,52681800417280.0,7258222.9517479,137.21660608695376
51,99089677025280.0,9954379.791090954,139.96028412865942
52,186569470246912.0,13659043.533385199,142.7084057838118
53,351623872249856.0,18751636.52191072,145.4607835227898
54,663319513923584.0,25754990.078110766,148.21722773816805
55,1252452326178816.0,35390003.19551859,150.9776120370374
56,2366846686724096.0,48650248.5782354,153.74170127271645
57,4476548581163008.0,66907014.4391678,156.50943301979055
58,8473307439431680.0,92050570.0114436,159.28052964323373
59,1.6050751272910848e+16,126691559.59617376,162.054953648433
60,3.042664568900813e+16,174432352.75890803,164.83254077266162
61,5.771862238193254e+16,240247002.85733545,167.61315956879795
62,1.0956513970697011e+17,331006253.27472305,170.39672396838768
63,2.081198386928681e+17,456201532.97952443,173.18313480616155
64,3.955678967108731e+17,628941886.5927702,175.97221038114566
65,7.523005616923607e+17,867352616.6977078,178.76391386077864
66,1.4315942384951624e+18,1196492473.2296324,181.55819941887015
67,2.72578773154739e+18,1650995981.687233,184.35492032493866
68,5.192770766881423e+18,2278765184.6738014,187.15399151234408
69,9.897897131727913e+18,3146092359.0587597,189.95542935901173
70,1.8875857073751458e+19,4344635436.230692,192.75906680245606
71,3.6015138885523735e+19,6001261441.190822,195.56485093889893
72,6.875084360371719e+19,8291612846.950658,198.3727803152327
73,1.3130337952184716e+20,11458768673.895428,201.18275904222008
74,2.5088249943095142e+20,15839270798.586386,203.99470367708997
75,4.7958283555663826e+20,21899379798.44722,206.80863631148173
76,9.171598937013501e+20,30284647821.97987,209.6244505529796
77,1.7547285156131116e+21,41889479772.528946,212.44209933741158
78,3.3585934805837294e+21,57953373332.22053,215.2615744063134
79,6.431033870343872e+21,80193727125.9035,218.0828079688874
80,1.2319021445819595e+22,110991087235.95601,220.90576211273262
81,2.3607072109542095e+22,153645930989.2133,223.73042126616215
82,4.525553774834002e+22,212733489954.7789,226.55671729759874
83,8.678876933986503e+22,294599336964.40155,229.38463530138645
84,1.6650022193730987e+23,408044387214.565,232.2141481673774
85,3.1953677065900905e+23,565275835905.8071,235.04520841760257
86,6.134495005901607e+23,783230170888.5841,237.87778817237893
87,1.1781143526919814e+24,1085409762574.4764,240.71187446930543
88,2.263301358615206e+24,1504427252682.9624,243.54742384122665
89,4.349519450499947e+24,2085550155354.684,246.38441277293794
90,8.36147616658756e+24,2891621719137.474,249.2228295619616
91,1.6079157506238143e+25,4009882480352.528,252.06263289438715
92,3.0930010888212224e+25,5561475603489.799,254.90380072886776
93,5.951576803436327e+25,7714646332422.717,257.746320424191
94,1.1455569187365795e+26,10703069273514.861,260.5901667264291
95,2.2056216641937892e+26,14851335509622.658,263.4353101887284
96,4.247897778549762e+26,20610428861500.582,266.2817405733285
97,8.183579248563649e+26,28606955882378.76,269.1294329241422
98,1.5770186441153435e+27,39711694047413.08,271.9783682775411
99,3.0398581405204337e+27,55134908547311.78,274.8285331708681
100,5.861243669556438e+27,76558759587368.17,277.67989776686863
101,1.1304345398887183e+28,106321895199846.69,280.5324541870419
102,2.1808138703315614e+28,147675789157585.38,283.38618600683054
103,4.208303834643904e+28,205141508102185.5,286.24107087834295
104,8.12286986274024e+28,285006488746137.9,289.0970949541746
105,1.5682820418096267e+29,396015409019602.0,291.95424169436825
106,3.028656120539089e+29,550332274225225.56,294.8124996549844
107,5.850393253371575e+29,764878634384016.2,297.6718505959143
108,1.130388180416956e+30,1063197150305133.1,300.53227607787306
109,2.1846255189934766e+30,1478047874391583.0,303.3937700241716
110,4.223096742098823e+30,2055017455424362.8,306.2563103029501
111,8.165615099649106e+30,2857554041422332.5,309.1198890485001
112,1.5792431304309087e+31,3973969212803376.5,311.9844899642761
