t,mse_t,rmse_t,mse_db_t
0,1.010149598121643,1.0050619872035969,0.043856953941824775
1,1.9359437227249146,1.39138194710328,2.8689272835188544
2,5.014081954956055,2.2392145843924953,7.001914282050254
3,11.910210609436035,3.451117298707193,10.759194412230961
4,25.682889938354492,5.06782891762878,14.096438906454246
5,51.98573684692383,7.2101135113757975,17.158842040508098
6,101.599853515625,10.079675268361823,20.06893081792373
7,194.7131805419922,13.95396648061017,22.893953508159154
8,367.55810546875,19.17180496115976,25.653260043445986
9,687.4686279296875,26.21962295552107,28.37252884279909
10,1281.0220947265625,35.79136899765867,31.075566204043845
11,2390.656494140625,48.894340103335324,33.785171782000454
12,4479.97021484375,66.93257962191319,36.51275126593679
13,8419.232421875,91.75637537454823,39.252724988464934
14,15809.4755859375,125.73573710738526,41.989174642452475
15,29549.2578125,171.89897560049624,44.70546577197521
16,54825.921875,234.14935804951506,47.389859428914576
17,100897.3046875,317.64336084278546,50.03879564899145
18,184299.5625,429.3012491246677,52.65524304269202
19,334601.0,578.4470589431672,55.245272345756675
20,604813.375,777.6974829585088,57.81621386700272
21,1090234.125,1044.142770410254,60.37519771589358
22,1962109.75,1400.7532794892898,62.927232958504206
23,3529473.25,1878.6892372076868,65.47709894711257
24,6349422.0,2519.8059449092502,68.02734192435959
25,11431332.0,3381.025288281648,70.5809683814207
26,20604322.0,4539.198387380749,73.13958328324172
27,37209968.0,6099.997377048617,75.70659296535122
28,67319240.0,8204.830284655496,78.28139204367521
29,122065352.0,11048.318967155139,80.86592407838423
30,221811488.0,14893.337033720818,83.45984035256816
31,404099712.0,20102.2315179186,86.06488540923084
32,737799808.0,27162.4705798276,88.67938537872959
33,1350195712.0,36745.00934820945,91.3039672440699
34,2476684544.0,49766.29927973347,93.93870693899271
35,4553439232.0,67479.17628424343,96.5833954506621
36,8387953664.0,91585.77217013568,99.2365602270834
37,15486430208.0,124444.48645078656,101.89951319654705
38,28648194048.0,169257.77396621995,104.5709724969926
39,53093318656.0,230419.8746983428,107.25039872241572
40,98582757376.0,313978.9123110022,109.93800961276952
41,183379329024.0,428228.12731533643,112.63350379334196
42,341659025408.0,584516.0608640279,115.3359289771528
43,637676486656.0,798546.4837165085,118.04600403338489
44,1191898382336.0,1091740.9868352474,120.76239230343843
45,2231176527872.0,1493712.3310303092,123.48533932474697
46,4182431760384.0,2045099.449998459,126.2142886384114
47,7850787078144.0,2801925.6018217187,128.9491319898213
48,14756275552256.0,3841389.7943655755,131.6897675645629
49,27769683574784.0,5269694.827481379,134.43570931154358
50,52320117194752.0,7233264.629111256,137.1866870811776
51,98689909522432.0,9934279.517027494,139.94272750818072
52,186355409747968.0,13651205.432047676,142.70342004493077
53,352264896118784.0,18768721.216928553,145.46869367048689
54,666519734321152.0,25817043.485286072,148.23813012534427
55,1262384169615360.0,35530046.012007356,151.01191539816705
56,2393046524100608.0,48918774.760827854,153.78951141974807
57,4540473532219392.0,67383035.93798214,156.57101148386977
58,8622313813573632.0,92856415.03726941,159.3562382517795
59,1.6386672476291072e+16,128010438.93484262,162.14490773466724
60,3.116757693969203e+16,176543413.75336558,164.93703040242022
61,5.932553715109069e+16,243568341.84903976,167.73241679138823
62,1.130068086704046e+17,336164853.41332847,170.53104610553376
