t,mse_t,rmse_t,mse_db_t
0,1.030090570449829,1.014933776386336,0.12875411615178817
1,2.122487783432007,1.4568760357120323,3.2684519922066113
2,5.689425945281982,2.3852517572118006,7.550684489305073
3,13.711591720581055,3.7029166505041746,11.3708787312211
4,29.832393646240234,5.461903848132099,14.746881010203879
5,60.90653610229492,7.804263969285952,17.84663900856923
6,120.50946044921875,10.977680103246712,20.810211420114403
7,234.47857666015625,15.312693318294997,23.701031691692222
8,449.8742370605469,21.2102389675493,26.530911231437674
9,853.9293212890625,29.222069079534094,29.314219261405007
10,1610.612548828125,40.132437613832096,32.069910785050595
11,3030.9296875,55.05387985873475,34.81575861578789
12,5701.73046875,75.50980379228912,37.56006683562488
13,10710.10546875,103.48963942709435,40.297937476078225
14,20038.0703125,141.5558911260849,43.01855896188001
15,37242.82421875,192.9839999034894,45.710426072210055
16,68641.3125,261.9948711330052,48.365855791247085
17,125428.1875,354.1584214726511,50.98395146543091
18,227499.34375,476.9689127710526,53.569801482187806
19,410158.21875,640.4359599132454,56.12951418366599
20,736333.5,858.0987705386834,58.67074559452911
21,1318754.375,1148.370312660511,61.20163913426759
22,2358893.25,1535.8688908888023,63.72708287649079
23,4217193.0,2053.5805316568426,66.25023476973362
24,7539612.0,2745.8353920073214,68.77348996984536
25,13486698.0,3672.423995129103,71.29905632702614
26,24154874.0,4914.760828361844,73.83004776401407
27,43337748.0,6583.141195508418,76.36866339919102
28,77902712.0,8826.251299390926,78.91552576878385
29,140326624.0,11845.95390840265,81.47140077010772
30,253340320.0,15916.667993019142,84.03704314780629
31,458410336.0,21410.519283753954,86.61254401317882
32,831493504.0,28835.629072381966,89.19858860665612
33,1511615616.0,38879.5012313687,91.79441369820525
34,2754287360.0,52481.30486182675,94.40009249047935
35,5030046720.0,70922.82227886874,97.01572018881765
36,9207123968.0,95953.7595303071,99.64123990686609
37,16887918592.0,129953.52473865416,102.27576126793537
38,31039373312.0,176179.945828122,104.91912944226364
39,57157124096.0,239075.56147795616,107.5707036881279
40,105466421248.0,324755.94105112227,110.23114209510877
41,194955149312.0,441537.256991978,112.89934710610197
42,360997322752.0,600830.5274800874,115.57503981079219
43,669540155392.0,818254.3341724504,118.25776628759824
44,1243844182016.0,1115277.6255336606,120.94765979125647
45,2314210115584.0,1521252.811200032,123.64402787587215
46,4312103387136.0,2076560.4703778795,126.34689164962631
47,8045529661440.0,2836464.288765152,129.0555464028946
48,15031861248000.0,3877094.433722243,131.7701275834406
49,28119056515072.0,5302740.4721589,134.49000744613357
50,52665874644992.0,7257125.784013392,137.21529301097496
51,98757202935808.0,9937665.869599761,139.94568781070078
52,185389562200064.0,13615783.56908129,142.68085278856353
53,348380031090688.0,18664941.22923209,145.42053253581128
54,655337048768512.0,25599551.72983527,148.1646472101718
55,1233955781083136.0,35127706.74386724,150.91299596994082
56,2325612047892480.0,48224600.028330766,153.6653726864183
57,4387005760798720.0,66234475.62107456,156.42168204699328
58,8282668336676864.0,91009166.22339128,159.18170271230355
59,1.56504313298944e+16,125101683.96106584,161.94526311314522
60,2.959609135575859e+16,172035145.69923958,164.71234359210553
61,5.60101359311913e+16,236664606.41843194,167.4826662666079
62,1.0607606289452237e+17,325693203.63575655,170.25617392141817
63,2.0103910406907494e+17,448373844.0956106,173.03280540155131
64,3.812786092365578e+17,617477618.4094107,175.81242440859518
65,7.235758204167127e+17,850632600.1375169,178.59484045701527
66,1.3740745246386422e+18,1172209249.5107868,181.38010287862988
67,2.610957485921534e+18,1615845749.4208827,184.16799800287134
68,4.964198242385396e+18,2228048079.011177,186.95849116471925
69,9.44392527329362e+18,3073097016.5768633,189.75152541989428
70,1.7976213570160951e+19,4239836502.762925,192.54698219168048
