t,mse_t,rmse_t,mse_db_t
0,0.8615675696105362,0.9282066416539672,-0.6471065674380523
1,1.6425145933645082,1.2816062551987284,2.1550923685557684
2,5.312897785586193,2.304972404517285,7.25331460633452
3,15.401057603670477,3.9244181229413457,11.875505452304315
4,42.86122247247549,6.546848285432883,16.320645536745232
5,135.2714218548424,11.63062431062247,21.312060549738696
6,436.386840987029,20.889874125686564,26.398716461947544
7,1370.352475248092,37.01827218075004,31.36832288591865
8,4252.730724009713,65.21296438600007,36.28667884764576
9,13626.53614062262,116.73275521730231,41.34385472401209
10,47126.986541022125,217.08750894747982,46.732696703888124
11,175411.6315546653,418.8217181029003,52.44058388075176
12,692242.5818041521,832.0111668746713,58.40258310464872
13,2880996.5350170396,1697.3498563988037,64.59542735953482
14,12501204.576587686,3535.7042546835964,70.96951862268868
15,56300071.10795192,7503.337331344761,77.50508943373045
16,257971446.1233137,16061.48953625764,84.11571638221545
17,1193274110.2353067,34543.79988124217,90.76740218094947
18,5552964749.471692,74518.217567731,97.44524916555852
19,25892826141.45053,160912.47975670046,104.13179455249546
20,121139633653.24722,348051.1940120982,110.8328625594926
21,572618326148.4758,756715.4856010784,117.57865243122878
22,2737775397569.832,1654622.4335387913,124.37397816479823
23,13080245371668.133,3616662.1865565674,131.16615890973108
24,62491679649346.84,7905167.907726365,137.95822197777338
25,298026161043428.2,17263434.219280593,144.74254388566595
26,1404428930171762.8,37475711.20301472,151.474997670227
27,6583240015037997.0,81137167.90126456,158.18439689104898
28,3.0697900595318616e+16,175208163.60922974,164.8710867544315
29,1.4369374715490696e+17,379069580.88839966,171.57437870185697
30,6.723959002276576e+17,819997500.135005,178.27625056769318
31,3.174370860163125e+18,1781676418.4787104,185.0165766379048
32,1.486883400306163e+19,3856012707.8449354,191.7227691298121
33,7.040951148507039e+19,8391037569.041769,198.47631331108852
34,3.34140720795979e+20,18279516426.754265,205.23929405118372
35,1.5615836694903943e+21,39516878286.251236,211.9356525864274
36,7.465960915746761e+21,86405792142.34866,218.73085712067655
37,3.610212567848214e+22,190005593808.39856,225.5753277374102
38,1.7539778283955994e+23,418805184828.8891,232.44024099254477
39,8.415691233739497e+23,917370766579.1132,239.25089793118713
