t,mse_t,rmse_t,mse_db_t
0,0.9017785755105305,0.9496202269910485,-0.44900086891592905
1,0.8424028775757224,0.9178250800537772,-0.7448015830746657
2,0.8493520111220325,0.9216029574182325,-0.7091228054060164
3,0.8167296433635809,0.9037309574002547,-0.879216813215085
4,0.8015724680153665,0.8953057958124512,-0.9605720813644272
5,0.707965857704683,0.8414070701537295,-1.49987686050333
6,0.6623783457827526,0.813866294782351,-1.7889387377870134
7,0.6826600854602198,0.8262324645402285,-1.6579548922556842
8,0.6599579720657652,0.8123779736463596,-1.8048372064161047
9,0.6403759141423729,0.8002349118492476,-1.9356501115588376
10,0.6280420475997259,0.7924910394444381,-2.020112791461899
11,0.606396695411619,0.7787147715380895,-2.1724317407852487
12,0.5576316272635177,0.7467473650864245,-2.536526022764463
13,0.5479257481791564,0.7402200673983085,-2.6127829067793322
14,0.5315856943495393,0.729099234912189,-2.744267149916315
15,0.5141097200169188,0.7170144489596557,-2.8894418506545767
16,0.5154047966787684,0.7179169845314766,-2.8785154395075847
17,0.5332884819727642,0.7302660350671968,-2.7303779615903174
18,0.5270365789314894,0.7259728499961203,-2.7815924156771383
19,0.5110896592842076,0.7149053498780154,-2.9150290589907515
20,0.4988062287507026,0.7062621529932795,-3.0206813198746167
21,0.5090388751033242,0.7134696034894018,-2.9324904949397332
22,0.5174131670643127,0.7193143729026362,-2.8616252360824053
23,0.5011592448871557,0.7079260165350301,-3.000242537997624
24,0.5108036590156647,0.7147052952201101,-2.9174600043638104
25,0.4951948592433599,0.7037008307820589,-3.052238724972886
26,0.49026100533635475,0.7001864075632679,-3.095726485460439
27,0.4560869263368572,0.6753420809758987,-3.4095237656664192
28,0.4436671708269949,0.6660834563528769,-3.529427057350155
29,0.4339682099130416,0.658762635486441,-3.6254208331011055
30,0.4206533514618292,0.6485779455561446,-3.760756465900906
31,0.4181583376851073,0.6466516354924863,-3.7865923936816897
32,0.4274843366631098,0.6538228633682901,-3.690797935098492
33,0.4476157637410894,0.6690409283004213,-3.4909462727054685
34,0.4674052744185051,0.6836704428439956,-3.303063911352177
35,0.4815660290905807,0.6939495868509331,-3.173441569222927
36,0.4590978914556309,0.6775676286951959,-3.3809470185669155
37,0.4651711184250455,0.6820345434250713,-3.32387257610855
38,0.4278939656831044,0.6541360452406704,-3.686638380521938
39,0.4441867404261755,0.6664733606275464,-3.524344098706018
40,0.4455410888479199,0.6674886432351639,-3.511122381208083
41,0.43378787787759604,0.6586257494796237,-3.6272258843161587
42,0.42282697034003847,0.6502514670033729,-3.738373186770941
43,0.41010997280105965,0.6403982923158522,-3.8709966967908924
44,0.41365628722593145,0.6431611673802543,-3.8336037037739508
45,0.40234971318876406,0.6343104233644313,-3.9539630391968217
46,0.397202420159665,0.6302399702967633,-4.009881140065009
47,0.3897744673620522,0.6243192031021088,-4.091866132608548
48,0.38278380096259607,0.6186952407790092,-4.170464494255361
49,0.3773702900264139,0.6143047208238057,-4.232322943817067
50,0.36566010893056894,0.6046983619380566,-4.369224156977464
51,0.4030384974155757,0.6348531305865757,-3.9465346895409166
52,0.40223087376415756,0.6342167403689039,-3.955245976109578
53,0.4123921621047973,0.6421776717582115,-3.8468959747917024
54,0.4240412187467365,0.6511844736683581,-3.725919259445379
55,0.3893449679027773,0.6239751340420364,-4.096654339797218
56,0.39676868834274126,0.6298957757778196,-4.014626082328939
57,0.39008646260073737,0.6245690214866066,-4.088391210027764
58,0.3966910035738059,0.629834107979082,-4.015476486374112
59,0.4093449206121084,0.6398006881928999,-3.879105942174271
60,0.4036887023475972,0.6353650150485131,-3.9395340460690944
61,0.40803536777687166,0.6387764615081489,-3.8930219140859235
62,0.4006011263313342,0.632930585713263,-3.972878339770517
63,0.3999230403640147,0.6323946871725084,-3.980235745743914
64,0.4044862113388017,0.6359923044650789,-3.930962786043401
65,0.39936638503264166,0.6319544168946378,-3.986284928183748
66,0.41152710523987135,0.6415037842755655,-3.8560155469611446
67,0.39039306042936284,0.6248144207917763,-4.0849791089269445
