t,mse_t,rmse_t,mse_db_t
0,0.8701630301103122,0.9328252945274973,-0.6039937215817
1,1.014758966609427,1.0073524540146943,0.06362897517572087
2,1.271347771572584,1.1275405853327782,1.0426436614451622
3,1.337459094871611,1.156485665657647,1.2628050834320967
4,1.366647213978589,1.169036874516193,1.3565642034991552
5,1.5555717098720927,1.2472256050418837,1.9189003632797896
6,1.9963293720260957,1.4129152034096368,3.0023219659684823
7,2.8616786666597647,1.691649687925891,4.5662086592573825
8,5.110338559771825,2.260605794863807,7.084496730838459
9,12.445830189851957,3.5278648202350325,10.950238712014514
10,39.37727275165374,6.275131293578943,15.952456338456987
11,142.88245649046655,11.95334499169444,21.54978908167397
12,581.0561604697434,24.105106522679865,27.642181100209466
13,2398.8096989597534,48.97764488988577,33.799957961254655
14,8872.072316742118,94.19167859605284,39.48025073113382
15,34611.405838708335,186.04140893550644,45.39219239733127
16,125029.84302561614,353.59559248612834,50.97013685923682
17,509615.0337885435,713.8732617128502,57.07242231327099
18,1974243.2916464873,1405.0776817124693,62.95400670982498
19,8471674.302717887,2910.61407656836,69.27969250776083
20,37277774.51836005,6105.552761082329,75.71449977092736
21,153097752.21396765,12373.26764496621,81.84968814419773
22,518366596.9220776,22767.665601068493,87.14637008217838
23,1900930450.4975088,43599.661128241685,92.78966227587325
24,7062075933.184831,84036.15848659928,98.48932382893727
25,26810430371.0986,163738.9091544786,104.28303785496982
26,105194873974.96405,324337.59260215895,110.21994577663476
27,462891276642.1675,680361.136928152,116.65478996419303
28,1915667067445.5466,1384076.2505893765,122.82320033273287
29,7006993638118.531,2647072.654484295,128.4553172318342
30,29322745121325.3,5415048.025763512,134.6720462542465
31,111962461537304.88,10581231.569968823,140.49072438028466
32,478895732182007.6,21883686.439492036,146.8024096671882
33,1865996686765664.8,43197183.7828077,152.70910868284722
34,7791085311689595.0,88267124.7503259,158.91597959860863
35,3.1337234130904324e+16,177023258.7286324,164.96060662372065
36,1.2591507729831365e+17,354845145.5188779,171.00077736425652
37,5.676248680657613e+17,753408831.9536487,177.5406141396506
38,2.216763521601587e+18,1488879955.4032512,183.45719366212694
39,9.607310077580624e+18,3099566111.180825,189.82601807856759
40,4.0458054452470096e+19,6360664623.486299,196.0700499457735
41,1.6613429611005346e+20,12889309372.889359,202.20459295749703
42,6.69561366272325e+20,25875883874.223988,208.2579038689262
43,3.0656876730594697e+21,55368652440.34272,214.86527907603787
44,1.191752022770038e+22,109167395442.50554,220.7618589773113
45,5.2295827927914456e+22,228682810739.9296,227.18467042975146
46,2.2232065171883303e+23,471508909479.803,233.46979806877798
47,9.161417096192715e+23,957152918618.1649,239.61962655922892
48,3.71450735300154e+24,1927305723802.4124,245.69901222387188
49,1.6614721431601244e+25,4076115973767.337,252.20493064138196
50,6.4176751956208896e+25,8011039380517.917,258.0737773327692
51,2.815209255628061e+26,16778585326624.115,264.49510681669415
52,1.2012758933880533e+27,34659427193594.145,270.796427619539
53,4.973486596294491e+27,70522950847894.12,276.966609518418
54,2.008366154984859e+28,141716835802414.78,283.0284289402716
55,9.315258941287622e+28,305209091301154.1,289.691949317185
56,3.6768290657014874e+29,606368622679429.9,295.6547344016308
57,1.638268295718474e+30,1279948551981084.2,302.143850267336
