t,mse_t,rmse_t,mse_db_t
0,0.8215682285917343,0.9064040095849831,-0.8535636397514932
1,0.9564841424068734,0.9780000728051473,-0.19322225764526063
2,1.222990810045456,1.1058891490766405,0.8742319361719902
3,1.339396793162272,1.157323115280375,1.269092547960716
4,1.4707899329500291,1.2127612844043254,1.6755064861101163
5,1.8344653593815372,1.3544243645850207,2.635095152898468
6,2.681857305108402,1.6376377209591877,4.284356664116784
7,5.001946138837043,2.236503105036307,6.9913901091871375
8,12.679908364236045,3.5608858959865652,11.031161149770677
9,37.98351607078339,6.163076834729824,15.795951641782667
10,143.31894475098036,11.971589065407331,21.563036018209402
11,538.3667468499023,23.202731452350655,27.310782270970662
12,1717.0374072927702,41.43715008651983,32.34779756782272
13,4690.139298069055,68.48459168359737,36.71185741539037
14,12675.943984370599,112.58749479569478,41.029803113535024
15,32476.82984156146,180.21328985832722,45.11573629882244
16,99160.14551868588,314.8970395521144,49.96337155428538
17,293961.62287732464,542.1822782767108,54.68290636328788
18,952022.1733480003,975.7162360789126,59.78647063563612
19,3231183.9929133537,1797.5494410205672,65.09361688699126
20,11739260.101605028,3426.260366873047,70.69640725198107
21,40959905.75632165,6399.992637208394,76.12358948711022
22,155339440.48470008,12463.52440061398,81.91281736541157
23,643755404.742633,25372.33542153014,88.0872088824738
24,2736850554.422416,52314.91713099062,94.37251083430701
25,12209337971.04922,110495.87309510351,100.86692115761832
26,54975506870.99797,234468.56264966092,107.40169242221326
27,253634336125.9419,503621.2228708615,114.04208046451865
28,1187602533253.4507,1089771.780352864,120.74671115310687
29,5462478202561.33,2337194.515345552,127.37389716975967
30,25399565194322.3,5039798.130314576,134.0482628215841
31,118279553706949.86,10875640.381464893,140.72909677174889
32,559185359201409.7,23647100.43961859,147.47555792027188
33,2703050783141760.0,51990872.11368703,154.31854205014696
34,1.3148149219588872e+16,114665379.3417563,161.188646242867
35,6.337404078522545e+16,251742012.35635152,168.01911399010646
36,3.055438612134412e+17,552760220.3609095,174.8507356258404
37,1.4732913817568197e+18,1213792149.3224528,181.68288648386726
38,7.156312889971798e+18,2675128574.4748416,188.5468932063451
39,3.4023290501005402e+19,5832948696.928973,195.31776313313094
40,1.6209736501121633e+20,12731746345.698862,202.09775955191577
41,7.695443161609906e+20,27740661783.039543,208.86233634836756
42,3.6998139419597073e+21,60826095896.08482,215.68179884604308
43,1.8184179597068632e+22,134848728570.45642,222.5969371207188
44,9.028396258031993e+22,300472898245.9482,229.55610612091596
45,4.41582807812085e+23,664516973306.2393,236.45012156619492
