t,mse_t,rmse_t,mse_db_t
0,1.128623843920898,1.062367094709215,0.5254922117227033
1,0.9274394196125418,0.9630365619292665,-0.32714448922881234
2,0.8697485026971461,0.9326030788589249,-0.606063102330632
3,0.8218208413399462,0.9065433477445776,-0.85222849245767
4,0.816227196850847,0.903452930069324,-0.881889385440441
5,0.7347941637375925,0.8572013554221625,-1.3383430183087885
6,0.6838195775002807,0.8269338410660678,-1.6505846967187532
7,0.6969811241775791,0.8348539538012496,-1.5677898341780614
8,0.698357549301648,0.8356778980574082,-1.5592216773371352
9,0.6727335314731259,0.8202033476358932,-1.7215692496946786
10,0.650154245656806,0.8063214282510456,-1.8698359706375816
11,0.6387367175829648,0.7992100584846044,-1.9467811784024702
12,0.5893256746426426,0.7676755008743229,-2.296446379601163
13,0.5855045997993402,0.7651827231448317,-2.3246968870498383
14,0.5647179242822973,0.7514771615174325,-2.4816842743338317
15,0.5436826583288624,0.7373483968443021,-2.646545193289752
16,0.5213042971771613,0.7220140560800471,-2.82908695113961
17,0.517146420986752,0.7191289321024096,-2.863864765897006
18,0.5049346510032192,0.7105875392963341,-2.967648249410341
19,0.4700601214948357,0.6856093067446181,-3.278465915034418
20,0.4485291107110888,0.6697231597541545,-3.48209364858659
21,0.4516563164117948,0.6720538047000365,-3.451919117824813
22,0.47058844679367734,0.6859944947254878,-3.2735873919855436
23,0.4548322789483538,0.6744125435876425,-3.4214872148716413
24,0.45449437886918354,0.6741619826637983,-3.424714837097629
25,0.4502940462447431,0.6710395265889656,-3.4650379520928225
26,0.4484623853762587,0.6696733422917913,-3.482739773882085
27,0.42151255162545875,0.6492399799961943,-3.751894886062269
28,0.40771990656101814,0.6385294876205939,-3.8963808398922013
29,0.40100473672900744,0.6332493479894057,-3.9685049739697345
30,0.38652854645653834,0.6217141999798126,-4.1281842642679525
31,0.38121112033810417,0.6174229671287781,-4.18834439012111
32,0.3835508503366306,0.6193148232818513,-4.161770500810727
33,0.3990608618875446,0.6317126418614278,-3.9896086379643814
34,0.41012759279815525,0.6404120492293655,-3.8708101101766754
35,0.4176671297262915,0.6462717150907128,-3.791697022311907
36,0.3970399931215287,0.6301110958565392,-4.011657453346151
37,0.39700355238469837,0.6300821790724591,-4.012056071558529
38,0.3665872524291988,0.6054644931201159,-4.358226411084241
39,0.3798930124656812,0.6163546158387079,-4.203386945355808
