t,mse_t,rmse_t,mse_db_t
0,0.5796621046918358,0.7613554391293437,-2.3682509062659665
1,0.3375602167278572,0.5809993259271969,-4.716487429517605
2,0.2706679157136648,0.5202575474836139,-5.6756322134190835
3,0.221581288968532,0.47072421752925775,-6.544669156078879
4,0.1881588480187148,0.43377280691476594,-7.254753545147067
5,0.16534000729851314,0.4066202249009672,-7.816220475374239
6,0.15360575366124948,0.3919256991589726,-8.135925164885437
7,0.13564094339372526,0.3682946420920691,-8.676091983302213
8,0.12919956716519157,0.3594434130223999,-8.887389412796635
9,0.12206681824899303,0.34938062088357597,-9.134023754476466
10,0.11669435462531844,0.3416055541488142,-9.329501535036988
11,0.11444299592712141,0.33829424459650714,-9.41410781611389
12,0.10847464161585142,0.3293548870380572,-9.646717760410205
13,0.10692566633826626,0.32699490261816966,-9.709180346308388
14,0.10483121181228124,0.32377648434109796,-9.795093938815464
15,0.10069187464811367,0.317319830215689,-9.970055735165147
16,0.09917798867465598,0.31492537000796866,-10.035847034290136
17,0.09301022623999299,0.30497577975962775,-10.314692992370189
18,0.08763023285269365,0.29602404100460095,-10.573460342898349
19,0.08338413097905417,0.28876310529403537,-10.789165930551633
20,0.08060495115795813,0.283910111052703,-10.936382808433084
21,0.07974132878303948,0.2823850718133653,-10.983165316742074
22,0.07558729214153752,0.2749314317089582,-11.215512126563162
23,0.07667989555770151,0.2769113496368495,-11.153184873269016
24,0.07735724925247191,0.27813171205828346,-11.114989817341591
25,0.07237961753972603,0.2690346028668544,-11.403837160720496
26,0.07278977368075772,0.26979579996871283,-11.379296309339345
27,0.07039167641653116,0.2653142974220032,-11.524786917113815
28,0.06978843248068968,0.26417500351223555,-11.562165562611636
29,0.06763115236144718,0.2600599014870366,-11.698532126049109
30,0.0694170255312521,0.2634711094811955,-11.58533999466676
31,0.0685227938560347,0.2617685883677312,-11.641649380077109
32,0.06841566713690073,0.2615638872950559,-11.648444337773842
