t,mse_t,rmse_t,mse_db_t
0,0.15272856121472284,0.39080501687506886,-8.160797395115761
1,0.06858373976402722,0.2618849742998388,-11.637788371767698
2,0.0420117837561861,0.20496776272425402,-13.76628878590009
3,0.03465978007340882,0.18617137286223365,-14.6017419734074
4,0.027242255000254546,0.16505227959726745,-15.647569461853346
5,0.02291435850411285,0.15137489390289544,-16.398922964826312
6,0.02085705597423712,0.1444197215557388,-16.807469933388326
7,0.019262214258833302,0.138788379408484,-17.15293790673648
8,0.018183776546958318,0.13484723410941107,-17.40315914118723
9,0.017903444372584006,0.1338037532081369,-17.47063408790767
10,0.01695540101066772,0.13021290646732267,-17.706919343046106
11,0.015385336273131019,0.12403764054967757,-18.128930070558333
12,0.01513453514641309,0.12302249853751585,-18.20030913752539
13,0.014214025675309862,0.11922258877960108,-18.472829044110163
14,0.014636457509217039,0.12098122792076893,-18.345640237124222
15,0.014323519501332385,0.11968090700413489,-18.439502563155408
16,0.013691998913571637,0.11701281516813292,-18.635331439944192
17,0.013999512349152343,0.11831953494310372,-18.5388709201896
18,0.013046844328756784,0.11422278375506693,-18.844945194625723
19,0.013609699398381327,0.11666061631236707,-18.661514670865973
20,0.012360963932816429,0.11117987197697446,-19.079476607698695
21,0.012723061852232789,0.11279655071070564,-18.954083615246994
22,0.01198073630619913,0.10945654985517829,-19.21516490469844
23,0.013003421949353033,0.11403254776314099,-18.85942344757738
24,0.012963816237660197,0.11385875564777702,-18.87267133728673
25,0.013298485522789599,0.11531905966833757,-18.76197815164211
26,0.012779073520670295,0.11304456431279787,-18.935006312672748
27,0.012612945871991077,0.11230737229581626,-18.99183468023798
28,0.012589426516840422,0.11220261368096744,-18.99994052755067
29,0.012733985920055441,0.11284496408814813,-18.950356346705128
30,0.012232628253154179,0.11060121271104661,-19.124802221778623
31,0.012516002883612355,0.11187494305523625,-19.025343454669766
32,0.012088648950600798,0.10994839221471499,-19.176222339685033
33,0.011859575261225405,0.10890167703587215,-19.25930864513845
34,0.011900964228550364,0.10909154059114926,-19.244178501894773
35,0.012593489737621085,0.11222071884291726,-18.998539073992802
36,0.012193585493869143,0.11042456924918993,-19.13868572376675
37,0.01253008907864594,0.1119378804455665,-19.02045841517672
38,0.011993114733240716,0.10951308019246248,-19.210680115811005
39,0.012206403780656235,0.11048259492180763,-19.13412267935835
40,0.011777058754219293,0.10852215789514735,-19.289631583015773
41,0.012493917066392848,0.11177619185852078,-19.033013811919414
42,0.01232837369110502,0.11103320985680375,-19.09094209986817
43,0.012674803763434135,0.11258243097141817,-18.970587558697694
44,0.012964804797021041,0.11386309673033243,-18.872340177465247
45,0.012354643370937323,0.11115144340465095,-19.081697864229213
46,0.012457487557244701,0.1116131155252137,-19.04569537937573
47,0.012042899618646966,0.10974014588402443,-19.19268933612762
48,0.011611882798909292,0.10775844653162596,-19.350973562406256
49,0.011674493153187753,0.10804856849208024,-19.327619651988456
50,0.01144540817875242,0.10698321447195545,-19.413687144251067
51,0.011928583134732579,0.10921805315392039,-19.234111383338778
52,0.012287547750822227,0.11084921177357206,-19.105347814382775
53,0.011974593064119382,0.10942848378790315,-19.21739236411131
54,0.011619000537959272,0.10779146783470049,-19.348312281864366
