t,mse_t,rmse_t,mse_db_t
0,0.0015769590505343466,0.03971094371246227,-28.02179584006463
1,0.0010139934728138874,0.031843264167071304,-29.939648405944332
2,0.000794534018599442,0.02818747981993853,-30.998875033984103
3,0.0008069096839001656,0.028406155739560495,-30.931750724388102
4,0.0008001281840374134,0.02828653715175142,-30.968404315572812
5,0.0007252333120764433,0.026930156183662273,-31.395222557090253
6,0.0007258221081471241,0.02694108587542685,-31.39169807559998
7,0.0007522873882631569,0.027427857886884947,-31.236162188582405
8,0.0008231589034022502,0.028690745954092066,-30.845163200618963
9,0.0008330627925787684,0.02886282717577695,-30.79322262167433
10,0.000783456290530999,0.027990289218423572,-31.059852280539925
11,0.0007629678057790308,0.027621871873191917,-31.174937871663513
12,0.0007652605412773335,0.02766334291580346,-31.161906793888473
13,0.000802642380460954,0.02833094386816214,-30.95477912737732
14,0.0006719213379416544,0.025921445521838754,-31.726815669722228
15,0.0007367888363834422,0.027143854486484452,-31.326569630688063
16,0.0007630589931428572,0.027623522460809687,-31.174418848419563
17,0.0006935092900203137,0.026334564549661984,-31.589477168869678
18,0.0007608949948883199,0.0275843251664477,-31.186752726474225
19,0.000782018998107531,0.027964602591625202,-31.06782696207357
20,0.0008101398150061345,0.02846295513480873,-30.914400235340608
21,0.000752080231020526,0.02742408122472886,-31.23735826920494
22,0.0008168204121377672,0.028580070191267327,-30.878734178750765
23,0.0007986674164548333,0.028260704457865753,-30.976340332869746
24,0.0008991282225363495,0.02998546685540096,-30.461783701475774
25,0.000747254255816678,0.027335951708632317,-31.265316028561813
26,0.0007287211031535137,0.026994834749512985,-31.37438653488223
27,0.0008178370252458202,0.028597850010898027,-30.87333231888848
28,0.0007438420953990924,0.027273468708602,-31.285192477540974
29,0.0007971054610186031,0.028233056175671154,-30.984842154816263
30,0.0007230998716904887,0.026890516389435303,-31.408017155289322
31,0.0007625742701519989,0.027614747330946175,-31.177178522481867
32,0.0007128566258181916,0.026699375008007054,-31.469978093870022
33,0.0007264549325602838,0.026952827913973774,-31.387913230693115
34,0.0007108918376754072,0.026662554972759215,-31.481964722296055
35,0.0007086689683719942,0.026620837108776167,-31.49556583973166
36,0.0007060509715121293,0.02657161966294357,-31.511639450567177
37,0.0007792527709113043,0.02791509933550845,-31.083216447593678
38,0.0007735995813318365,0.027813658179603712,-31.114837739629586
39,0.0007713522877154752,0.02777322969543649,-31.127472280869497
40,0.0007533450894035533,0.027447132626260858,-31.230060382847547
41,0.0007340595014666884,0.027093532465639995,-31.342687355726188
42,0.0007310007934958611,0.027037026343439862,-31.360821516184913
43,0.0007687642894540484,0.027726598952162316,-31.142067986658063
44,0.000701210717759146,0.026480383640709326,-31.541514544891342
45,0.0007238147704003525,0.026903805872038857,-31.40372558782506
46,0.0007279101766161094,0.026979810537068445,-31.37922208883056
47,0.0007547289789979593,0.027472331153325143,-31.222089742734976
48,0.0007089798872523034,0.0266266762336628,-31.49366084956901
49,0.0007353355788777802,0.027117071723874984,-31.335144203787635
50,0.0007221559344897123,0.02687295916883201,-31.41369015482475
51,0.0006712792289389378,0.025909056890186834,-31.730967907664628
52,0.000766246987888944,0.027681166664158936,-31.15631219678464
53,0.0007290655210230931,0.027001213325017325,-31.372334399397793
54,0.000726564543992466,0.026954861231185477,-31.387257993223713
55,0.0007771059523477621,0.027876620174399947,-31.09519764489981
56,0.0008024017213498129,0.028326696266063447,-30.95608148317744
57,0.0007794863154710678,0.027919282144623057,-31.08191504808136
58,0.0008508290190471666,0.02916897356862539,-30.701577061257595
59,0.0008268659878437489,0.028755277565061844,-30.82564871893741
60,0.0007750333699572425,0.027839421149823546,-31.106795980404073
61,0.0007161500188538566,0.026760979407597484,-31.449959923068256
62,0.0007654027077317701,0.027665912378444527,-31.161100057241583
63,0.000738837180620341,0.027181559569317226,-31.31451257611942
64,0.0007607690465604733,0.027582042102797126,-31.187471658675072
65,0.0007538533487392667,0.02745638994367735,-31.227131316207654
66,0.0007152336937968726,0.026743853383476224,-31.455520346408598
67,0.0007918884545696723,0.02814051269201882,-31.013359888354984
68,0.0007433837919837845,0.027265065413157995,-31.287869120709907
69,0.0008199556452881671,0.028634867649216873,-30.862096397231042
70,0.0007268330015555917,0.02695984053282941,-31.385653619527424
71,0.0006840881996848315,0.026155079806508552,-31.648879009596964
72,0.0007215720813534204,0.026862093763394924,-31.417202786101193
73,0.000770016431304523,0.027749169920999853,-31.135000073616133
74,0.0007005985332190323,0.026468821908408244,-31.54530776261186
75,0.0008016542846620046,0.028313500042594603,-30.960128818823627
76,0.0007416012993897769,0.02723235758045522,-31.2982951791788
77,0.0007794706273335365,0.02791900118796402,-31.08200245616011
78,0.0006946103245586667,0.026355461000685736,-31.58258765704881
79,0.0006560790727974085,0.025614040540246838,-31.830438148772934
80,0.0006759303897902651,0.025998661307657076,-31.700980272633856
81,0.0007400548563482183,0.027203949278518703,-31.307360871253206
82,0.0007210775066067516,0.026852886373847255,-31.42018051670985
83,0.0007713025429600132,0.027772334128769463,-31.127752367799886
84,0.0007163573844595996,0.02676485352957493,-31.448702578935425
85,0.0006728634061435153,0.0259396107554357,-31.720730902767936
86,0.0007255994447980902,0.026936953146153894,-31.3930305825394
87,0.0007707852781877476,0.027763019975999507,-31.13066588856858
88,0.0007821089807088508,0.027966211411430953,-31.067327272178716
89,0.0006904343851859867,0.026276118152915712,-31.608775879118053
90,0.0006923490187596849,0.02631252589090764,-31.59674918968947
91,0.0007530323162936604,0.027441434297311437,-31.23186385702543
92,0.000722717913720153,0.026883413356940986,-31.41031180464789
93,0.0007776145878287501,0.027885741658215765,-31.092356007642618
94,0.0007353109140185352,0.027116616935350456,-31.335289878663552
95,0.000812810388183658,0.028509829676510837,-30.90010754491739
96,0.0007675535695624577,0.027704757164834663,-31.14891304250133
97,0.0008060098585384947,0.028390312758729778,-30.936596461816542
98,0.0007947090851804091,0.028190585045018292,-30.997918220640614
99,0.0007508323022682283,0.02740131935269228,-31.244570514541685
