t,mse_t,rmse_t,mse_db_t
0,1.0383978007752084,1.0190180571389342,0.1636375966411096
1,2.135205040276303,1.4612340812738742,3.294395859581709
2,5.747378177369814,2.397369011514459,7.594697746421833
3,13.92434322183346,3.731533628661741,11.43774719690622
4,30.483553400459932,5.521191302650174,14.840655903664883
5,62.83569861890102,7.9268971621247255,17.982064480099936
6,126.39739115461313,11.242659434253673,21.017381101896557
7,252.3433640785962,15.88531913681926,24.019918884953388
8,499.62004077664045,22.352182013768598,26.98639850487018
9,978.9772651924405,31.288612388414425,29.907726062912722
10,1898.625371691922,43.57321851426541,32.78439280135949
11,3655.48088034642,60.46057294093747,35.629445167093536
12,6997.925159328079,83.65360218979264,38.44969293524904
13,13305.407221377764,115.34906684224958,41.2402817097992
14,25055.379104286145,158.28891023785005,43.98900978287993
15,46624.61572150379,215.9273389858352,46.686152653911535
16,85678.8135377426,292.7094353411632,49.32873443846453
17,155637.73584198148,394.5094876450774,51.92114904228299
18,280082.0476179861,529.2277842460524,54.47285272799613
19,500445.24525316077,707.4215470659349,56.99356567359284
20,890278.2915857837,943.5455959230501,59.49525783732823
21,1580924.7456051356,1257.348299241358,61.98911197353914
22,2806922.911620308,1675.3873915069041,64.48230485481733
23,4988648.011766364,2233.5281533408893,66.9798286213914
24,8880832.293364119,2980.0725315609548,69.48453668872877
25,15842235.934115471,3980.230638306714,71.99816476831691
26,28333720.732728407,5322.942863936115,74.52303609027668
27,50822101.21112011,7128.962141232068,77.06052616746035
28,91443941.6210239,9562.632567500641,79.61154937721504
29,165065855.2087794,12847.795733462584,82.17657246321383
30,298819568.3109399,17286.398361455747,84.75409034010812
31,542646260.4380739,23294.76895008993,87.34516814483817
32,988152106.3497167,31434.886771701862,89.9482380072513
33,1805266796.5443604,42488.43132600167,92.56541394443684
34,3306878720.5225706,57505.466875094324,95.19418267494999
35,6075868181.878079,77947.85553097712,97.83608343119654
36,11192097845.317354,105792.71168335441,100.48911498257866
37,20672659436.930485,143779.8992798732,103.15396350090737
38,38276520943.01691,195643.86252325145,105.82932456693248
39,71055241018.1808,266561.889658257,108.51596116905704
40,132193038168.23463,363583.6054722966,111.21208584009435
41,246507579426.72763,496495.2964799643,113.91830277173483
42,460609770629.7616,678682.3783109162,116.63333146145763
43,862457795381.5554,928686.0585696091,119.35737851940829
44,1617918027017.6057,1271974.0669595452,122.08956513990861
45,3040852808798.082,1743804.1199624692,124.82995398811062
46,5724905504318.33,2392677.4760335605,127.57768322576675
47,10796769702810.027,3285843.83420911,130.33293837885913
48,20393623760840.37,4515929.999550521,133.0949440280145
49,38579786042601.766,6211262.837990497,135.86359814785962
50,73088236891051.58,8549165.859371988,138.6384748551617
51,138660401815426.86,11775415.144079925,141.4195245437977
52,263401406212345.12,16229645.90532847,144.2061808918549
53,501014502807390.4,22383353.252079777,146.9985029752006
54,954126647541363.1,30888940.53769671,149.79606025309744
55,1819183511473990.0,42651887.54878253,152.59876511048412
56,3472422353353876.5,58927263.24337383,155.40632543283095
57,6635405538189532.0,81457998.61394541,158.21867470925508
58,1.269258115676379e+16,112661356.0932221,161.03549948978122
59,2.430402211675532e+16,155897473.09291232,163.8567815172857
60,4.658316179943358e+16,215831327.19657168,166.6822896263243
61,8.936998810119309e+16,298948136.1393529,169.5119170011232
62,1.716131351766679e+17,414262157.5484151,172.3455052544992
63,3.298354435310188e+17,574313018.7720097,175.18297322329914
64,6.344762689164424e+17,796540186.6299292,178.02415382977017
65,1.221515774696757e+18,1105222047.6884983,180.86899079839557
66,2.353609668412852e+18,1534147863.9338686,183.71734439429054
67,4.53851520812885e+18,2130379123.0973067,186.56913795062988
68,8.758432449767411e+18,2959464892.4708347,189.4242638478292
69,1.6914751907391318e+19,4112754783.279854,192.28265632272323
70,3.2690398006155227e+19,5717551749.320266,195.1442020815531
71,6.322444142994755e+19,7951379844.401068,198.00885001164517
72,1.2236310415837199e+20,11061785758.112114,200.87650485816334
73,2.3697913504481077e+20,15394126641.183992,203.74710110002482
74,4.592578433204581e+20,21430301988.550186,206.62056582031101
75,8.906023104387412e+20,29842960818.90571,209.4968381746205
76,1.7281607929364108e+21,41571153375.10388,212.37584148001815
77,3.3554623183505887e+21,57926352537.9476,215.2575236607757
78,6.519012529829801e+21,80740402091.08325,218.1418181577415
79,1.2672632309770248e+22,112572786719.39435,221.0286683421015
80,2.4649130475158384e+22,157000415525.43225,223.91801603674054
81,4.797124937018392e+22,219023399138.50284,226.80981029441736
82,9.341124262689872e+22,305632528744.73083,229.7039914943123
83,1.819916004039428e+23,426604735562.0221,232.60051344125742
84,3.547579927423398e+23,595615641787.8394,235.49932188949214
85,6.918897599044076e+23,831799110305.1311,238.40036903012918
86,1.3500835363953237e+24,1161930951647.0088,241.30360641289906
87,2.635717700583038e+24,1623489359553.3782,244.2089889315854
88,5.148098710001722e+24,2268942200674.517,247.11646865504702
89,1.0060054271364852e+25,3171758860847.5347,250.0260032363151
90,1.966775808384303e+25,4434834617417.32,252.9375485776851
91,3.8468586213931007e+25,6202304911396.327,255.8510622553814
92,7.5274924445912e+25,8676112288687.37,258.76650328279914
93,1.4736120700842579e+26,12139242439642.838,261.68383170093216
94,2.886029334750975e+26,16988317558695.96,264.60300741121904
95,5.654565702824396e+26,23779330736638.48,267.52399254688555
96,1.1083448706154253e+27,33291813867907.91,270.4467491571814
97,2.173321754916799e+27,46618899117383.7,273.371240273056
98,4.2632719106889406e+27,65293735615975.75,276.29743032751713
99,8.366203539174633e+27,91466953262774.83,279.2252842620984
