t,mse_t,rmse_t,mse_db_t
0,1.0001270973533403,1.0000635466575813,0.0005519417177790376
1,1.8604415613214265,1.3639800443266854,2.6961603286643134
2,4.931364502848588,2.2206675804470573,6.929671046859113
3,11.910218838687,3.451118490965936,10.759197412947882
4,25.94430790340764,5.0935555266834625,14.140420898415048
5,52.91564970385569,7.274314380328616,17.23584132808172
6,104.31137005801627,10.213293790840263,20.18331649599343
7,201.48544298173684,14.194556808218312,23.042436744916305
8,382.56262749953595,19.559208253391443,25.827025415838886
9,717.2555104384573,26.781626359100326,28.55673893472685
10,1335.3006781780007,36.54176621590698,31.255790695735087
11,2480.3728638410753,49.8033418943054,33.94516971365226
12,4608.5883793658,67.88658467890251,36.63567920415017
13,8556.502248196712,92.50136349371674,39.32296268795535
14,15855.917067153943,125.92028060306228,42.00191365611709
15,29281.45077870779,171.1182362540819,44.66592590473048
16,53809.410903419266,231.96855585061365,47.308582374879585
17,98342.72956012984,313.59644379381893,49.92742258219458
18,178781.3310764574,422.8254144164674,52.52322166396226
19,323579.8028115042,568.8407534728012,55.0998140601422
20,583666.0771629525,763.9804167404767,57.661644527258524
21,1050256.6115093986,1024.8202825419678,60.21295424161956
22,1887031.668701488,1373.6927126186147,62.7577918867945
23,3388330.451813238,1840.74182106379,65.29985758919773
24,6083882.51424996,2466.552759267468,67.84180818808706
25,10930206.798878266,3306.0863265919515,70.38628378853826
26,19659153.460430197,4433.864393554476,72.93564812815579
27,35411676.47224298,5950.771082157587,75.49146487769389
28,63905733.51438099,7994.106173574441,78.05539824073165
29,115528900.08176447,10748.437099493325,80.62690638566195
30,209308320.40204483,14467.491849040207,83.20786492709793
31,379968299.143293,19492.775562841045,85.79747364823555
32,691225907.3305495,26291.175464983484,88.39620007248386
33,1260249867.7688236,35499.99813758901,91.00456660542028
34,2302253330.92808,47981.80208087312,93.62153109984843
35,4215495642.257406,64926.84839307547,96.24848644688512
36,7732741342.925397,87936.00708995944,98.88333483445999
37,14211572321.17495,119212.29937038774,101.52642129485142
38,26175259021.139618,161787.6973726359,104.17890987997299
39,48289302796.16952,219748.2714293096,106.8385093507601
40,89219996415.6849,298697.1650613459,109.50462201458295
41,165133948982.7812,406366.76658258017,112.17836366662127
42,306130813249.8662,553290.8938794007,114.85907045216045
43,568292449809.87,753851.7425925804,117.54571886156128
44,1056692704968.5939,1027955.5948427898,120.23948709218769
45,1967225736567.1812,1402578.2461478508,122.9385419749967
46,3666945196186.2393,1914926.942780387,125.64304419321999
47,6845771994282.348,2616442.622012252,128.35422430403082
48,12795167502399.49,3577033.3381727785,131.0704597563873
49,23940185321726.227,4892870.867060179,133.79127507970625
50,44849913185330.81,6697007.778503084,136.51761606729758
51,84113975923376.23,9171367.17852776,139.24868161816016
52,157918001227621.53,12566542.930640135,141.9843163848344
53,296830704313803.7,17228775.473428275,144.72508822565067
54,558449477657376.3,23631535.660159208,147.46983889059328
55,1051680137109913.6,32429618.207896214,150.21883671556247
56,1982699262949535.2,44527511.30424353,152.97256845145088
57,3741303476485493.0,61166195.537122406,155.73022937499854
58,7065788583635350.0,84058245.18531987,158.49160638712445
59,1.3357413923207368e+16,115574278.81326956,161.25722384217735
60,2.527348844519831e+16,158976377.00362375,164.0266519078965
61,4.7858563070766e+16,218766000.71941254,166.79959655000246
62,9.071075644499056e+16,301182264.4927662,169.57658788578541
63,1.7206528917942333e+17,414807532.69368595,172.3569326871076
64,3.26642523696751e+17,571526485.5601628,175.14072722362343
65,6.206218090073962e+17,787795537.5650437,177.92827032874231
66,1.1800573264144653e+18,1086304435.4205985,180.7190310556098
67,2.2454210499807895e+18,1498472905.9882228,183.5129778967686
68,4.2759858965598264e+18,2067845713.9157715,186.31036264110094
69,8.148695346567446e+18,2854591975.496226,189.11088081237838
70,1.5539686412274764e+19,3942040894.2925444,191.91442250578615
71,2.9656527640876556e+19,5445780719.132616,194.72120299939587
72,5.663533776935e+19,7525645339.062292,197.53087494957444
73,1.0822927265085438e+20,10403329882.823786,200.34344739803387
74,2.0696966624508766e+20,14386440360.46053,203.15906699332714
75,3.960445663580629e+20,19900868482.507565,205.97744059244587
76,7.583177136547181e+20,27537569131.18364,208.79851200853565
77,1.452918686936732e+21,38117170500.139854,211.62241309547272
78,2.7854490724045994e+21,52777353783.65042,214.44895222470257
79,5.343245707585106e+21,73097508217.34695,217.2780514554634
80,1.0256091301526983e+22,101272361982.56157,220.10981878357742
81,1.9697104613759915e+22,140346373710.7586,222.9440239150767
82,3.78500661264449e+22,194550934529.86777,225.78066642576516
83,7.277473105692368e+22,269767920733.5885,228.6198060915434
84,1.399994653687341e+23,374165024245.63165,231.46126377193582
85,2.6946303735641446e+23,519098292577.05566,234.30499200791476
86,5.1892380290508767e+23,720363660178.0295,237.15103592131123
87,9.998333725948864e+23,999916682826.5675,239.9992762860773
88,1.9273733726808418e+24,1388298733227.4138,242.8496585476323
89,3.717246494246755e+24,1928016206946.0815,245.70221360541993
90,7.172669736944074e+24,2678184037168.483,248.55680834359092
91,1.3846555291813316e+25,3721095979924.9087,251.41341744243107
92,2.674273659527727e+25,5171337988884.237,254.27205846733625
93,5.167278665644844e+25,7188378583272.339,257.13261883200096
94,9.988630393579883e+25,9994313580021.332,259.995059433523
95,1.931695487938505e+26,13898544844473.844,262.85938665386306
96,3.737246544252216e+26,19331959404706.54,265.72551748980607
97,7.233377591638384e+26,26894939285371.855,268.59341136420875
98,1.4005763828288253e+27,37424275314678.11,271.46306798797923
99,2.712941480438046e+27,52085904815391.72,274.3344042590426
