t,mse_t,rmse_t,mse_db_t
0,0.9800733076704431,0.9899865189336888,-0.0874143866868248
1,1.9810425343877387,1.4074951276603904,2.9689380024908534
2,5.244546889410591,2.2900975720284475,7.197079726193519
3,12.554427442247523,3.5432227480427367,10.987969110479412
4,27.079325930213116,5.203779965583971,14.326378495096947
5,54.524313211808185,7.3840580449918045,17.36590203912353
6,105.24040144827916,10.258674448888568,20.221824960693084
7,198.45018350192984,14.087234771307314,22.97651504824632
8,368.6501138213718,19.20026337895842,25.66614372328324
9,679.6668203118402,26.070420409188653,28.322960692349028
10,1251.4709509096351,35.37613533032735,30.974207732362373
11,2314.202154010867,48.106155053286756,33.64401293482076
12,4309.814994752937,65.649181219212,36.34458627821428
13,8083.76328053385,89.90975075337407,39.076135874430754
14,15213.487251240693,123.34296595769332,41.82228774893278
15,28564.385125302204,169.01001486687764,44.55824879908474
16,53245.333364574646,230.74950349800244,47.26281550461471
17,98305.92777133557,313.537761316457,49.92579706242739
18,179733.9318763175,423.9503884610999,52.54630075080685
19,326165.3984604575,571.1089199622586,55.13437886640645
20,589205.439079047,767.5971854293415,57.702667472525924
21,1061659.9051479849,1030.3688199610783,60.25985416018014
22,1910927.0929311214,1382.3628658681198,62.81244117854743
23,3438512.6027679457,1854.3226803250684,65.36370620448449
24,6188580.0089211,2487.685673255586,67.91591010080566
25,11148926.997826079,3339.000898146941,70.47233071747681
26,20112373.751535587,4484.68212380048,73.03463330982362
27,36363841.42403675,6030.243894241488,75.60669755219341
28,65896800.42564748,8117.684425108399,78.18864328232559
29,119697794.91120732,10940.648742702935,80.78086149849054
30,217965446.9776997,14763.652900881261,83.38387652428986
31,397996167.92347467,19949.841300709002,85.99878890521674
32,728498936.4550966,26990.71945049069,88.62428922074409
33,1337038991.9132423,36565.543779810556,91.26144072726333
34,2460061135.6518908,49599.003373574866,93.90945900008398
35,4537615812.861694,67361.82756473948,96.56827722616049
36,8389600235.395954,91594.76096041713,99.23741267181748
37,15549478095.221966,124697.54646833258,101.91715816888967
38,28881715189.48285,169946.21263647758,104.60622980975472
39,53757867347.90899,231857.42892542604,107.30442031299368
40,100255395511.29451,316631.32427366456,110.01107754636132
41,187374227574.09933,432867.4480416601,112.7270985553747
42,350771084194.23706,592259.304860833,115.45023785114537
43,657822808935.8981,811062.7651026141,118.18108927862451
44,1235739136315.0095,1111638.0419520598,120.91926801160584
45,2324965573288.204,1524783.7791923825,123.66416526498378
46,4380255114408.257,2092905.9019478771,126.41499405379271
47,8264888773160.319,2874871.9576983456,129.17237013318507
48,15613802716249.11,3951430.4645595257,131.93508687659278
49,29533973692283.637,5434516.877541521,134.70321883691437
50,55931736993828.234,7478752.368799774,137.47658306814765
51,106032325495658.25,10297199.886166057,140.25438286436543
52,201219728205771.03,14185193.978432972,143.03670558048307
53,382267859154447.9,19551671.518170714,145.82367784342162
54,726820299027681.1,26959604.949399408,148.61427048014923
55,1383124798106423.0,37190385.82895347,151.40861367877733
56,2634413504304188.5,51326538.01206729,154.20683943952622
57,5021454574473300.0,70862222.47765942,157.0082953829314
58,9578306308132980.0,97868821.94107059,159.8128872138949
59,1.8284129551964604e+16,135218820.9975394,162.62074289816155
60,3.4924986561517572e+16,186882279.95590585,165.43136247677847
61,6.675253475818454e+16,258365119.08186164,168.24467761581053
62,1.2766754826022163e+17,357305958.8926857,171.06080518229857
63,2.4430283374730608e+17,494270000.8571288,173.8792850452432
64,4.677449081640613e+17,683918787.6963619,176.70009068500667
65,8.960663227574318e+17,946607797.7480599,179.5234015535587
66,1.7173938491014208e+18,1310493742.488464,182.34869903126523
67,3.2930906646837637e+18,1814687484.0268679,185.17603687781394
68,6.317680979695714e+18,2513499747.30369,188.00557691804045
69,1.2125150535091993e+19,3482118684.80843,190.83687139122048
70,2.3280634851083125e+19,4825001020.837522,193.66994819129178
71,4.471965669588365e+19,6687275730.511167,196.50498460896802
72,8.593234234513472e+19,9269969921.479504,199.34156649959615
73,1.6518742421476576e+20,12852525985.765045,202.1797698122877
74,3.1766549590838726e+20,17823173003.37926,205.01970045326436
75,6.110861977561448e+20,24720157721.101715,207.86102474677054
76,1.1759227410084889e+21,34291729921.49111,210.70378789209593
77,2.2636670874333065e+21,47578010545.13846,213.5481255647302
78,4.3588510627573494e+21,66021595427.23388,216.39372029896856
79,8.395810414477208e+21,91628654985.63869,219.24062623231467
80,1.6176887344881346e+22,127188393121.70488,222.0889496109658
81,3.1177622972307727e+22,176571863478.60672,224.9384300086686
82,6.010499969754013e+22,245163210326.38672,227.7891059930293
83,1.1590663150385214e+23,340450630053.5397,230.64108284480756
84,2.235691588152561e+23,472831004498.70685,233.49411892773583
85,4.3134578557112506e+23,656769202666.4504,236.34825559155757
86,8.324516476022378e+23,912387882209.2267,239.20359017206124
87,1.6069070893963158e+24,1267638390628.9348,242.0599076678886
88,3.1025911590140365e+24,1761417372179.0178,244.9172455061401
89,5.991964535236214e+24,2447848960870.7915,247.77569234231328
90,1.1574588734695014e+25,3402144725712.7397,250.63505568724486
91,2.236334506401166e+25,4728989856619.663,253.4953676496516
92,4.321865199992225e+25,6574089442646.963,256.35671217009855
93,8.353947264784744e+25,9139993033249.393,259.2189172940585
94,1.6151067159938746e+26,12708684888665.21,262.08201223036224
95,3.123252203866153e+26,17672725324256.45,264.9460705509954
96,6.0407928610402625e+26,24578024454866.715,267.81093944014594
97,1.1685972551030078e+27,34184751792327.055,270.6766486186898
98,2.2611329746397365e+27,47551371953285.81,273.54326103457316
99,4.375866752989625e+27,66150334488871.83,276.4106408907437
