t,mse_t,rmse_t,mse_db_t
0,1.0443121954563317,1.021915943439739,0.18830349715588554
1,2.0453628060398596,1.4301618111388164,3.107703542435523
2,5.372509069148821,2.317867353656982,7.301771572817618
3,12.709378699372373,3.565021556649044,11.041243204966236
4,27.399448202662846,5.234448223324293,14.377418166542668
5,54.97156099630504,7.4142808819402735,17.401380695554348
6,106.50088872584078,10.319926779092999,20.273532318791524
7,203.4605598058915,14.263960172613057,23.084802350908326
8,385.6194944722393,19.637196706053523,25.86158980956196
9,731.5671423691418,27.04749789479873,28.64254191325669
10,1403.4903599309514,37.463186729520906,31.472094339685547
11,2741.682786158457,52.3610808345135,34.38017205307488
12,5430.537919614715,73.69218357203643,37.3484285057405
13,10858.460909175035,104.2039390290743,40.35768272212182
14,21823.77633975441,147.72872550643092,43.389299021466464
15,44089.814134336826,209.97574653834863,46.44338268012032
16,88699.58030516648,297.82474763720774,49.479215649097256
17,178210.0962846375,422.1493767431589,52.50932304843935
18,356661.60775434086,597.211526809673,55.5225636294698
19,710787.035265562,843.0818674752542,58.517394976870406
20,1407438.7006561398,1186.3552168959093,61.484294887478825
21,2794672.571864016,1671.7274215206305,64.46330932593622
22,5551184.358749205,2356.095150614509,67.4438565079753
23,11061667.47259411,3325.908518374207,70.43820598900089
24,22025540.0077393,4693.137544089167,73.42926564961789
25,44226148.23697309,6650.274297874719,76.45679117251807
26,89224308.72082628,9445.861989295963,79.50483191876859
27,180838916.40321648,13447.636089782342,82.5729189605351
28,362896196.4381522,19049.834551464017,85.59782416327923
29,738059519.333887,27167.250860804575,88.68091386045235
30,1499457715.9115458,38722.83197173918,91.75934223343155
31,3071043217.361153,55416.99394013675,94.87285928110084
32,6281571974.714665,79256.36866974582,97.9806834031581
33,12922829531.512438,113678.62389874553,101.1135761546869
34,26443499587.491287,162614.57372416314,104.22318930048165
35,54727164602.75629,233938.37778944327,107.38202948064384
36,113626242540.02696,337084.91888547456,110.55478645407817
37,233665485995.269,483389.5799407234,113.6859456883743
38,486838205162.27026,697737.9201120363,116.87384652631339
39,1005538266899.2063,1002765.3099799606,120.02398602816334
40,2109790820580.5977,1452511.900323229,123.2423939843942
41,4386192982055.024,2094323.991662948,126.42087735685743
42,9134711905230.893,3022368.5918879737,129.60694854924301
43,18892017479314.03,4346494.849797252,132.76278338723745
44,39741196874971.23,6304061.9345760895,135.99240942501228
45,83518434451184.8,9138842.07387264,139.21782344906464
46,172870332294947.72,13148016.287446093,142.3772046680694
47,364269680681351.25,19085850.2739949,145.6142302504165
48,762016081036349.8,27604638.75938879,148.8196413647301
49,1619699127740054.5,40245485.80574043,152.09434348309455
50,3394276581096474.5,58260420.3649139,155.30747227713536
51,7152080355278948.0,84569973.13041401,158.54432385214344
52,1.4908177714602446e+16,122099048.78664061,161.7342456116868
53,3.162538471993665e+16,177835274.11606687,165.0003581736899
54,6.704871425459466e+16,258937664.8048612,168.26390454111726
55,1.3993519135198718e+17,374079124.4536204,171.45926946000455
56,2.9733766975898765e+17,545286777.5391108,174.73249933530897
57,6.251480322878374e+17,790663033.3383732,177.9598286853352
58,1.3392181663607908e+18,1157245940.3086238,181.26851331850452
59,2.827863252075496e+18,1681625181.803453,184.51458404309818
60,5.994595224767844e+18,2448386249.097116,187.77759863400735
61,1.2535135222256531e+19,3540499289.9669576,190.98129023253395
62,2.678644989048281e+19,5175562760.751995,194.27915158731807
63,5.709811170411029e+19,7556329247.995371,197.56621745898292
64,1.194742930518244e+20,10930429682.854393,200.77274469411705
65,2.5507267966642668e+20,15970994949.170408,204.06663944672061
66,5.38931073873238e+20,23214889055.802917,207.3153322501858
67,1.1602824691548699e+21,34062919269.417732,210.64563730486879
68,2.4570046557880304e+21,49568181889.071045,213.90405979427226
69,5.226169822660949e+21,72292252853.68376,217.18183517876238
70,1.0965102090477222e+22,104714383398.2573,220.4001267952695
71,2.3520505952146005e+22,153363965624.73862,223.7144665966013
72,5.027339438955661e+22,224217292797.7604,227.01338209176473
73,1.0547754313264027e+23,324773064050.3308,230.23160005304527
74,2.2589065276492344e+23,475279552226.8168,233.53898260417475
75,4.781345362816885e+23,691472729962.4248,236.79550114486113
76,1.03244303619047e+24,1016092041200.2399,240.138660993109
77,2.1923098717757744e+24,1480645086364.6475,243.40901939452422
78,4.67355178793383e+24,2161839908025.9922,246.69647059498035
79,9.816391498936876e+24,3133112110815.1997,249.91951870668152
80,2.110454927115566e+25,4593968793010.643,253.24376081383096
81,4.522246560355711e+25,6724765096533.641,256.55354237107707
82,9.499783733065292e+25,9746683401580.916,259.77713718488275
83,2.0378413969148642e+26,14275298234765.059,263.0917038029599
84,4.320997582297344e+26,20787009362333.35,266.3558402331303
85,9.348537789235742e+26,30575378639087.598,269.7074368790712
86,1.9873476401268946e+27,44579677434083.06,272.982738434475
87,4.242263068913991e+27,65132657468538.7,276.275975962492
88,8.920977710729062e+27,94450927527097.7,279.5041245427584
89,1.9208667408567508e+28,138595336893300.66,282.8349723695018
90,4.120679157318001e+28,202994560452195.4,286.14968800976703
91,8.662328503275213e+28,294318339613337.94,289.3763464954558
92,1.8609480895829236e+29,431387075557778.3,292.6973425882549
93,3.949549872688537e+29,628454443272425.0,295.9654760222218
94,8.554367538680324e+29,924898239736692.5,299.32187905798236
95,1.820437184999079e+30,1349235778134822.2,302.60175698002763
96,3.8895064147730045e+30,1972183159539956.2,305.8989449208631
97,8.182807977765402e+30,2860560780295605.0,309.1290235990451
98,1.7636381157710163e+31,4199569163344040.5,312.46409476233976
99,3.7872121687784963e+31,6154032961220224.0,315.78319636028834
