t,mse_t,rmse_t,mse_db_t
0,0.6961927176332849,0.8343816378811826,-1.5727052386733054
1,0.5324341804497671,0.7296808757599222,-2.7373407208497813
2,0.5159610591578462,0.7183042942638211,-2.8738307440193434
3,0.6005592839949189,0.7749576014175994,-2.214441149204791
4,0.7783024543116642,0.8822145171734957,-1.0885160003776109
5,1.0652941645958367,1.032130885399636,0.27469548075658035
6,1.5163630485264423,1.2314069386382562,1.8080319278381318
7,2.067321594549881,1.437818345462973,3.1540804115293586
8,2.7334133703972943,1.6533037743854861,4.367053144249039
9,3.3477555383755857,1.829687278847286,5.247537371913637
10,3.8710264481645815,1.9674924264567275,5.878261385761742
11,4.442924174780242,2.1078245123302466,6.476689014120317
12,5.178203599809787,2.2755666546620397,7.141791222934386
13,6.264087992384271,2.5028160124915835,7.96857849678644
14,8.012932357207946,2.8307123409502326,9.03791476571645
15,10.041299510925105,3.1688009579216403,10.017899213650681
16,12.003283339002724,3.464575491889695,10.79300057795156
17,13.956649282567808,3.73585991206413,11.44781165224142
18,15.738399585096946,3.9671651824819376,11.969605674957693
19,16.316876252079098,4.039415335426539,12.126370198385052
20,15.110226373128622,3.8871874630802954,11.792709707496261
21,13.298568071605494,3.6467201800529603,11.23804880660355
22,11.505939317807565,3.392040583160462,10.609220792313874
23,9.94074461788536,3.15289464110131,9.974189167239544
24,8.530337424047039,2.920674138627423,9.309662103590087
25,7.5543697803805285,2.7485213807392017,8.78198239380605
26,7.036685770032359,2.652675210053496,8.473681576228177
27,6.718973552615089,2.5920982914648683,8.273029316127394
28,6.4620168692987106,2.5420497377704296,8.103680874225384
29,6.342690444221418,2.5184698616861425,8.022735161196668
30,6.35442453200576,2.5207983917810166,8.030762261896673
31,6.352521689330809,2.5204209349493207,8.029461565308456
32,6.214876610042187,2.4929654249592366,7.934325105947577
33,5.954250623901936,2.4401333209277594,7.748271108425991
34,5.72759232226625,2.393238876975353,7.5797209825037335
35,5.353050041422606,2.3136659312490657,7.286013032773459
36,4.933244483485825,2.2210908318855007,6.931326389159761
37,4.321610041603333,2.078848248815515,6.356455759621859
38,3.7494254421615545,1.9363433172249065,5.739647220166684
39,3.2780294986577054,1.8105329322212578,5.156128574244199
40,2.906766044063925,1.7049240581515428,4.634100782579092
41,2.5742273160220948,1.6044398761007204,4.1064689444681
42,2.345182325426471,1.531398813316267,3.7017661244492803
43,2.069707846001304,1.4386479228780418,3.1590904602496246
44,1.9443111343828354,1.3943855759376012,2.8876576323097263
45,1.8351168075269952,1.3546648321732557,2.636637128659861
46,1.7003489704730794,1.303974298240989,2.305380627885549
47,1.6025872440964815,1.2659333489945201,2.0482168162194085
48,1.561360891115714,1.2495442733715816,1.9350329697989603
49,1.5871216838286772,1.259810177696893,2.0061022517288083
50,1.6625122041521236,1.2893844283812814,2.2076484205121423
51,1.7625995382817434,1.327629292491599,2.4615365202136825
52,1.8466857120834064,1.358928148241623,2.6639298903949467
53,2.023429863341723,1.4224731503060868,3.0608815535888354
54,2.2505034638518624,1.5001678118970099,3.522796857173292
55,2.4653744288487696,1.5701510847204385,3.9188288711583685
56,2.667460365045495,1.6332361632799755,4.260979750993512
57,2.9095286700127336,1.7057340560628826,4.638226410162761
58,3.1544328525895473,1.7760723106308334,4.9892128715166795
59,3.4537778773144017,1.858434254235108,5.382944033650176
60,3.7648652555536652,1.9403260693897986,5.757494374247165
61,4.197774022218035,2.048846998245119,6.2301905560291075
62,4.685014027092712,2.1644893224714026,6.707108955183205
63,5.187117294283746,2.277524378417001,7.149260686383197
64,5.518412417391554,2.349130140582159,7.41814154262835
65,5.549437630601969,2.355724438596749,7.44248974780147
66,5.4350217934666905,2.3313133194546567,7.352012898691117
67,5.29614295087189,2.3013350366410994,7.23959698851769
68,5.0727374118483874,2.252273831453091,7.052423818252222
69,4.808251895040208,2.192772650103108,6.819872114406881
70,4.489914846735881,2.1189419167914636,6.522381044903149
71,4.114738392666537,2.028481795004958,6.143422287990847
72,3.788533541055674,1.9464155622722692,5.784711365454354
73,3.5065602202967647,1.8725811652093387,5.448813017027918
74,3.3213290882988855,1.8224513953186476,5.213119090676645
75,3.319459665251838,1.8219384361859865,5.210673959035656
76,3.296632377182772,1.8156630681882506,5.180705196446283
77,3.372884640629511,1.836541488948592,5.2800148770720075
78,3.5062859208885753,1.8725079227839265,5.448473278448093
79,3.533046076210316,1.8796398793945388,5.481493013220242
80,3.5351005166281158,1.8801862983832522,5.484017669861857
81,3.5436194846750437,1.8824503936824055,5.494470809976871
82,3.5151379608010456,1.8748701183818162,5.459423747153947
83,3.518582638855295,1.875788537883547,5.463677554990923
84,3.600456527328034,1.897486897801414,5.563575715253473
85,3.678839336221869,1.9180300665583605,5.657108215587998
86,3.7805400514653402,1.9443610908124396,5.775538433870626
87,3.8587039380822397,1.9643584036733825,5.864414582838398
88,4.021289901915741,2.0053154120775467,6.043653832904048
89,4.243387538812709,2.059948431105184,6.2771269669288285
90,4.513563496473838,2.12451488497347,6.545195564610409
91,4.7865299837796655,2.187813973760033,6.800207837650738
92,5.122809790473915,2.263362496480384,7.095082308556188
93,5.392080913632841,2.322085466478967,7.31756400604525
94,5.7951264111696,2.4073068793092416,7.630629138241413
95,6.156676557599552,2.4812651123166085,7.893463384315897
96,6.602895793683559,2.5696100470078256,8.197344433300568
97,6.964369561160634,2.6390092006585792,8.428818086995047
98,7.220072407255754,2.687019242070245,8.585415529593819
99,7.226933472731475,2.6882956445918436,8.589540568546322
