t,mse_t,rmse_t,mse_db_t
0,0.40036233118587194,0.6327419151485635,-3.9754679065248775
1,0.3636443336615091,0.603029297515062,-4.3932317525523565
2,0.40094648111123027,0.6332033489418942,-3.9691359373705537
3,0.510352046496598,0.7143892821820593,-2.9213013938153427
4,0.7444429355461807,0.862811065961825,-1.281685870014364
5,1.2084961164766455,1.0993162040453355,0.8224525913301697
6,2.09254026122144,1.4465615303959387,3.206738227265134
7,3.7076658579076436,1.9255300199964798,5.691005877686415
8,6.533027990583067,2.5559788713099856,8.151145189168492
9,11.305121615098038,3.3623089707964136,10.532752386390879
10,19.06765820480174,4.366652975083061,12.802973584270749
11,30.980530259593852,5.5660156539120385,14.910888468268276
12,47.9294827156662,6.92311221313552,16.806027418450313
13,69.9121285990204,8.3613472956827,18.445525251977465
14,95.51643275931784,9.773250879790094,19.800780945445794
15,122.18904410402313,11.05391532915026,20.870322672938187
16,147.27878917887074,12.135847278985953,21.681402050512503
17,168.750470060366,12.990399149385905,22.272449912472926
18,185.15300518407832,13.607093928685813,22.675307653958345
19,195.63374400952162,13.98691331243322,22.91443766469913
20,200.4447296497751,14.1578504600725,23.019946417084597
21,201.10057572708575,14.18099346756375,23.0341331393209
22,199.6418910361941,14.129468887265158,23.002516749122503
23,197.51042971799723,14.053840390370071,22.9559003388338
24,195.22229521296293,13.972197222089406,22.905294144323104
25,192.409159589747,13.871162878062783,22.842257426737135
26,188.62052741760525,13.733918865990335,22.755889548863202
27,183.39377280024365,13.542295699040235,22.63384584963193
28,176.57877228431641,13.288294558908468,22.4693849293404
29,168.44262631611286,12.97854484586438,22.264520042140525
30,159.51888693943246,12.630078659273364,22.028121106406687
31,150.2469804685361,12.257527502254934,21.768057526945444
32,140.82886679694883,11.867133891422514,21.486916846758763
33,131.2764733012939,11.457594568725753,21.181869010252278
34,121.6727057035874,11.030535150371781,20.851931658079543
35,112.02463535654546,10.58416909145661,20.4931353894618
36,102.43489370831841,10.121012484347522,20.10447921128167
37,93.11663892334435,9.649696312493173,19.69027291582138
38,84.30591805245517,9.18182542049538,19.258580620187274
39,76.23125157691356,8.731051000705103,18.821330501450174
40,68.96790592025519,8.30469180164172,18.386470396603272
41,62.49921733617641,7.905644650259484,17.958745788047462
42,56.79005121352461,7.535917410211222,17.542722603323607
43,51.78829109152707,7.196408207677429,17.142315804180722
44,47.440997692542126,6.88774256868984,16.76153813741736
45,43.67643178545129,6.608814703519179,16.40247150777546
46,40.45677161319734,6.3605637810808355,16.069912238002363
47,37.8048415995873,6.148564190084324,15.775474227296947
48,35.71762755948939,5.97642263896132,15.528826044147099
49,34.244530016118105,5.85188260443749,15.345912101777712
50,33.45000045131838,5.783597535385599,15.243961279634856
51,33.393285346144445,5.778692356073686,15.236591485396133
52,34.14297522023986,5.843199057043997,15.333013628663894
53,35.77382915642482,5.981122733770376,15.535654286169994
54,38.31782230264656,6.190139118198117,15.834008190699112
55,41.77656947002934,6.4634796719746355,16.20932774528795
56,46.11976419890451,6.791153377660124,16.638870781678396
57,51.23179284567086,7.157638775858339,17.095395541851
58,56.958613337673945,7.547093038890798,17.555594078210937
59,63.04553732214863,7.940121996679184,17.996543504656664
60,69.20202365908976,8.318775370154537,18.401187946175323
61,75.14908620727307,8.668857260750869,18.759237040506484
62,80.60820332247215,8.978207132967704,19.063792412640833
63,85.36300274224364,9.239210071334217,19.312696834952625
64,89.23988265238772,9.446686331851382,19.50558990528721
65,92.14395864065563,9.599164476174769,19.644668662503054
66,94.01905813060547,9.696342513061586,19.732158961744034
67,94.85118651266207,9.739157382066585,19.770427679361084
68,94.63160102070047,9.727877518796198,19.760361877459264
69,93.4246779681286,9.665644208645826,19.70461609525092
70,91.34622137361093,9.557521717140428,19.606905870412547
71,88.59097839102344,9.41227806596381,19.473894980215313
72,85.41990998050301,9.242289217531715,19.315591094112055
73,82.0236686749347,9.056691927792107,19.139391900873846
74,78.57233500270375,8.864103733751302,18.952696596451005
75,75.1421441832305,8.668456851321952,18.758835835096264
76,71.77711580977753,8.472137617495216,18.559860032718916
77,68.45756785584429,8.273908861949367,18.354214655650892
78,65.19355085720878,8.074252340446685,18.14204636135972
79,62.04777724372336,7.877041147773912,17.92726228250929
80,59.1027426213651,7.687830813783893,17.716076344800403
81,56.46310181165696,7.514193357350938,17.51764732519442
82,54.27270079616905,7.367000800608688,17.345814341036643
83,52.613574202126635,7.253521503526866,17.21097805760946
84,51.541892232842265,7.17926822404918,17.12160358553201
85,51.116709722696896,7.149595074037193,17.08562891408854
86,51.428549476060425,7.171370125440495,17.112042753724886
87,52.55110470853436,7.249214075231491,17.205818500270166
88,54.519555161691315,7.383735854003129,17.36552303662802
89,57.30333344835025,7.569896528245961,17.581798864720266
90,60.82009358295758,7.798723843229582,17.840470840509745
91,64.95404614633104,8.059407307385019,18.12606209516709
92,69.50270399767285,8.33682817369249,18.42001701114207
93,74.27400935950817,8.618237021543802,18.708368680479904
94,79.02668043645916,8.889695182426626,18.977737395198048
95,83.51476360589528,9.138641234116552,19.217632561519885
96,87.48370948516971,9.353272661756938,19.419271897152154
97,90.65108341884986,9.521086252043402,19.573729989446697
98,92.83112139522419,9.634890834629326,19.676935967402493
99,93.88289998878173,9.689318860930408,19.72586496240503
