t,mse_t,rmse_t,mse_db_t
0,0.9508103182063798,0.9750950303464683,-0.2190611394871733
1,0.9031439685684326,0.9503388703869965,-0.44243014059591473
2,0.9716701603615282,0.9857333109728657,-0.12481134091519364
3,0.9647565522104731,0.9822202157410899,-0.15582263205708322
4,0.8658862226136087,0.9305300761467137,-0.6253917049692365
5,0.8189589137485989,0.9049634875223413,-0.8673788576076973
6,0.7391202831998362,0.8597210496433342,-1.3128487949538443
7,0.7008888422133801,0.8371910428411069,-1.5435085370418586
8,0.6718183807892302,0.8196452774153159,-1.7274811813928954
9,0.6230870230312301,0.7893586149724535,-2.054512936571572
10,0.6158805169339344,0.7847805533612148,-2.10503534376895
11,0.6252438888477778,0.7907236488481787,-2.0395054438379883
12,0.6355751340109121,0.7972296620240068,-1.9683310229709392
13,0.5840974627466595,0.7642626922378585,-2.335146802823368
14,0.5589104888371453,0.7476031626719789,-2.5265774008645607
15,0.5080337259562396,0.7127648461843777,-2.941074560024811
16,0.4803117925582649,0.6930453033952866,-3.1847675048343858
17,0.5129845110484982,0.7162293704173951,-2.8989574769075683
18,0.513808326473627,0.7168042455744992,-2.8919886209332146
19,0.5270369477852568,0.7259731040370964,-2.781589376208795
20,0.5184163292713743,0.7200113396824902,-2.853213273520436
21,0.5265063343384393,0.7256075622114473,-2.7859639949904103
22,0.47812874359163476,0.6914685412884919,-3.2045514710528833
23,0.5009206849425031,0.7077575043349968,-3.0023103424998188
24,0.4862579993465981,0.697322019834881,-3.131332411037463
25,0.4892593560001812,0.699470768510151,-3.1046086067169707
26,0.4713593534712847,0.6865561546379763,-3.2664787052663065
27,0.44508576631969077,0.6671474846836273,-3.5155629407437976
28,0.4229663619264383,0.6503586410023613,-3.7369417023873264
29,0.4243876553656536,0.651450424334541,-3.722372573921642
30,0.4162516649913388,0.6451756853689844,-3.806440163202071
31,0.4058171444301193,0.6370377888556685,-3.916696094118024
32,0.41169137636957087,0.6416318074796252,-3.854282300011393
33,0.4120444055368213,0.6419068511371578,-3.850559780435522
