t,mse_t,rmse_t,mse_db_t
0,0.9781630507588052,0.989021259002457,-0.09588746293550006
1,1.8119969708066928,1.3461043684672793,2.5815746731262785
2,5.183872951969096,2.276812015070435,7.146543491636766
3,13.666569584683062,3.696832371731651,11.356595169523032
4,32.65765026755504,5.714687241446818,15.139849338438289
5,82.43238112991719,9.079228002970142,19.160978449928958
6,209.43603295245012,14.471904952439749,23.210514030646966
7,524.7162431705069,22.906685556197495,27.199245084715074
8,1256.852096799813,35.45210990617925,30.992841740081776
9,3049.5654420311334,55.22287064279739,34.84237957519282
10,7937.740934710593,89.0940005539688,38.99696920665673
11,22137.074880685366,148.78533153737087,43.451202341080005
12,64830.46012032184,254.61826352467696,48.117791039260204
13,171312.34673961235,413.89895716178404,52.33788664352845
14,469541.61204487155,685.2310647109276,56.71674086656773
15,1389689.039662605,1178.8507283208528,61.42917632292314
16,4285435.6877495665,2070.1293891323717,66.3199498195737
17,13975386.834151499,3738.3668672498557,71.45363837854511
18,56185612.197743386,7495.706250764059,77.49625117293077
19,238278126.15277454,15436.260109002262,83.77084176097321
20,1087328819.5707998,32974.6693625698,90.36360899127854
21,5612227891.791871,74914.80422314318,97.4913529780504
22,25005060276.846123,158129.88419918015,103.9802790578911
23,131961880359.74393,363265.5782753768,111.20448495294362
24,650254152514.8583,806383.3781241142,118.13083134275878
25,2908149233035.0244,1705329.6552382547,124.63616688782837
26,12770383162956.707,3573567.288152933,131.06203928043473
27,47254628711776.43,6874200.223427918,136.74444355184463
28,187859798558840.5,13706195.626753636,142.73833852308923
29,728614671609790.9,26992863.34588813,148.62497912081605
30,2759603031825050.0,52531923.930359244,154.40846613410434
31,1.213004753087153e+16,110136494.99993874,160.83862502627068
32,4.315445451458171e+16,207736502.60505906,166.35025631366483
33,1.8267166234524915e+17,427401055.6201858,172.616711809507
34,8.258363478948273e+17,908755383.9702009,179.16893993751515
35,3.150113315034672e+18,1774855857.5373585,184.9832617639568
36,1.371062701524838e+19,3702786385.311524,191.37057316425964
37,6.4027845800123965e+19,8001740173.245065,198.06368890347403
38,2.28962361914571e+20,15131502301.971573,203.59764096504688
39,9.23480903215694e+20,30388828592.35765,209.65427919035818
40,3.534230266074127e+21,59449392478.59583,215.48294841726357
41,1.3834757808429113e+22,117621247266.08333,221.4097156077488
42,5.192221691084225e+22,227864470488.144,227.15353227158863
43,2.146174969093419e+23,463268277469.26715,233.31665125371865
44,8.666169285974785e+23,930922622239.6136,239.37827168340942
45,3.8712506170207686e+24,1967549393794.4146,245.87851287585042
46,1.7115080308439325e+25,4137037624730.9287,252.33378941302132
47,8.236440443558807e+25,9075483702568.59,259.1573956245943
48,3.589885459366209e+26,18946993057913.46,265.5508059198813
49,1.701744273250877e+27,41252203253291.54,272.30894297781276
50,7.430121194950004e+27,86198150762936.92,278.7099589772676
51,2.8536351319660683e+28,168927059169514.6,284.5539844309406
52,9.078233798368754e+28,301301075311203.5,289.58001363253044
53,2.788077917013966e+29,528022529539598.94,294.4530490660544
54,6.650267210382867e+29,815491705070190.6,298.22839095778795
55,1.5010369361995252e+30,1225168125687052.5,301.76391379112204
56,3.83825248029526e+30,1959145854778367.5,305.84133539235444
57,1.0345792916976233e+31,3216487667779286.5,310.14763781253174
58,2.512895393296178e+31,5012878806929386.0,314.00174410176413
59,5.533937470382038e+31,7439043937484197.0,317.43034247609154
60,1.1676793423443386e+32,1.0805921258015618e+16,320.6732359708303
61,2.219141798812642e+32,1.4896784212750892e+16,323.46185053685065
62,3.329584235787649e+32,1.8247148368409924e+16,325.22390006666615
63,4.3016320753320686e+32,2.074037626305769e+16,326.336332618194
64,5.4750415800488644e+32,2.3398806764552896e+16,327.3838742176187
65,1.0873322924819152e+33,3.297472202281492e+16,330.3636228625537
66,3.969583597030805e+33,6.300463155221848e+16,335.9874495235595
67,1.2725529994962182e+34,1.1280749086369301e+17,341.0467587895334
68,2.993708297635093e+34,1.730233596262393e+17,344.76209481077433
69,9.601837819565223e+34,3.098683239630218e+17,349.8235436621732
70,2.268371908133316e+35,4.762742810748147e+17,353.55714260277585
71,3.1220532414325303e+35,5.58753366113577e+17,354.9444030496061
72,4.895223875699386e+35,6.996587650919116e+17,356.897725583981
73,8.375473059240574e+35,9.151761065085001e+17,359.230093460033
74,1.7303691035896825e+36,1.3154349484446894e+18,362.3813875200414
75,5.229880724997409e+36,2.2868932473986207e+18,367.18491784265717
76,1.661700714888304e+37,4.076396343448836e+18,372.20552806706314
77,3.5870718335743264e+37,5.989216838263853e+18,375.5474007380799
78,1.048809413162137e+38,1.0241139649287754e+19,380.20696576532936
79,1.9449546702955934e+38,1.3946163165170532e+19,382.88909483980547
80,4.713944277288989e+38,2.1711619647757718e+19,386.73384444499516
81,7.998213107377584e+38,2.828111226132661e+19,389.0299297145606
82,1.8900447688895405e+39,4.347464512666596e+19,392.76472091290395
83,3.454170469966512e+39,5.8772191297981325e+19,395.3834376702962
84,5.586802986520279e+39,7.4744919469622e+19,397.4716335663388
85,8.220035701371327e+39,9.06644125408163e+19,399.1487370377787
86,6.587352117466276e+39,8.116250438143389e+19,398.18710878651075
87,6.170698135792333e+39,7.855379135211956e+19,397.90334301694537
88,9.25425412129395e+39,9.6199033889608e+19,399.6634142102949
89,1.9629959189231366e+40,1.401069562485438e+20,402.9291939670087
90,4.1990395620857454e+40,2.0491558169367563e+20,406.23149966448983
91,6.385954885368287e+40,2.527044693979172e+20,408.05225846069254
92,8.073527120655211e+40,2.8413952770875107e+20,409.07063308499573
93,1.3326866638502805e+41,3.6505981206513005e+20,411.24728051771797
94,1.7373383482592232e+41,4.168139091080363e+20,412.398844059384
95,2.7950012621255067e+41,5.286777148817138e+20,414.46382008334797
96,3.926429859176721e+41,6.266123091016264e+20,415.9399784372274
97,7.654100329888729e+41,8.748771530842904e+20,418.8389415065455
98,1.1029814894949247e+42,1.0502292556841695e+21,420.4256822406515
99,1.3417954879532235e+42,1.1583589633413398e+21,421.27686327143135
