t,mse_t,rmse_t,mse_db_t
0,1.0066300641416355,1.0033095554920404,0.028698969490970963
1,1.4311557483254684,1.1963092193598897,1.5568689927872859
2,2.296224449070151,1.515329815277899,3.6101433678710206
3,2.9671105630809786,1.7225302792929298,4.72333729680959
4,3.1698856829196767,1.7804172777525151,5.010436003337175
5,2.946113662026851,1.7164246741488107,4.692494980527203
6,2.563606748123856,1.601126712076173,4.088514060970411
7,2.332902929199484,1.527384342331518,3.678966684165228
8,2.470176942679529,1.5716796565074986,3.927280635742383
9,2.9247327288243654,1.710184998421038,4.660861850506067
10,3.5011903292991904,1.8711467952299174,5.442157202245062
11,4.004605137360587,2.0011509531668485,6.025597001656734
12,4.326193410021204,2.079950338354549,6.36105931429312
13,4.527025096841709,2.1276806848871166,6.558129021359979
14,4.73914026983737,2.1769566531829176,6.756995632076944
15,5.127483848233087,2.264394808383266,7.099043009986113
16,5.838918604551348,2.416385442050036,7.663324211597322
17,6.9128240612969565,2.6292249925209816,8.396555037679788
18,8.243061101965042,2.871073162071117,9.1608851907795
19,9.727334939746145,3.118867573294215,9.879938701243923
20,11.3319350081316,3.366293957474837,10.543040750532393
21,13.158765310511965,3.6275012488642875,11.192151412545712
22,15.455126958247385,3.931300924407515,11.890725769852057
23,18.513745239410653,4.302760188461664,12.674942832736047
24,22.49964939750925,4.7433795333611295,13.521757507374332
25,27.49402790149146,5.243474792681992,14.392383690631267
26,33.35762937251458,5.7756064073406685,15.2319517904549
27,39.958126189288514,6.3212440381058315,16.016051140701407
28,47.37042573236104,6.882617651181929,16.755072878815206
29,55.775148241946184,7.468276122502848,17.464407332467523
30,65.70133599540304,8.105636063591989,18.17574200755096
31,77.71243707799538,8.81546578905479,18.90490528737924
32,92.52273179268671,9.618873727868909,19.662484471095492
33,110.67944094493859,10.52042969393069,20.440669568012105
34,132.83454232195575,11.525386862138545,21.233110237454525
35,159.83122925486225,12.642437631044983,22.036616396085996
36,192.77291652471501,13.884268670863259,22.8504601799996
37,233.59547484096095,15.283830502886406,23.68464425466751
38,284.3564620561828,16.8628722955546,24.538631021273222
39,346.97339254406575,18.627221814969236,25.4029617244407
40,423.42838762358394,20.57737562527311,26.26779970771251
41,514.9235992302789,22.69192806330654,27.117427962370712
42,623.9892643878045,24.979777108449237,27.951771177958147
43,753.221014582696,27.444872282134888,28.769224281661753
44,906.582307044211,30.109505260701496,29.574072390685245
45,1090.1718765888486,33.017750931716236,30.374949742429386
46,1312.4567575203882,36.22784505764024,31.18085003293496
47,1583.7227122287707,39.79601377310007,31.99679144999271
48,1917.132235613106,43.78506863775716,32.82652069694144
49,2327.269345142878,48.24178007850538,33.668466490108365
50,2831.7277714145434,53.213980976943866,34.520515000575614
51,3450.7975011117783,58.7434890103727,35.379194748724615
52,4214.899816834306,64.92225979457513,36.24787256419097
53,5153.060295492142,71.78481939443841,37.12065224131232
54,6300.097624550613,79.37315430641907,37.9934727921154
55,7704.265239543159,87.77394396712022,38.8673122610078
56,9419.22867671843,97.05271081591916,39.74015340673973
57,11485.229701441041,107.16916394859597,40.60139685388315
58,13981.792636343196,118.24463047573533,41.455628568289136
59,16986.376219799775,130.33179282047712,42.30100738751078
60,20636.23070296956,143.653161131141,43.14630374428377
61,25053.726977852883,158.2836914462538,43.98872340403595
62,30456.274068845287,174.5172600886379,44.83676771937767
63,37133.061910030934,192.69940817249787,45.6976076166365
64,45361.9795856673,212.98351951657503,46.56691998803113
65,55458.49151058587,235.4962664472324,47.439680524481474
66,68016.00858655105,260.79878946527157,48.326111424497284
67,83503.99107706115,288.97057129932995,49.217072331042274
68,102626.65802701858,320.353957408081,50.11260186606603
69,126047.95527226222,355.0323298972394,51.00535805020985
70,154625.81531533273,393.22489152561633,51.892820026033306
71,189554.76335657205,435.37887334661986,52.77734702365629
72,232087.25135454268,481.7543475201264,53.65651285141671
73,283629.3820081663,532.5686641252621,54.527512186938395
74,346466.79564900685,588.6143012610269,55.39661619445959
75,422692.6321104726,650.1481616604576,56.260246777754276
76,515169.2151569142,717.7528928237866,57.11949903096059
77,627756.9060081893,792.311116928312,57.97791499122517
78,766477.2587139412,875.48686952686,58.84499273917646
79,938634.826018389,968.8316809530895,59.72496663734375
80,1151661.918058359,1073.1551230173386,60.61325006282622
81,1414678.310768907,1189.4025015817424,61.50657695166948
82,1737869.5333965966,1318.282797201191,62.40017169665742
83,2138394.059585098,1462.3248816815976,63.3008773928898
84,2631461.6256348784,1622.1780499177266,64.20197041122616
85,3240079.2520316504,1800.0220143186168,65.10555633138428
86,3979566.980844681,1994.8852049290158,65.99835818792108
87,4883031.21619909,2209.758180480183,66.88689500646949
88,5995462.790715826,2448.563413660309,67.77822711988134
89,7346784.011973501,2710.495159924382,68.66097272213112
90,8976201.406259583,2996.030942139881,69.53092588636444
91,10964429.376036651,3311.257974854368,70.39986034528174
92,13414146.474854182,3662.532795055108,71.2756304427939
93,16376561.84997778,4046.796492285939,72.14222729761876
94,20032631.060797904,4475.782731634536,73.0173799273568
95,24569713.778553832,4956.784620956799,73.9040009725669
96,30150134.067745663,5490.913773475747,74.79289247645413
97,36962257.4783294,6079.659322554957,75.67758487992914
98,45373788.48662611,6736.006865096421,76.56805042218333
99,55794241.63907453,7469.554313282321,77.46589378983785
