t,mse_t,rmse_t,mse_db_t
0,0.02315966152352126,0.1521829869713473,-16.352677920750484
1,0.010273556134140842,0.101358552348289,-19.882792017669793
2,0.00726136571601388,0.08521364747511914,-21.38981689610104
3,0.0054564212608267885,0.07386759276453232,-22.630921075249653
4,0.004644211028120131,0.06814844846451114,-23.33088054595422
5,0.004224952894804162,0.06499963765132974,-23.741781287594165
6,0.0038407287018081032,0.061973612947835335,-24.15586369082922
7,0.004051938543220182,0.06365483911864189,-23.923371503163867
8,0.003971149595632645,0.06301705797347766,-24.01083752489364
9,0.0039178712231716485,0.06259290074099177,-24.069498429673864
10,0.004030540075660095,0.06348653460112699,-23.946367562996357
11,0.004015763988665727,0.06337005593074482,-23.962318191279923
12,0.003986877035604994,0.0631417218295874,-23.99367158764931
13,0.004131068449871995,0.06427338834908267,-23.839376089073625
14,0.004031538094859002,0.06349439420026781,-23.945292321045173
15,0.004020968009882322,0.06341110320663347,-23.95669382054226
16,0.004308138809763164,0.0656364137484915,-23.657103120261045
17,0.0043580113217267236,0.06601523552731386,-23.60711645829769
18,0.00436601873053834,0.06607585588199626,-23.599144054679254
19,0.004354454037623557,0.06598828712448564,-23.61066289177822
20,0.0043380276365338165,0.06586370500156985,-23.627076855270115
21,0.004202099421496067,0.0648236023489598,-23.7653367641928
22,0.004205134367627178,0.06484700739145313,-23.76220122532727
23,0.004243037839919859,0.06513860483553405,-23.72323095125887
24,0.0042808777918011956,0.06542841731083823,-23.684671699942225
25,0.004328623921985033,0.06579227858939857,-23.636501447716412
26,0.004077060244711173,0.06385186171687693,-23.896528711447726
27,0.004032369850729131,0.06350094369951624,-23.944396410555107
28,0.004001632034482978,0.06325845425303228,-23.977628489183758
29,0.0038878793435236313,0.06235286155040225,-24.102872214348018
30,0.0040574811957980175,0.06369836101343596,-23.917434842140118
31,0.003951980022504927,0.06286477568960958,-24.031852594634078
32,0.003903619051585895,0.06247894886748572,-24.085325710941213
33,0.003961832497238673,0.06294308935251489,-24.021038899945275
34,0.004132872320734589,0.06428741961484058,-23.837480114269646
35,0.004198507191027975,0.06479588868923687,-23.769050986360476
36,0.0040200026999773885,0.0634034912286176,-23.957736552277467
37,0.004011521439637008,0.0633365726862214,-23.966908823618564
38,0.004021704479625673,0.06341691004476387,-23.95589845122457
39,0.0040844474023035175,0.0639096816007052,-23.88866692219466
40,0.004191513150203486,0.06474189640567757,-23.776291669735098
41,0.00418098592457711,0.06466054380050565,-23.787212945133934
42,0.004285769100783836,0.06546578572646812,-23.67971230624263
43,0.004123414584546146,0.06421381926459557,-23.84742997304194
44,0.00420124275952079,0.06481699437277842,-23.766222229908685
45,0.004428692938439122,0.06654842551435099,-23.53724430296512
46,0.00446031094343747,0.06678555939301152,-23.50634864087884
47,0.004559454539094719,0.06752373315431189,-23.41087110149305
48,0.004528141597962592,0.0672914674974665,-23.440800009336776
49,0.004441850850042344,0.06664721186998256,-23.52436028428493
50,0.006862966302766307,0.08284302205235096,-21.634881334943756
51,0.00819947981353833,0.09055097908658044,-20.862136989913893
52,0.008357460754481913,0.09141914872980339,-20.779256541194155
53,0.009709065947639291,0.0985345926446103,-20.12822549010453
54,0.009867744129571985,0.09933651961676523,-20.05782120284416
55,0.009935122116726643,0.09967508272746325,-20.028267904268795
56,0.010133449865734601,0.10066503795128973,-19.942426767930304
57,0.010407994808645443,0.10201958051592568,-19.82632933066109
58,0.010779045611164675,0.10382218265459783,-19.674196903694796
59,0.010810558220104216,0.10397383430509917,-19.661518799919566
60,0.011003763532079425,0.10489882521782322,-19.58458751053756
61,0.010819257893557336,0.10401566177051097,-19.658025270100417
62,0.011530113159013436,0.1073783644828577,-19.38166430424819
63,0.011890805937850716,0.10904497208881625,-19.247887086698384
64,0.012099863724685758,0.10999938056500935,-19.172195209191095
65,0.012152681138646676,0.11023919964625413,-19.15327896941062
66,0.011814984799058664,0.10869675615701999,-19.275668327865162
67,0.011631624225594411,0.1078500079999738,-19.343596366936772
68,0.011602526180568553,0.10771502300314731,-19.354474429422332
69,0.012408165551601985,0.11139194563163884,-19.062924207338156
70,0.011950387268695123,0.10931782685680833,-19.226180205792673
71,0.012520334076562695,0.11189429867764798,-19.02384082813127
72,0.012173295884630736,0.11033266009949518,-19.14591821875192
73,0.011667769622546965,0.10801745054641386,-19.330121545112537
74,0.011640518992392773,0.10789123686561747,-19.34027656240458
75,0.011977650307935095,0.10944245203729262,-19.216283704596137
76,0.012244722270089253,0.11065587318389049,-19.120510609219192
77,0.01234761465734917,0.11111982117223358,-19.084169323805984
78,0.0119429189233635,0.10928366265532785,-19.228895159718288
79,0.011608788917683214,0.10774408994317607,-19.35213085498461
80,0.011432311536524763,0.10692198808722536,-19.418659493019252
81,0.011350074920609075,0.10653673038257311,-19.450012717307956
82,0.010941283600342461,0.10460059082214813,-19.609317248175262
83,0.012009877798830363,0.10958958800374406,-19.20461411544942
84,0.012533568944540434,0.11195342310327289,-19.01925245668171
85,0.012828166234036037,0.11326149493113728,-18.91835420893832
86,0.013094385382756145,0.1144307012246108,-18.829148814420158
87,0.012733583643053114,0.1128431816418392,-18.950493546041635
88,0.012902416449755602,0.11358880424476527,-18.893289445445898
89,0.012645213505757246,0.1124509382164384,-18.98073833493208
90,0.011518944376779621,0.10732634521299801,-19.385873188594836
91,0.011895972164183425,0.1090686580287088,-19.246000607063177
92,0.012716254679168648,0.1127663721114085,-18.956407826879037
93,0.012117090748816332,0.11007765780945893,-19.16601639526163
94,0.011970352626665562,0.10940910668982523,-19.218930558125265
95,0.01130232358841895,0.10631238680614291,-19.468322628978804
96,0.011567731857478265,0.10755339072980574,-19.367517869727155
97,0.011952413988163168,0.1093270963126853,-19.225443728863475
98,0.013086634163612365,0.11439682759417923,-18.831720381042732
99,0.012860317085801114,0.11340333807168602,-18.90748323253475
