t,mse_t,rmse_t,mse_db_t
0,0.9963649475004327,0.9981808190405347,-0.01581559512601773
1,1.406375991870742,1.1859072442104155,1.4810144398748042
2,2.2709071247400456,1.5069529271812194,3.5619937286451533
3,2.933065790236606,1.7126195696174342,4.673218045476412
4,3.086288796971453,1.7567836511566963,4.894365623825847
5,2.780822371826166,1.6675797947403195,4.441732486989418
6,2.346237784916564,1.5317433808953,3.703720245927947
7,2.113243438417188,1.4536999134681092,3.249495291732385
8,2.242199565672879,1.4973975977250928,3.5067426410791764
9,2.656287041645061,1.6298119651190015,4.24275003627755
10,3.135567029516408,1.7707532378952207,4.963160891929977
11,3.4862932201177577,1.8671618087669204,5.42363911323529
12,3.6341518925785374,1.9063451661696886,5.604030750716649
13,3.673827179068616,1.9167230313920205,5.651187227530858
14,3.75398332361627,1.937519889863397,5.744923390158766
15,4.028777365995562,2.0071814481993306,6.051732685323051
16,4.61357029128745,2.1479223196585697,6.640371418076731
17,5.4849764778327605,2.342002663925206,7.391747694550618
18,6.543858092950214,2.558096576157791,8.158338728581176
19,7.66232936381096,2.768091285310324,8.843608161162969
20,8.84112674671136,2.9734032263908237,9.465076166755455
21,10.167730741076893,3.1886879341003085,10.072240368365842
22,11.84495035811156,3.441649365945282,10.735332449453692
23,14.074623158495706,3.7516160729072086,11.484367756458129
24,16.99152011357339,4.12207716007032,12.302322339252658
25,20.580968756832508,4.5366252607894015,13.134658133731886
26,24.753980535089738,4.9753372282780735,13.93645045104912
27,29.358545481374584,5.418352653839964,14.677345354040954
28,34.42146563681598,5.866980964415683,15.368293582759769
29,40.20157062100841,6.3404708516803705,16.0424302071413
30,46.99885385992498,6.855571009035278,16.720872671191348
31,55.320046675971504,7.437744730492672,17.42882537870901
32,65.52961692659987,8.095036561165111,18.164376291624546
33,77.97233722484647,8.83019463119848,18.919405524153735
34,93.03818897243347,9.645630563754423,19.68661248077511
35,111.24330205698345,10.547194037135348,20.46273871632636
36,133.48562880388513,11.553598089075331,21.25434511639673
37,161.20770777068466,12.696759735093229,22.07385802743574
38,195.7136384239684,13.989769062567417,22.916210907877375
39,238.44320087417807,15.441606162384083,23.773849431887363
40,289.8786481278946,17.0258229794596,24.622162272841436
41,350.6163217323584,18.724751579990546,25.448321293085662
42,421.7437239680645,20.536399975849335,26.25048628507593
43,505.07705798919716,22.473919506601362,27.033576420918802
44,603.0657721132915,24.557397502856272,27.803646801470286
45,720.0557119156415,26.833853840170658,28.573660998222362
46,861.6649445120973,29.354129939620037,29.353384247145847
47,1035.608814470641,32.18087653359742,30.151957382283317
48,1250.7918423178621,35.36653562787656,30.971850401053608
49,1515.9423230301313,38.93510399408394,31.80682678033333
50,1836.2376464661363,42.85134357830728,32.63928887034045
51,2227.1912878856547,47.19312754931225,33.477575191020804
52,2704.6451876181545,52.00620335708188,34.32110299695249
53,3288.5634031685513,57.3459972724213,35.170062194295134
54,4001.6863627521648,63.25888366666112,36.022430472527745
55,4867.089553113643,69.76452933342017,36.872693372164434
56,5898.109915796581,76.79915309296439,37.70712861701559
57,7129.4451017780875,84.43604148571916,38.53055729204758
58,8596.827660225143,92.71907926756576,39.343382205659346
59,10353.00431777039,101.7497140918361,40.150663951357956
60,12503.94735528718,111.82105059105454,40.97047136527732
61,15125.072084218491,122.98403182616225,41.796974531231
62,18317.65645264786,135.34273697782183,42.62869909572664
63,22249.66096395733,149.1632024460367,43.473233976718134
64,27083.164109872985,164.56963301251233,44.326994013419096
65,32943.47585105533,181.50337696873666,45.17769419463208
66,40271.44057152161,200.67745406876583,46.04997165268533
67,49300.066627064654,222.03618314829828,46.928475062092176
68,60459.35148799475,245.88483379011961,47.81463484444579
69,74181.81826783523,272.3633937735305,48.70297474099219
70,90979.30829605814,301.6277644648419,49.58942630621579
71,111166.72109539084,333.4167378752765,50.45974796169386
72,135470.428879637,368.0630773109916,51.31844505719915
73,164907.4993465113,406.0880438359535,52.17240406103891
74,200427.45345916555,447.6912479144143,53.01957208558589
75,243432.88088174566,493.38917791308074,53.86379238729906
76,295569.82850123366,543.663341141587,54.706600996003615
77,360126.11251947744,600.1050845639265,55.564546129346304
78,439375.42116644036,662.8539968699293,56.428357586601685
79,536663.7949663628,732.5734058552513,57.297022973986486
80,656405.9697364462,810.1888481930902,58.17172522124821
81,804208.8095696018,896.7769006668279,59.053688261985144
82,985656.829806677,992.8025129937358,59.93725735567026
83,1209793.1223596176,1099.9059606891935,60.82711111226253
84,1485158.2927020853,1218.6707072470747,61.7177274455111
85,1821419.6310195213,1349.5998040232228,62.604100130334494
86,2234475.9286865997,1494.8163528295372,63.49175680502356
87,2735948.569817077,1654.0703037709966,64.3710792928544
88,3343589.197807443,1828.5483854159952,65.24212913478449
89,4080619.997673684,2020.0544541357501,66.10726153558514
90,4984390.304219593,2232.5748149210126,66.9761204254598
91,6082763.611602507,2466.3259337732525,67.84100939235992
92,7418689.827017943,2723.7271939417765,68.70327213751061
93,9059463.284256853,3009.894231406953,69.57102469245235
94,11085641.47779529,3329.5106964530523,70.44760828907991
95,13587737.671973793,3686.154862722644,71.33147153688572
96,16669459.025482124,4082.824883029166,72.21921505883182
97,20471125.428073473,4524.50278241416,73.11141719251002
98,25166592.29159703,5016.631568253446,74.00824413436808
99,30822394.089811612,5551.791971049673,74.88866368957775
