t,mse_t,rmse_t,mse_db_t
0,0.14392179435700034,0.3793702602432093,-8.418734350259992
1,0.07347908897731896,0.2710702657565358,-11.338362368868605
2,0.048912030968503946,0.22116064516207207,-13.105843036456664
3,0.037812649429758774,0.1944547490542691,-14.223628917352526
4,0.03039519207916355,0.17434216953784745,-15.171951077933667
5,0.025476718664324962,0.15961428089091828,-15.938565087442779
6,0.023083615929537157,0.1519329323403493,-16.36696160193833
7,0.022154724405785357,0.14884463176677,-16.545336480151768
8,0.021259390723564017,0.14580600372948987,-16.724491861525973
9,0.019697534434362843,0.1403479049874377,-17.05588131633521
10,0.019083835987649664,0.13814425788880863,-17.19334324557295
11,0.01827426390247879,0.1351823357635116,-17.381601076412387
12,0.01888999175011581,0.1374408663757465,-17.237682317488897
13,0.018266509859167435,0.13515365277774566,-17.383444243880636
14,0.018672362136211526,0.13664685190743153,-17.288007384070355
15,0.018481917306970817,0.135948215534338,-17.332529772368368
16,0.01856767146951281,0.13626324328120482,-17.31242556752913
17,0.017554939181526997,0.13249505342286177,-17.556006707940718
18,0.01824307311993389,0.13506692089454728,-17.389020011714997
19,0.017748073691130864,0.1332218964402281,-17.508487767334262
20,0.018034088941044274,0.13429106054032142,-17.439057927895497
21,0.018665315297177198,0.1366210646173466,-17.289646695111742
22,0.01906626426912391,0.13808064407846565,-17.197343917068743
23,0.018562352087431767,0.13624372311204566,-17.313669939646047
24,0.019391908921476755,0.1392548344635717,-17.12379437272108
25,0.01916182139686303,0.13842623088440656,-17.17563212114934
26,0.01879900846424872,0.13710947620149644,-17.258650565800156
27,0.01793053228458836,0.1339049374914471,-17.46406817809358
28,0.018115681843181203,0.13459450896370626,-17.419453152226925
29,0.018036851938963504,0.1343013474949656,-17.438392597453372
30,0.018205803798589635,0.13492888422643107,-17.397901419107157
31,0.018504238170656113,0.13603028402034642,-17.327287903360087
32,0.017984965573292003,0.13410803694518836,-17.450903891684405
33,0.017461392986314595,0.13214156418899617,-17.57921113314384
34,0.017395618925668068,0.13189245211788303,-17.595601147048086
35,0.018030874033801114,0.1342790900840526,-17.439832206510566
36,0.018335685396692537,0.13540932536827932,-17.367028512644364
37,0.017209735332156258,0.13118588084148483,-17.64225808618862
38,0.017730434301873498,0.13315567694196706,-17.51280626350741
39,0.018448489140590312,0.13582521540785536,-17.340391950752306
40,0.018207437841866826,0.1349349392924858,-17.39751164003395
41,0.018439951709084478,0.13579378376451728,-17.342402206200035
42,0.018217797971136634,0.13497332318327437,-17.395041184046732
43,0.017792734470062632,0.13338940913754221,-17.49757302393917
44,0.01720351346187817,0.13116216474989337,-17.643828483668095
45,0.017613043525601852,0.13271414214620028,-17.54165591666692
