t,mse_t,rmse_t,mse_db_t
0,0.9573545824603208,0.9784449818259179,-0.18927179585144693
1,1.3851270880825202,1.176914222907736,1.4148962258517108
2,2.2703788371800027,1.5067776336208347,3.5609832995502066
3,3.0097083337261394,1.7348510984306806,4.785244108128634
4,3.276637302681004,1.8101484200697477,5.154283711468327
5,3.0578858649677882,1.7486811787652397,4.854212714164804
6,2.6134893328582263,1.616629002850755,4.172207318337065
7,2.2878550357781027,1.5125657128793124,3.59428503007279
8,2.3021100598255466,1.5172705954527514,3.621260826440414
9,2.602842046701486,1.6133325902310056,4.154478137767959
10,3.022279711284311,1.7384705091787755,4.803346557163724
11,3.358450945493525,1.8326076900126567,5.261390092501468
12,3.5439864244831143,1.882547854500149,5.494920496192557
13,3.625910599126993,1.9041823964964577,5.594170918762926
14,3.7317492958942546,1.931773614038212,5.719124595474074
15,3.995900971436519,1.9989749801927283,6.016147167682629
16,4.508530779037563,2.1233301154171866,6.5403503888197125
17,5.2357359603751314,2.2881730617187004,7.189777368390926
18,6.119741261316763,2.473811080360981,7.867330608452686
19,7.140736786897496,2.6722157074041566,8.537430249379854
20,8.308112110719636,2.8823795917123123,9.1950234832748
21,9.683601993960453,3.1118486457346304,9.860369311849281
22,11.332657934021661,3.366401332880805,10.54331780181303
23,13.333524500424945,3.6515098932393633,11.249449632746382
24,15.723905215745754,3.9653379699271225,11.965604172135148
25,18.557720203177023,4.307867245305619,12.685246225297092
26,21.847146983621776,4.674093172329984,13.39394730543513
27,25.587399938934148,5.058398950155488,14.080261573392004
28,29.83430796945364,5.462079088538872,14.747159684903814
29,34.82462912675852,5.901239626278408,15.418864999973671
30,40.77289057482785,6.385365343880321,16.10371501645856
31,47.79644703780613,6.913497453373808,16.793956144107668
32,56.24370389641936,7.499580248015175,17.50073913164136
33,66.49299537393622,8.154323722660036,18.227758974734304
34,78.68998400600977,8.870737511955236,18.959194570382863
35,93.22571054350715,9.65534621562102,19.695357021320127
36,110.66829532610204,10.519899967495036,20.440232203632984
37,131.7568385741478,11.478538172352252,21.197731656526322
38,156.88266511686857,12.525281039436543,21.95574958500869
39,187.09894035342083,13.678411470394536,22.72071327852948
40,222.46584226881882,14.915288876479021,23.47263338224975
41,264.29666370661266,16.25720344052484,24.22091680941195
42,313.35133383582775,17.701732509441772,24.96031547691828
43,370.4162716280093,19.246201485696062,25.686900560958613
44,437.3238868305459,20.912290329625446,26.408031993557806
45,517.4808791532224,22.748206064505887,27.13894307304491
46,614.0498732029205,24.78002972562625,27.882036460226
47,729.4555960619975,27.0084356463309,28.629988603525906
48,868.3196559925716,29.467264141629634,29.38679632178374
49,1036.0702523415825,32.18804517738818,30.15389204414881
50,1234.0806700982175,35.12948434147899,30.913435498377456
51,1465.7125540167228,38.28462555669995,31.660488076553047
52,1738.9165313945837,41.70031812102377,32.40278736215055
53,2065.7298609658715,45.45030099972795,33.15073527463081
54,2458.537276597086,49.583639202836714,33.90676797494062
55,2919.4499099427435,54.03193416807086,34.653010283038384
56,3447.4526865103358,58.71501244579903,35.374983145495605
57,4085.1770139768887,63.91538949249147,36.11210879602291
58,4854.9209929892695,69.67726309915788,36.86182166769671
59,5755.181417558566,75.8629120028922,37.60059018218249
60,6829.451081381688,82.64049298849619,38.34385798570682
61,8106.972567232469,90.03872815201505,39.08858703433001
62,9634.911905515482,98.15758710112776,39.83847748143167
63,11491.827282197213,107.19994068187357,40.60389090087717
64,13736.922703633321,117.20461895178586,41.37889454520202
65,16443.221598598222,128.23112570120495,42.159869096410944
66,19727.205564167005,140.45357084875772,42.95065570096874
67,23600.436511148633,153.6243356735795,43.72920035708664
68,28234.047635062252,168.02990101485585,44.507731430977664
69,33778.45324803535,183.78915432646005,45.28639758875521
70,40380.890545087466,200.9499702540099,46.06175892481633
71,48248.3353354187,219.6550371273527,46.834823339054395
72,57424.39089844564,239.6338684294139,47.59096397322058
73,68710.65324209875,262.12716998071517,48.37024077460866
74,81821.65954650506,286.0448558294749,49.1286828382259
75,97630.4210817274,312.45867099782555,49.89585162434801
76,116423.92712189897,341.20950620095414,50.66042244481635
77,139124.71750582277,372.9942593470076,51.43404295504225
78,166173.75828167892,407.6441564424528,52.20562442232219
79,199369.16234397286,446.50774051966096,52.996579841684465
80,239917.89901942332,489.8141474267799,53.80062649615983
81,288947.2096645097,537.5381006631155,54.608185048824936
82,347846.8087328599,589.7853920985666,55.413880233439
83,418552.6761377015,646.9564715942654,56.21750123061187
84,500254.6362567136,707.2868132919725,56.99191122278518
85,599747.7320173131,774.4338138390608,57.7796861433186
86,721963.1822220362,849.6841661594243,58.585150505259946
87,866184.294371521,930.690224710414,59.376103048502756
88,1038472.3078890509,1019.054614772462,60.16394920041723
89,1246357.7826511858,1116.403951377451,60.95642729904749
90,1493657.9504894235,1222.152997987332,61.74251154893855
91,1791804.5832278423,1338.583050553025,62.532906431310245
92,2154125.9400283904,1467.6940893893354,63.33271090540648
93,2590385.704383806,1609.4675220034128,64.133644346658
94,3108732.405158388,1763.1597786809873,64.92583340259739
95,3750177.35945187,1936.5374665758136,65.74051807570333
96,4520809.606952001,2126.2195575603196,66.55216217188844
97,5444872.5780547885,2333.4250744463147,67.35987720768526
98,6543192.207905264,2557.9664204022038,68.15789677994614
99,7877175.337114845,2806.6306021838436,68.9637051248645
