t,mse_t,rmse_t,mse_db_t
0,0.0017326163235827795,0.04162470809006088,-27.612975982779282
1,0.000963926901778684,0.031047172202612657,-30.15955899040986
2,0.0008561925390392555,0.029260767916089548,-30.674285609775318
3,0.0007962497559750978,0.028217897795106882,-30.98950687753842
4,0.0007905587114824959,0.028116875919676706,-31.0206587130289
5,0.0007097224927021049,0.02664061734836685,-31.489114307840573
6,0.0006159086430845763,0.024817506786230084,-32.10483701385309
7,0.0006734525291507657,0.025950963934905494,-31.716930117516362
8,0.000711517531172837,0.02667428595432007,-31.478143948097372
9,0.000754178123099472,0.027462303674300012,-31.22526069590144
10,0.0007176337149371192,0.02678868632346721,-31.44097166024175
11,0.0007397595255072006,0.02719852064924121,-31.30909433942145
12,0.000705451658049643,0.026560339946048186,-31.515327414583364
13,0.0007694401539104474,0.027738784290419927,-31.138251533987106
14,0.0007866645905928516,0.028047541614067563,-31.042103978875957
15,0.0007376493478534283,0.027159700805668464,-31.321500372044934
16,0.0007378495032102161,0.027163385341488936,-31.320322107928405
17,0.0007181546664210079,0.0267984079083256,-31.437820132235842
18,0.0007532624811006696,0.027445627722839018,-31.23053663599854
19,0.0007870749376088957,0.028054855865052946,-31.03983916382139
20,0.0007714375183989457,0.027774764056584633,-31.126992433058597
21,0.0007627523002134204,0.02761797060273293,-31.176164739923536
22,0.0007980619850254229,0.028249990885404246,-30.979633759311582
23,0.0007794986198883609,0.02791950250073165,-31.081846493980386
24,0.0007681261072092793,0.027715088078685213,-31.145674737586862
25,0.0008001280136329458,0.028286534139638702,-30.96840524049621
26,0.0007979913417606107,0.028248740534059402,-30.98001820736976
27,0.0008412678214415669,0.02900461724349361,-30.750657225638037
28,0.0008141122493282693,0.02853265233602143,-30.893157107091405
29,0.0007282307585816172,0.026985751028674693,-31.37730981540287
30,0.0007726849862249738,0.027797211842646625,-31.119975262990295
31,0.0007926843244810057,0.02815465013955964,-31.008997299972307
32,0.0007482126712693427,0.027353476401900778,-31.259749411314573
33,0.0007351481061598376,0.027113614774866106,-31.336251572311063
34,0.0007133974114803909,0.026709500397431453,-31.466684708062182
35,0.0006970405625153246,0.026401525761124575,-31.567419484959558
36,0.0007352588287826185,0.027115656525015554,-31.335597519027665
37,0.0007515007060261987,0.0274135132010875,-31.240706070622515
38,0.0007398022857571585,0.0271993067146418,-31.3088433118474
39,0.0007196705284700666,0.02682667568801745,-31.428662819240046
40,0.0006880663466799367,0.02623101878844847,-31.623696829741515
41,0.0007349726152776674,0.02711037836839736,-31.337288422156135
42,0.000776800343884314,0.027871138187815617,-31.09690590840748
43,0.0007158554774366595,0.02675547565334355,-31.451746476462308
44,0.0007275806196342295,0.02697370237164764,-31.38118877637702
45,0.0006959694364354805,0.0263812326557248,-31.5740983205448
46,0.0006946147583859066,0.02635554511646281,-31.582559935310588
47,0.0007458903223369253,0.02731099270141833,-31.273250276287875
48,0.0006840705683331855,0.02615474275027735,-31.64899094395587
49,0.0006964601902567118,0.026390532208667408,-31.57103702852296
50,0.0035980214085492117,0.059983509471764083,-24.43936256891766
51,0.004650434583863531,0.06819409493397159,-23.32506460324065
52,0.00482631547803604,0.06947168832003466,-23.163842933074257
53,0.004906138307439042,0.07004383133038228,-23.09260212894631
54,0.004474781078548165,0.0668938044855289,-23.492282069858778
55,0.004816261943843462,0.06939929353994508,-23.1728990097113
56,0.004808086973769612,0.06934037044730589,-23.180276849556954
57,0.0050603218202627245,0.07113593902003912,-22.958218625436245
58,0.0051545391713921675,0.07179511941206149,-22.878101556505936
59,0.005248928610487485,0.07244949006368151,-22.799293339345056
60,0.0058751462211483205,0.0766495024194438,-22.309813201630156
61,0.005536011362871301,0.07440437730988211,-22.56803027144644
62,0.005445490381174338,0.07379356598765463,-22.63963004751457
63,0.005273894404114255,0.07262158359684988,-22.77868570062038
64,0.005397026397565535,0.07346445669550368,-22.678454577381935
65,0.004920402599984635,0.07014558147156978,-23.07999360688263
66,0.0047393215526340205,0.06884273057218185,-23.242838243672658
67,0.005101524067862198,0.07142495409772552,-22.92300060101455
68,0.00483233178202153,0.06951497523571111,-23.1584325523244
69,0.0057217012015381916,0.07564192753716811,-22.424748256484488
70,0.005314656954273603,0.07290169376820818,-22.745247626880257
71,0.005033890943557451,0.07094991855920238,-22.980961974337134
72,0.005136490606423737,0.07166931425947745,-22.893335017836684
73,0.005325273160703757,0.07297446923893149,-22.73658110115772
74,0.004951866639213158,0.07036950077422148,-23.052310599963644
75,0.0052749895105136495,0.07262912301903177,-22.777783996379604
76,0.005046924171867034,0.07104170727021582,-22.969732203281552
77,0.0049851403556001855,0.07060552638143976,-23.023226097084823
78,0.004637273951155751,0.06809753263632795,-23.337372470067418
79,0.005167573938725411,0.07188583962593335,-22.86713300680216
80,0.005287730632549946,0.07271678370603273,-22.767306767782465
81,0.005564799404598126,0.07459758310158665,-22.545504861444176
82,0.005287922808453954,0.07271810509394448,-22.767148931795987
83,0.005665305071351585,0.07526822085948083,-22.467766988213672
84,0.005604697625035592,0.07486452848335848,-22.514478127426585
85,0.005185612409695189,0.07201119641899577,-22.851999469999832
86,0.005142959801425942,0.07171443230916592,-22.887868702126685
87,0.005276107345051522,0.07263681810935499,-22.776863770966187
88,0.005314083886268944,0.07289776324599366,-22.745715942508898
89,0.005290900200047159,0.072738574360838,-22.76470430298899
90,0.0050373388429138825,0.07097421252056188,-22.977988347967955
91,0.004418258916994862,0.066469985083456,-23.547488373719375
92,0.005022458410373989,0.07086930513539687,-22.990836508405124
93,0.005457139674418454,0.07387245545139579,-22.630349303926096
94,0.005016452101752605,0.07082691650603325,-22.996033301421612
95,0.005107415619295973,0.07146618514581544,-22.91798799708115
96,0.004913739371957693,0.07009806967354874,-23.085878825165747
97,0.005148013534667292,0.07174965877735791,-22.88360319960426
98,0.004568391271954719,0.0675898755136797,-23.402367068695384
99,0.0046847190109281225,0.06844500720233816,-23.293164529433433
