t,mse_t,rmse_t,mse_db_t
0,0.15646915094065064,0.3955618168385956,-8.055712740720155
1,0.06843497689068243,0.2616007968081948,-11.647218750619388
2,0.04434954442537433,0.21059331524379954,-13.531108370399714
3,0.03416350725112589,0.18483372866207587,-14.664375506989998
4,0.028371134703971877,0.16843733168146507,-15.471232942422597
5,0.023753097139077962,0.15412039819270504,-16.242797551879
6,0.021480380155327595,0.14656186460101958,-16.67958036850504
7,0.02050209753195413,0.14318553534472026,-16.882017048001934
8,0.01976857591096175,0.14060076781782435,-17.040246152734465
9,0.01767094093285472,0.13293209143338836,-17.527403247961857
10,0.016494462500801544,0.1284307692914807,-17.826618320882808
11,0.01557465517898626,0.12479845823962032,-18.075815597905432
12,0.016021097206282163,0.12657447296466284,-17.95307744536641
13,0.014703321535577324,0.12125725353799385,-18.325845454134193
14,0.014932960540971332,0.12220049321083501,-18.25854082486245
15,0.014418194680250997,0.12007578723560798,-18.410891147544778
16,0.013729656235893792,0.11717361578398865,-18.62340336523144
17,0.012886266764152238,0.11351769361712842,-18.898728823797
18,0.01330794211616385,0.11536005424827023,-18.75889096793695
19,0.01225079071486421,0.11068329013389605,-19.11835879297837
20,0.012322952872935077,0.11100879637639116,-19.092852124020773
21,0.013203748577764964,0.11490756536349103,-18.79302753981903
22,0.01313868572241394,0.11462410620115622,-18.81448075571552
23,0.013013280667669967,0.11407576722367449,-18.856132033418064
24,0.013581905366785637,0.11654143197500894,-18.67039299846742
25,0.013113209961003293,0.1145129248644156,-18.8229098506727
26,0.012953162634341469,0.11381196173663588,-18.876241816251245
27,0.012085096507506207,0.10993223597974439,-19.177498771131734
28,0.012164465702067272,0.11029263666295802,-19.149069617631493
29,0.012436314171633253,0.11151822349568367,-19.053083151522266
30,0.012694877743093209,0.11267154806380007,-18.96371477205041
31,0.012811782740752491,0.1131891458610431,-18.923904346111154
32,0.012604181353955518,0.11226834528911307,-18.99485356651995
33,0.012318354022139714,0.11098808054083877,-19.094473187023006
34,0.012075340128800906,0.10988785250791329,-19.181006275345474
35,0.013050022146019911,0.11423669351841338,-18.843887513229355
36,0.012745367625310157,0.11289538354295164,-18.94647633294673
37,0.011796055105187461,0.10860964554397304,-19.2826320731192
38,0.012319673676428002,0.11099402540870387,-19.094007956134412
39,0.013056054357061964,0.11426309271616082,-18.841880504619265
40,0.012329293471668416,0.11103735169603252,-19.090618098720135
41,0.012915245559781357,0.1136452619328292,-18.88897332096612
42,0.012887513616516104,0.11352318536984463,-18.898308628471522
43,0.01252084144984284,0.11189656585366166,-19.02366483845728
44,0.012019828037218485,0.10963497634066642,-19.201017455630073
45,0.012579099626829397,0.11215658530300125,-19.003504432384105
46,0.011623363547400858,0.107811704129936,-19.346681784260706
47,0.011710505097909546,0.10821508720095155,-19.31424372519087
48,0.011472646402366612,0.10711044021180481,-19.403363915688644
49,0.012214075481384264,0.1105173085149302,-19.131394004489316
50,0.03577589445344054,0.18914516767139608,-14.464094993896397
51,0.04511788477976053,0.2124097097115867,-13.456512691756735
52,0.051455270799960144,0.22683754274802076,-12.885701318423948
53,0.055333587628102296,0.23523092404720577,-12.57011170801996
54,0.059497564999357044,0.24392122703724875,-12.255008078677896
55,0.060944977014362876,0.2468703647957018,-12.150620824137434
56,0.06699692242459886,0.25883763718709624,-11.739451466232387
57,0.06493143671683642,0.2548164765411303,-11.87544987527814
58,0.06834885431655419,0.2614361381227817,-11.652687608060148
59,0.06848201312900448,0.261690682159309,-11.644234814213332
60,0.0690627980176439,0.2627980175298967,-11.60755830576674
61,0.06722871685253361,0.2592850108520228,-11.724451777409946
62,0.07222917733581297,0.2687548647667851,-11.412873315684987
63,0.07358878515747065,0.2712725293085731,-11.331883665774413
64,0.07424948092456549,0.272487579395035,-11.293065781371459
65,0.07875846214629947,0.2806393809612248,-11.037027725732372
66,0.07564260325026967,0.27503200404729206,-11.212335332673414
67,0.07882020272239575,0.28074935925553907,-11.033624524810143
68,0.07689493806451617,0.2772993654239334,-11.14102248534139
69,0.07406749214853053,0.2721534349379602,-11.303723598778115
70,0.07370324512566385,0.27148341593118325,-11.325133899002147
71,0.06940384076700784,0.26344608702162925,-11.586164952834274
72,0.07455571135579518,0.2730489175144175,-11.275190817173925
73,0.07745818385614057,0.2783131039964532,-11.109326900313604
74,0.07583466850618978,0.27538095160375525,-11.201322073120348
75,0.07564498499294744,0.27503633395052995,-11.212198589439632
76,0.07314498110975659,0.27045328822137954,-11.358154679134651
77,0.07506086388893685,0.27397237796708057,-11.245864415211349
78,0.07189532620493401,0.2681330382570078,-11.432993414583182
79,0.07737811637096925,0.27816922254442394,-11.113818465926865
80,0.08147558718007918,0.2854392880808092,-10.889725009683799
81,0.08338734093838836,0.288768663359424,-10.788998747566422
82,0.08206801032031612,0.2864751478231857,-10.858260956054146
83,0.08146770283945111,0.2854254768577099,-10.890145294020819
84,0.08060046943230584,0.2839022180827509,-10.936624287747312
85,0.07432221083353822,0.27262100218717233,-11.288813800353342
