t,mse_t,rmse_t,mse_db_t
0,0.0017326163235827795,0.04162470809006088,-27.612975982779282
1,0.000963926901778684,0.031047172202612657,-30.15955899040986
2,0.0008561925390392555,0.029260767916089548,-30.674285609775318
3,0.0007962497559750978,0.028217897795106882,-30.98950687753842
4,0.0007905587114824959,0.028116875919676706,-31.0206587130289
5,0.0007097224927021049,0.02664061734836685,-31.489114307840573
6,0.0006159086430845763,0.024817506786230084,-32.10483701385309
7,0.0006734525291507657,0.025950963934905494,-31.716930117516362
8,0.000711517531172837,0.02667428595432007,-31.478143948097372
9,0.000754178123099472,0.027462303674300012,-31.22526069590144
10,0.0007176337149371192,0.02678868632346721,-31.44097166024175
11,0.0007397595255072006,0.02719852064924121,-31.30909433942145
12,0.000705451658049643,0.026560339946048186,-31.515327414583364
13,0.0007694401539104474,0.027738784290419927,-31.138251533987106
14,0.0007866645905928516,0.028047541614067563,-31.042103978875957
15,0.0007376493478534283,0.027159700805668464,-31.321500372044934
16,0.0007378495032102161,0.027163385341488936,-31.320322107928405
17,0.0007181546664210079,0.0267984079083256,-31.437820132235842
18,0.0007532624811006696,0.027445627722839018,-31.23053663599854
19,0.0007870749376088957,0.028054855865052946,-31.03983916382139
20,0.0007714375183989457,0.027774764056584633,-31.126992433058597
21,0.0007627523002134204,0.02761797060273293,-31.176164739923536
22,0.0007980619850254229,0.028249990885404246,-30.979633759311582
23,0.0007794986198883609,0.02791950250073165,-31.081846493980386
24,0.0007681261072092793,0.027715088078685213,-31.145674737586862
25,0.0008001280136329458,0.028286534139638702,-30.96840524049621
26,0.0007979913417606107,0.028248740534059402,-30.98001820736976
27,0.0008412678214415669,0.02900461724349361,-30.750657225638037
28,0.0008141122493282693,0.02853265233602143,-30.893157107091405
29,0.0007282307585816172,0.026985751028674693,-31.37730981540287
30,0.0007726849862249738,0.027797211842646625,-31.119975262990295
31,0.0007926843244810057,0.02815465013955964,-31.008997299972307
32,0.0007482126712693427,0.027353476401900778,-31.259749411314573
33,0.0007351481061598376,0.027113614774866106,-31.336251572311063
34,0.0007133974114803909,0.026709500397431453,-31.466684708062182
35,0.0006970405625153246,0.026401525761124575,-31.567419484959558
36,0.0007352588287826185,0.027115656525015554,-31.335597519027665
37,0.0007515007060261987,0.0274135132010875,-31.240706070622515
38,0.0007398022857571585,0.0271993067146418,-31.3088433118474
39,0.0007196705284700666,0.02682667568801745,-31.428662819240046
40,0.0006880663466799367,0.02623101878844847,-31.623696829741515
41,0.0007349726152776674,0.02711037836839736,-31.337288422156135
42,0.000776800343884314,0.027871138187815617,-31.09690590840748
43,0.0007158554774366595,0.02675547565334355,-31.451746476462308
44,0.0007275806196342295,0.02697370237164764,-31.38118877637702
45,0.0006959694364354805,0.0263812326557248,-31.5740983205448
46,0.0006946147583859066,0.02635554511646281,-31.582559935310588
47,0.0007458903223369253,0.02731099270141833,-31.273250276287875
48,0.0006840705683331855,0.02615474275027735,-31.64899094395587
49,0.0006964601902567118,0.026390532208667408,-31.57103702852296
50,0.0014174804112500469,0.03764944104830836,-28.48482934089232
51,0.002067465837137867,0.045469394510350224,-26.845616580100426
52,0.0024300358324307143,0.049295393622839793,-26.14387322404899
53,0.0025647634949423734,0.05064349410282009,-25.90952676391176
54,0.0025477658207189425,0.05047539817296088,-25.938404929157407
55,0.0025999943901966445,0.050990140127250526,-25.85027589071209
56,0.00278878767222027,0.05280897340623343,-25.54584550019848
57,0.0028279007046273946,0.053178009596330275,-25.485358438813208
58,0.0028521135871903826,0.053405183149113744,-25.448331824289795
59,0.002856120849085549,0.05344268751742889,-25.44223420502089
60,0.0030582257208113524,0.05530122711849487,-25.145304634347944
61,0.0030286324339606875,0.055033012219582234,-25.187534310543928
62,0.0031375082444269043,0.05601346484932801,-25.03415124314282
63,0.0032913210203936736,0.05737003591068837,-24.82629756542982
64,0.0031917613875664078,0.05649567583068998,-24.95969583466886
65,0.003051069657539785,0.05523648846134035,-25.15547877070862
66,0.0028291752072769935,0.053189991608168105,-25.483401563968755
67,0.002970161510255288,0.054499188161433086,-25.272199341489483
68,0.002888111398055849,0.0537411518117713,-25.393860594999374
69,0.003137975507000683,0.05601763567842437,-25.033504505565908
70,0.0030507450160209906,0.0552335497322143,-25.155940895594036
71,0.002971997280111621,0.05451602773599358,-25.269515923653838
72,0.0028966728122505553,0.05382074704285101,-25.381005568704182
73,0.0032610828180350267,0.05710589127257385,-24.866381717678244
74,0.00308965594184638,0.0555846736236382,-25.100898800822744
75,0.0030658224153662507,0.05536986920127454,-25.134530048176288
76,0.003004344983980357,0.0548119054948864,-25.222501994852372
77,0.0031244826318667556,0.05589707176468867,-25.052218851125573
78,0.0027382696513100716,0.052328478396663436,-25.625237869143373
79,0.002794834520292349,0.052866194494141046,-25.5364390121278
80,0.002840281979757054,0.05329429594015718,-25.466385415820664
81,0.002982186572374864,0.05460940003675983,-25.25465189582488
82,0.003157349671427347,0.0561902987305402,-25.00677318024818
83,0.0031442564199918935,0.05607366957843845,-25.024820436610888
84,0.003310805475904718,0.05753959919833226,-24.800663351714995
85,0.0032622007968218596,0.05711567908045793,-24.86489310534303
86,0.003262284858210458,0.05711641496286735,-24.864781196453528
87,0.0033373251949021074,0.0577695871103655,-24.76601472856614
88,0.003099182883071033,0.05567030521805169,-25.087527952466495
89,0.003022803767393727,0.054980030623797645,-25.19590045182168
90,0.003048588845475497,0.05521402761504993,-25.15901143749327
91,0.0028083679834395234,0.05299403724419874,-25.51545986746465
92,0.0029166610409254033,0.05400612040246368,-25.351140393764613
93,0.0030936611762500724,0.05562069018135313,-25.09527252802997
94,0.00312872861351314,0.05593503922867257,-25.0463210600217
95,0.003052497980761922,0.05524941611240722,-25.15344614670302
96,0.00292212487419438,0.05405668204944122,-25.343012288484175
97,0.003071999599422319,0.055425622228553455,-25.12578845270958
98,0.002946152692970515,0.054278473568906804,-25.30744748329763
99,0.0028363593043052734,0.05325748120504079,-25.47238754450528
