t,mse_t,rmse_t,mse_db_t
0,0.9762374140752766,0.9880472731986444,-0.10444552124007084
1,1.9188997107476,1.3852435564721461,2.830522773894208
2,5.021778331725911,2.2409324692471015,7.008575384380448
3,12.014033514355976,3.466126586602973,10.796888391212052
4,25.989302161225478,5.097970396268056,14.147946184160634
5,52.85145779649888,7.269900810636888,17.23056970910116
6,104.03586370681055,10.199797238514623,20.171830770396216
7,201.73776288361572,14.203441937911236,23.04787200527679
8,386.76070998353975,19.666232734907307,25.874423488028246
9,734.9104879737392,27.10923252277237,28.662344452795242
10,1389.0094519443435,37.269417113021014,31.42705201038771
11,2622.412803827547,51.20949915618729,34.187010566573555
12,4957.5109520893775,70.40959417642867,36.952636823179304
13,9372.103927094078,96.80962724385462,39.71837095835427
14,17656.33058933184,132.877125907102,42.46900451767695
15,33037.38335495418,181.7618864199923,45.19005642779519
16,61301.50858135787,247.59141459541337,47.87471162291622
17,112832.51442008077,335.90551412574456,50.524342663003424
18,206216.5226527628,454.110694272622,53.14323459247425
19,374885.53200922115,612.2789658392824,55.738986799792855
20,679036.6960086701,824.0368292792926,58.31893244742123
21,1227273.309432876,1107.823681563486,60.88941289345498
22,2215360.442512242,1488.4086947180342,63.45444396680496
23,3995183.995135061,1998.795636160701,66.01536785209903
24,7203099.535459786,2683.8590751862857,68.57519416082016
25,12992852.826405086,3604.560004550498,71.13704519105076
26,23458835.995405484,4843.432253619894,73.70306459044906
27,42421053.84724467,6513.14469724454,76.27581453297896
28,76850091.28791341,8766.418384261238,78.8564438772143
29,139505822.73690617,11811.258304554438,81.44592334704481
30,253717789.13576168,15928.521247616229,84.04350918355561
31,462431248.5515262,21504.2146694904,86.65047173628209
32,844605436.1693971,29062.09621086196,89.26653872365675
33,1546023322.8969123,39319.50308557971,91.89216041282842
34,2835604685.9447684,53250.396110684174,94.52645685368763
35,5211351244.883451,72189.68932530082,97.16950345585461
36,9596158965.419739,97959.98655277438,99.82097433671865
37,17704808866.874645,133059.41855755512,102.48091242672231
38,32722653994.092102,180894.04079209492,105.14848520190182
39,60587952336.67402,246146.20114207332,107.82386275092493
40,112361311024.43674,335203.38754916657,110.50616797878746
41,208726485742.96875,456865.9384797347,113.19577561102801
42,388318851803.1435,623152.3503952653,115.89188474850303
43,723506074021.9276,850591.6023697434,118.59442181485647
44,1349862190364.2214,1161835.6985237722,121.30289432925112
45,2521926137233.8613,1588057.3469600717,124.0173236270435
46,4717618701408.698,2172007.988339062,126.73722836387205
47,8835884652794.42,2972521.598373075,129.46250037780896
48,16568121209220.824,4070395.706712165,132.19273263112774
49,31102976696576.312,5577004.276184152,134.92801954976477
50,58450292689524.54,7645279.111289825,137.66786690230572
51,109957706983560.86,10486072.047414172,140.4122567465297
52,207055555314316.22,14389425.121050397,143.1608688714454
53,390266738945125.75,19755169.929543145,145.91361539474616
54,736264223827230.8,27134189.205267046,148.67033697975134
55,1390241945269794.2,37285948.362215415,151.43090387557595
56,2627318428674852.0,51257374.383349486,154.1951271208398
57,4969280849617904.0,70493126.25794025,156.96293542527883
58,9406222085337274.0,96985679.79520108,159.73415228428544
59,1.781849480629517e+16,133485934.86317265,162.50871014800208
60,3.3778997851121944e+16,183790635.91794318,165.286467608601
61,6.408173319635027e+16,253143700.68471044,168.06734249446836
62,1.216529172365539e+17,348787782.5219139,170.8512252777195
63,2.3110154104748352e+17,480730216.49099976,173.63802841481652
64,4.3930750694058906e+17,662802766.2439175,176.4276862460613
65,8.356263141552014e+17,914125983.7435983,179.220121076037
66,1.590467568531243e+18,1261137410.646137,182.0152481776811
67,3.028998990993247e+18,1740401962.476843,184.81299128662624
68,5.772026002617576e+18,2402504110.843013,187.6132827889545
69,1.1005453082558968e+19,3317446771.6240706,190.4160792668989
70,2.099569770581789e+19,4582106252.130988,193.22130311207917
71,4.00765635358196e+19,6330605305.64176,196.02890474799923
72,7.653905834473334e+19,8748660374.293503,198.83883114823394
73,1.4625259171103348e+20,12093493776.036497,201.65103570862442
74,2.7960573004046647e+20,16721415312.121952,204.46546067286292
75,5.3481850935342216e+20,23126143417.211227,207.282064292013
76,1.0234823283317059e+21,31991910357.64676,210.10080348440357
77,1.959582747297149e+21,44267174602.600845,212.9216360715364
78,3.753633404476483e+21,61266903010.32429,215.74451855342528
79,7.193522374683064e+21,84814635380.24004,218.56941598769436
80,1.3792050005004972e+22,117439558944.18614,221.39628823078837
81,2.64551742738526e+22,162650466565.12424,224.22510626798837
82,5.07671735457811e+22,225315719704.11008,227.05582984802265
83,9.746367215330385e+22,312191723390.1371,229.8884277033147
84,1.8719180409095875e+23,432656681551.272,232.7228682989358
85,3.596767011613041e+23,599730523786.5621,235.55912306362302
86,6.913788647882724e+23,831491951126.5713,238.3971609917786
87,1.3295213198616527e+24,1153048706630.233,241.23695305957943
88,2.557686089044489e+24,1599276739355.7905,244.07847241408666
89,4.922315287964913e+24,2218629146109.1265,246.92169428025454
90,9.476743110124267e+24,3078431923906.109,249.76659108189693
91,1.8252138022389423e+25,4272252101923.46,252.61313744241292
92,3.5166641237687238e+25,5930146814176.462,255.46130890876057
93,6.7781046468139756e+25,8232924539198.678,258.31108269603607
94,1.3069034161093183e+26,11431987649176.842,261.1624349316533
95,2.520776141190018e+26,15876952293151.283,264.01534279646046
96,4.8638308044412726e+26,22054094414510.137,266.86978458950625
97,9.388016835819684e+26,30639870815360.31,269.7257385976092
98,1.8126682817978628e+27,42575442238429.69,272.5831833549886
99,3.501142778023044e+27,59170455279835.766,275.4420982183135
