t,mse_t,rmse_t,mse_db_t
0,0.887410402930952,0.9420246296838273,-0.518754844440903
1,1.0471302990068048,1.023293847830038,0.20000726204870772
2,2.2186720292568696,1.48952073810903,3.460931082657632
3,4.45664560787148,2.111076883458175,6.490081003941949
4,7.231442019378571,2.6891340649693483,8.592249084443937
5,12.007595809785622,3.465197802404016,10.794560606031258
6,18.336183277041,4.282076981680852,12.633089412455075
7,30.06273649471178,5.482949616284266,14.78028510198384
8,34.51944375003786,5.875324991014358,15.3806378883241
9,41.08570159255193,6.40981291400552,16.136907075241314
10,42.1332026379383,6.491009369731205,16.246244720658595
11,44.793351807839294,6.692783562004624,16.512135611538856
12,61.262674538580725,7.827047625930273,17.87195952836083
13,94.75162204880804,9.734044485660009,19.765866533716874
14,190.46464617878047,13.800892948602293,22.798143742668906
15,330.3189637230451,18.174679191750403,25.189335073997373
