t,mse_t,rmse_t,mse_db_t
0,0.9359320940738027,0.9674358346028964,-0.2875566006410218
1,1.341811713995876,1.1583659672123814,1.2769157894062841
2,2.631980116227459,1.62233785514222,4.202826039976502
3,4.605044583059032,2.14593676119755,6.632338391111082
4,6.89594439447292,2.6260130225253873,8.385937508922165
5,9.169045602984678,3.028043197014316,9.623241327334402
6,11.470057565494226,3.386747343026082,10.59565597527576
7,13.872002189492658,3.724513684965147,11.421391486791725
8,15.257428161690438,3.9060758008121703,11.834813337946224
9,14.7976097594421,3.8467661430664197,11.701915699814993
10,12.362472412912966,3.516030775307999,10.921053354701062
11,10.776006951130801,3.2826828892128463,10.324578628593962
12,13.822269207794097,3.717831250580652,11.40579347200517
13,25.96267673726709,5.095358352193404,14.143494659517675
14,41.789688291082875,6.464494434299009,16.210691317569893
15,57.76149520177303,7.600098367901104,17.616384267616297
