t,mse_t,rmse_t,mse_db_t
0,1.0050824942020353,1.0025380263122368,0.022017088275671066
1,2.1888640558502668,1.479481008952216,3.4021878960473595
2,7.378079225391756,2.7162619949835025,8.679433143450723
3,22.065166607704523,4.697357406851699,13.437072110278766
4,63.10319204329986,7.943751761183116,18.00051328368195
5,192.291600655203,13.866924700711511,22.839603145621204
6,627.3826087695052,25.04760684715219,27.975324757577717
7,2037.3890161490272,45.137445831028444,33.090739604859586
8,6711.791371970138,81.92552332435929,38.26838448504447
9,22521.70028921798,150.0723168649634,43.526011747383826
10,81953.17626770813,286.2746518078541,49.13565790228749
11,307654.02324029745,554.665686013023,54.88062598798778
12,1277565.8973148838,1130.2946064256362,61.06383310452252
13,5511871.017628632,2347.7374251880537,67.41299046165977
14,24802997.961006578,4980.260832627803,73.94504177569446
15,113524331.23565787,10654.779736609193,80.55088952180412
