t,mse_t,rmse_t,mse_db_t
0,0.9372870572831112,0.9681358671607572,-0.2812737997505123
1,1.5458098574484418,1.2433060192279461,1.8915607241577375
2,5.252524553243586,2.291838683948673,7.203680912185479
3,16.535403368338123,4.066374720600417,12.18414793655933
4,46.76813988284044,6.838723556544776,16.69950096983915
5,152.5080685358445,12.349415716374784,21.83292820914928
6,508.2661670323689,22.544759192157475,27.060912016559268
7,1476.5208586139063,38.42552353077192,31.692395865648514
8,4055.1167739860957,63.67979879040209,36.080033649756786
9,10673.099446981847,103.3106937687568,40.28290555999335
10,32219.37373783714,179.49755914172522,45.08117094592049
11,91784.6886216391,302.95987955773796,49.62770238916455
12,228126.88836359393,477.6263061888383,53.58176476770388
13,566479.0693553318,752.648038166135,57.531838678950685
14,1628646.4947987243,1276.1843498486903,62.11826828925621
15,5252098.1435523275,2291.745654201689,67.20332832955326
