t,mse_t,rmse_t,mse_db_t
0,0.7725175375840562,0.878929768288716,-1.1209165249920958
1,1.0590583146847221,1.029105589667417,0.24919874223181965
2,2.3732744852111924,1.540543568098998,3.75347970210069
3,4.300052413996616,2.0736567734310842,6.334737492937197
4,6.146595196755203,2.4792327838981163,7.886346122416644
5,7.049518714795515,2.6550929766762437,8.48159467822113
6,7.267866581753045,2.6958981029988958,8.614069462446551
7,6.707731066070076,2.5899287762542964,8.265756420582132
8,5.95379939907659,2.4400408601243933,7.747941979053067
9,5.563927972749199,2.358797993205268,7.453814992423594
10,5.209592052503876,2.282453077831804,7.168037163353994
11,5.146511489430734,2.2685924026653033,7.1151294666218945
12,6.033269285894323,2.4562714194270803,7.805527098295803
13,8.048659363367532,2.8370159258219774,9.057235475008984
14,11.30091160246675,3.361682852749014,10.531134778155014
15,17.55392496576427,4.189740441335748,12.443742376331857
