t,mse_t,rmse_t,mse_db_t
0,0.8256612382509438,0.9086590329991464,-0.8319810344921967
1,1.5440990764942937,1.2426178320361791,1.8867516322399156
2,5.006551052444453,2.237532357854173,6.995386490806153
3,13.013804476939843,3.6074651040501893,11.144042774843593
4,30.119218444454297,5.488097889474485,14.788436982834908
5,81.76781830535896,9.042555960864105,19.125824102434343
6,236.71643474251024,15.385591790454804,23.742284111618936
7,640.4032470203763,25.306189895367027,28.06453525245165
8,1713.0245133160054,41.38870030957732,32.337635777475896
9,4808.322370943748,69.34206783002472,36.81993576970692
10,14186.018269680972,119.10507239274477,41.518605148256746
11,44353.6300215519,210.60301522426477,46.46929169462333
12,147415.5139984354,383.9472802331531,51.68543191049259
13,525946.7401771646,725.2218558325201,57.20941767693142
14,2168531.279987344,1472.5933858290089,63.361656910122974
15,9645452.434270399,3105.712870545247,69.84322603685312
