t,mse_t,rmse_t,mse_db_t
0,1.0462032954649403,1.0228407967347315,0.19616083689873304
1,1.4273257931844319,1.1947074090271776,1.545231139928135
2,2.4654110163596963,1.5701627356295578,3.918893322367122
3,3.3894251327395737,1.8410391448145729,5.301260454449972
4,3.772121238702739,1.9421949538351548,5.765856428281291
5,3.5068169429020086,1.8726497117459018,5.449130961459803
6,2.937288106348334,1.713851833254069,4.679465467477527
7,2.4972662529633682,1.580274106907839,3.974648483298575
8,2.4253579597793515,1.557356079957102,3.8477584540597127
9,2.6958652394185623,1.641909022881159,4.306981789464937
10,3.095561206716004,1.7594207020255286,4.907393954838685
11,3.441512862759758,1.8551314947355506,5.367493970817165
12,3.601260868870903,1.8976988351345172,5.564545820232238
13,3.643429902611055,1.9087770699091748,5.615104183778794
14,3.6683381027539563,1.9152906053009178,5.64469356821693
15,3.8666739098807654,1.966386002259161,5.87337548046472
