t,mse_t,rmse_t,mse_db_t
0,0.8308595865613486,0.9115149952476639,-0.8047236482492625
1,0.7911626233389712,0.8894732280057513,-1.017342381715744
2,0.8128641385728342,0.9015897839776326,-0.8998203595424092
3,0.682011671885016,0.8258399795874598,-1.6620819280410744
4,0.5676615533666198,0.7534331777713401,-2.459105187147763
5,0.5339579493484288,0.7307242635552954,-2.7249294350519753
6,0.5233271555388801,0.7234135439282846,-2.8122672905796513
7,0.48334397743792706,0.6952294422979561,-3.1574368843298477
8,0.42511266525141284,0.6520066450975885,-3.714959560376687
9,0.4020250855729774,0.6340544815494781,-3.9574684695032114
10,0.3981800417009241,0.6310150883306389,-3.9992051225533016
11,0.38104136257346694,0.6172854789912581,-4.190278784913225
12,0.3615133630439907,0.6012598132621128,-4.418756447345831
13,0.36255067366672866,0.6021218096587506,-4.406312835597794
14,0.3614359952339947,0.6011954717344391,-4.419685984462137
15,0.35849932785317046,0.5987481339037062,-4.455116542498289
