t,mse_t,rmse_t,mse_db_t
0,0.9592191572364503,0.9793973438990174,-0.18082156223847792
1,1.3283255260681424,1.152530054301467,1.2330451844371928
2,2.047205441087001,1.430805871209299,3.111614271537089
3,2.5654819924642713,1.601712206504112,4.091689706184367
4,2.696753851166333,1.6421796038090148,4.308413076101807
5,2.507256123295329,1.5834317551746047,3.991987006324389
6,2.2425776132427706,1.4975238272704614,3.507474824495831
7,2.1610923520672656,1.4700654244173168,3.346733264094822
8,2.2449485808580016,1.4983152474889927,3.5120639821000053
9,2.4463525303850417,1.5640820088425804,3.8851904099505568
10,2.6153790392156595,1.6172133561208488,4.175346387905401
11,2.614639510475584,1.6169846970443424,4.17411819626473
12,2.4596121750525417,1.568315075185003,3.9086663413072142
13,2.2978632059194974,1.5158704449653662,3.61324171139638
14,2.1931646947447487,1.4809337239541642,3.4107124605653247
15,2.2228164599370452,1.4909112850659643,3.4690360407220604
