t,mse_t,rmse_t,mse_db_t
0,0.8178121794215515,0.9043296851378658,-0.8734642592134376
1,1.5128967811948413,1.2299986915419225,1.7980929888460864
2,6.582831248704391,2.565702876153899,8.184127220682512
3,35.83433327165358,5.986178519861697,15.542993284613292
4,195.3149774609291,13.975513495429393,22.907355478409972
5,1064.9630131899874,32.633771053771696,30.27334524726465
6,5682.856012352384,75.38472001906212,37.54566652378881
7,31495.958336818167,177.4710070316224,44.982548272932874
8,185699.19534038595,430.9282948941575,52.688100218873984
9,1114819.7788584651,1055.8502634646948,60.47204665255556
10,6507491.866557475,2550.978609584462,68.13413633975063
11,45770493.59810579,6765.38938998383,76.60585595970619
12,314431784.5173093,17732.224466132535,84.97526440493226
13,1966489727.5818367,44345.120673889665,92.9369168211308
14,12192746223.276665,110420.76898517174,100.86101534600338
15,77762481145.57407,278859.24970417254,108.90770109050946
