t,mse_t,rmse_t,mse_db_t
0,1.1716180735493993,1.082413078981125,0.6878606255055664
1,2.2569677751230572,1.5023207963424647,3.5352535828638127
2,7.2954877295939955,2.701016055041879,8.630543313481501
3,20.806127450003554,4.561373417075559,13.18191254473998
4,45.5953910625838,6.7524359354668295,16.58920944917725
5,96.0934130882515,9.802724778766947,19.826936191204947
6,177.98113627344975,13.340957097354362,22.503739750814834
7,330.86289968781784,18.189637151076376,25.196480715896357
8,596.9252708921256,24.432054168491966,27.759199651819838
9,1022.8739722728488,31.982400977300763,30.098221278293153
10,1647.1376186390637,40.58494325041078,32.16729886066361
11,2999.5155065559898,54.767832772129935,34.77051111445767
12,5908.465209924611,76.86654155043409,37.71474682670569
13,14576.447008420073,120.73295742430926,41.63651678119145
14,37618.22721357031,193.95418844039,45.75398325251972
15,110678.9152697005,332.6844079149194,50.44064894101983
