t,mse_t,rmse_t,mse_db_t
0,1.2027298626686878,1.096690413320317,0.8016809423385594
1,3.2532844748653935,1.803686357121269,5.123220406758136
2,20.964499070365346,4.578700587542862,13.214844897505467
3,140.51022005557797,11.853700690315154,21.477079139373263
4,806.9442074586641,28.406763410474348,29.068435084141832
5,4107.309310081035,64.08829308135016,36.135574095990115
6,21629.97542794129,147.0713276881027,43.350560260726766
7,110707.18317663026,332.7268897709205,50.44175800759153
8,567272.5940290798,753.1750088983833,57.53791802515086
9,2980241.904492435,1726.3377144963367,64.74251516936107
10,15296829.864655863,3911.1161916588294,71.84601436377137
11,80795639.65231775,8988.639477268945,79.0738792357118
12,425588377.9707983,20629.793454390143,86.28989759672172
13,2426182020.025853,49256.28914185328,93.8492337993016
14,13772816360.474218,117357.64295721953,101.3902275686894
15,78730959043.60905,280590.37589270424,108.96145541735561
