t,mse_t,rmse_t,mse_db_t
0,1.4424141198392768,1.2010054620355717,1.5908996505812616
1,3.2457144970783363,1.8015866609958946,5.113103153063998
2,10.597338896958945,3.2553554179165975,10.251968230516702
3,32.81374328457511,5.728328140441599,15.160557761070187
4,87.96824369733322,9.379138750297557,19.443259212856518
5,198.6575851448895,14.094594181631818,22.98105151941997
6,418.594684479099,20.45958661554771,26.217937091530427
7,830.9959539292415,28.82700043239396,29.19598909234795
8,1557.5765669841364,39.46614456701005,31.924494048023988
9,3092.71378333874,55.61217297803368,34.903397298744224
10,7158.495062659906,84.60789007332535,38.54821729754838
11,16104.940828690538,126.90524350353117,42.06959133513338
12,36627.264955677325,191.38250953438072,45.63804490081295
13,85881.52130488091,293.05549185244917,49.33899728922842
14,195198.69887042933,441.81296820083196,52.904769184778246
15,497982.183768402,705.6785272122158,56.9721380535112
