t,mse_t,rmse_t,mse_db_t
0,1.484751324718574,1.2185037237196175,1.716537214336257
1,4.046131157598164,2.0114997284608727,6.070399565608167
2,19.594515509769316,4.426569270865341,12.921345296648488
3,108.026504575823,10.393579969184005,20.33530323809253
4,598.7514852598987,24.469398955836628,27.77246603732646
5,3341.9287589807986,57.80941756306492,35.23997187654531
6,18411.131956952602,135.6876263958973,42.65080490706381
7,104486.7556369054,323.2441115270399,50.19061244338543
8,621973.9744854231,788.6532663252103,57.93772212707155
9,3881899.851581539,1970.2537530941386,65.89044326913614
10,24435278.350503027,4943.205270925235,73.88017290587393
11,166950009.41265228,12920.913644655795,82.2258644787594
12,1140314661.3057268,33768.54544255241,90.57024708189503
13,7835460795.099984,88518.13822658034,98.9406454195134
14,54382643905.67809,233200.8660054205,107.35460317737221
15,377144732060.4335,614121.1053696441,115.76508045889793
