t,mse_t,rmse_t,mse_db_t
0,0.9754270407952867,0.987637099746302,-0.10805209062887189
1,2.595680046043603,1.611111431913883,4.1425115854381565
2,13.27915819659318,3.644057929917303,11.231705447487084
3,76.69679809936677,8.757670814741028,18.84777233612572
4,444.8969890675001,21.092581375154158,26.482594665801532
5,2436.4687046340205,49.36059870619501,33.86760837432051
6,12596.463828681251,112.23396913894318,41.00248643908622
7,73924.8159657584,271.8911840530296,48.687902520327164
8,475981.83905016544,689.9143708100053,56.77590382655862
9,2930101.945309053,1711.754055146081,64.66882730768772
10,22798016.12190552,4774.726811232818,73.5789705643924
11,146343964.1557595,12097.270938346364,81.65374814997321
12,912155648.51152,30201.91464976219,89.60068951839386
13,5339246936.5784025,73070.15079071894,97.27480007149981
14,29538110110.96578,171866.547387692,104.70382705104727
15,162900911814.29672,403609.8509876793,112.11923515215872
