t,mse_t,rmse_t,mse_db_t
0,0.8301476738840056,0.9111244008827805,-0.8084464467422241
1,1.2826422003569946,1.132537946541746,1.081055245884542
2,3.03886931220355,1.7432353002975673,4.827120234727492
3,7.029999437438792,2.6514146106255794,8.46955290266305
4,14.9127288128286,3.861700248961408,11.735571203086742
5,29.540421959459525,5.435110114750162,14.704166945424857
6,56.16454712135371,7.494300976165403,17.494622613327554
7,103.87852046532048,10.192081262692152,20.165257553746407
8,189.1365897995348,13.752693910632011,22.767755542857824
9,344.33942967226477,18.55638514561133,25.369867558113434
10,631.6945895944652,25.133535159114906,28.005071572183653
11,1178.5435068839947,34.32992145175976,30.7134561948731
12,2240.492542462256,47.33384140825944,33.50343502690981
13,4326.452476240817,65.77577423520621,36.361319375853796
14,8469.718695026679,92.03107461627664,39.27868986337032
15,16706.757243022937,129.25462174724328,42.22892162153832
