t,mse_t,rmse_t,mse_db_t
0,0.9059051276372247,0.9517904851579599,-0.4291728212568608
1,1.5964422675182033,1.2635039641877674,2.031532176755741
2,3.527277546308983,1.878104775114792,5.47439633778087
3,7.2452067640928535,2.6916921748396216,8.600507839028817
4,13.37270546800932,3.6568709941710167,11.262192794357873
5,21.97329340167916,4.687567962353096,13.418951547348936
6,32.724846522441034,5.7205634794520925,15.148776184126099
7,45.06012872086523,6.71268416662554,16.537924280154556
8,58.295941441311655,7.635177891923125,17.65638320265056
9,71.84591931079704,8.476197219909235,18.564021062053683
10,85.84531084139552,9.265274461201649,19.33716577524597
11,100.28735286552455,10.014357336620487,20.012461680450254
12,115.02848531585632,10.725133347229596,20.608054010806054
13,130.65237610230076,11.430327033917305,21.161173124080367
14,148.14668794522862,12.171552404900067,21.70691946580904
15,169.42872428020289,13.01647895093765,22.289870408167957
