t,mse_t,rmse_t,mse_db_t
0,0.9059051276372247,0.9517904851579599,-0.4291728212568608
1,1.7040707028474502,1.305400590948024,2.314876099256884
2,4.137016035318698,2.033965593445154,6.166872042498582
3,9.495190413946615,3.081426684824193,9.77503678382895
4,20.057785926247842,4.478591957998389,13.022829918408341
5,39.9599696377611,6.321389850164368,16.01625149570015
6,76.69542156822621,8.757592224363167,18.847694389554526
7,145.00537342109084,12.041817695891714,21.613840960549027
8,271.994876373072,16.49226716898171,24.345607232111842
9,510.41430310166453,22.59235054397095,27.07922835915088
10,964.2036892477377,31.05162941373186,29.841687888529304
11,1836.7837698516,42.85771540634895,32.64058033231473
12,3528.616299682336,59.40215736555648,35.476044359200536
13,6826.926007333494,82.62521411369228,38.34225195838215
14,13241.891571815404,115.07341818080927,41.219500274393454
15,25588.62122919296,159.9644373890427,44.08046885782256
