t,mse_t,rmse_t,mse_db_t
0,0.7928505898199264,0.8904215798260543,-1.0080864639025577
1,0.8657331486975495,0.930447821587836,-0.6261595314135743
2,1.3550297978329378,1.164057471877114,1.3194884568431853
3,2.269232136273979,1.506397071251129,3.5587892530145733
4,3.9439416332612325,1.985935959003017,5.959304791545339
5,6.712291349688229,2.5908090145142366,8.268707989552961
6,11.285793248637496,3.3594334713813723,10.525320899001464
7,18.622588747973435,4.315389756206667,12.700400526288151
8,30.41150115701577,5.514662379240979,14.830378580960454
9,48.981429998050174,6.998673445593113,16.90031460069967
10,78.14879736603619,8.840180844645442,18.929222990370608
11,123.39217854553782,11.10820320958965,20.912876319649058
12,191.11883717040553,13.824573670475539,22.81303494360006
13,287.9846756792015,16.9701112453396,24.593693785751004
14,422.5583155295744,20.55622327981418,26.25886652611266
15,575.0907361131714,23.981049520677182,27.597363717929348
16,752.4894726586358,27.431541565479616,28.765004285207056
17,932.7332637532878,30.540682110150843,29.697574651373596
18,1135.9182741498555,33.703386686649985,30.553470863375658
19,1375.564952608998,37.08860947257255,31.384811021002385
20,1666.3285315059109,40.82068754327774,32.217606305365344
21,2014.0620967070006,44.878303184356255,33.04072856407
22,2455.6114900414445,49.55412687195128,33.90159656818506
23,3070.4529345128194,55.41166785536075,34.87202444679259
24,3971.287886542902,63.018155213739014,35.98931371074243
25,5382.825914905978,73.36774437657176,37.31010334595875
26,7592.809773316521,87.13673033409344,38.80402519404609
27,11136.148062104385,105.52794919879939,40.46734996523621
28,17000.08416043486,130.38437084418845,42.304510713972135
29,26874.413866614268,163.93417540773572,44.29339001025206
30,44025.8807113848,209.82345129032836,46.43708052527306
31,74372.14118323186,272.7125614694561,48.71410285059841
32,128873.63949333863,358.98974845159387,51.101640935105486
33,228101.52238774797,477.59975124338996,53.581281838404
34,409409.1628580126,639.8508911129315,56.12157558243786
35,741016.9470854203,860.8234122544648,58.69828140424025
36,1351392.5060888806,1162.494088625349,61.307815062914344
37,2473784.8003920596,1572.8270090483759,63.93361916769554
38,4538032.345956446,2130.2657923264987,66.56867587102097
39,8442199.543639287,2905.5463416781513,69.26455613120126
40,15778097.041150732,3972.165283715008,71.98054622804753
41,29604259.822942995,5440.979674924636,74.71354207156577
42,55529791.38336043,7451.831411361936,77.44526041899982
43,104163329.82454851,10206.043789076573,80.17714854685258
44,194733017.96906063,13954.677279287424,82.8943959459157
45,363877798.82226366,19075.581218465235,85.60955558902765
46,677571905.5207858,26030.211399848173,88.3095539034177
47,1259754781.157478,35493.02440138735,91.00286015312284
48,2332393227.298253,48294.85715164973,93.67801771665458
49,4314433896.501035,65684.35046874586,96.3492381934332
50,7974929646.793649,89302.46159425646,99.01726860488583
51,14728021740.43983,121359.0612209893,101.68144416570516
52,27226113682.200546,165003.37476003496,104.3498565357536
53,50338116645.035614,224361.57568762885,107.0189696278228
54,93394399676.70476,305604.9732525712,109.7032083487651
55,170071533139.14075,412397.30011136195,112.3063162675072
56,298353962158.34937,546217.8705959275,114.74731809674944
57,512716098390.9986,716041.9669202347,117.09876953743535
58,862350780256.7881,928628.4403661068,119.35683960652389
59,1404429026166.7563,1185086.083863428,121.4749979670743
60,2191738590904.7861,1480452.1575872644,123.40788754512337
61,3341893248682.188,1828084.5846629166,125.23992572951529
62,4970989221836.699,2229571.5332405684,126.96442821497092
63,7196782764757.362,2682682.0096234595,128.57138393684988
64,10198757234152.926,3193549.3160671443,130.0854725419011
65,14213268807821.178,3770048.913186827,131.52693969689744
66,19533113413313.25,4419628.198538113,132.9077147167784
67,26699968280756.438,5167201.203819766,134.26510745428223
68,36260320897936.88,6021654.3323190585,135.5943164321196
69,49118806058649.17,7008481.009366378,136.91247801772317
70,66653929204426.32,8164185.764938615,138.23825755872957
71,90955980748302.44,9537084.49937938,139.5883126107502
72,124142649226867.22,11141932.023974443,140.9392100907204
73,167638206435787.06,12947517.385035135,142.2437300566212
74,227610025674020.3,15086750.003695969,143.57191387771405
75,311571559141433.3,17651389.722665843,144.93557807563866
76,429254934561156.94,20718468.441493377,146.3271529635564
77,606874901980329.8,24634831.072697245,147.83099177106817
78,856633249066824.0,29268297.6796879,149.32794926943592
79,1240138642259526.5,35215602.25609561,150.93470240164208
