t,mse_t,rmse_t,mse_db_t
0,0.8454185820818074,0.9194664659909069,-0.729282107216897
1,0.7959687805269566,0.8921708247454389,-0.9910396581856429
2,1.1593907960817589,1.0767501084661004,0.6422984836632948
3,1.8568758469560602,1.3626723182614595,2.687828672376804
4,3.2307040433381533,1.7974159349850423,5.092971752159712
5,5.495137878192143,2.3441710428618774,7.3997859375437685
6,9.438740632570347,3.0722533477189584,9.749140522629679
7,15.96210037465735,3.995259738071775,12.03090037459965
8,26.995964579757082,5.195764099702476,14.312988496506325
9,45.16129184754623,6.72021516378354,16.547663565088282
10,74.91002967775,8.655058040114463,18.745399691292203
11,120.92951526393229,10.996795681648917,20.82532312042305
12,186.49270760552,13.656233287606067,22.706618543291462
13,274.4772903097124,16.567356165354578,24.38506417634286
14,402.56661943710066,20.06406288459794,26.048377606289044
15,550.9389951519868,23.472089705690603,27.41103512580213
16,736.3195134776869,27.135208005056583,28.6706631002904
17,950.5529413418873,30.831038603035857,29.77976310041396
18,1185.3151528309972,34.4284061906879,30.738338363700812
19,1441.2574320804822,37.96389642911384,31.587415598193004
20,1742.476766990994,41.74298464402125,32.41166996219186
21,2147.385442402004,46.33989040127312,33.319100046058594
22,2659.522525553837,51.57055870895561,34.2480367304814
23,3376.1650420482883,58.1047764133749,35.28423668729353
24,4484.614885050929,66.96726726581375,36.517251540738705
25,6193.239021620408,78.69713477389382,37.91917841476975
26,8941.376515686854,94.55885212758695,39.51404383130183
27,13508.281669578722,116.22513355371429,41.30600107802017
28,21200.37247514993,145.60347686490843,43.263434912344685
29,34527.455247962294,185.81564855512653,45.38164571037157
30,57828.680579839245,240.47594594852777,47.621432835463395
31,99578.98590703485,315.5613821541458,49.981676991916856
32,174488.31339870504,417.7179830923072,52.417663447827756
33,309325.16485568194,556.1700862646983,54.904152530564964
34,559740.5218544756,748.158086138535,57.479867483588826
35,1010947.4872700311,1005.4588441453142,60.0472859715266
36,1861964.7228825418,1364.5382819410167,62.69971448502154
37,3468668.7202581814,1862.436232534736,65.40162823960247
38,6430684.737633272,2535.879480108089,68.08257218949535
39,12035194.77023401,3469.177823380348,70.80453123024294
40,22521573.437394325,4745.689985386142,73.52598728599703
41,42062469.23777588,6485.558513942795,76.23894763948579
42,77962051.76012348,8829.612208932138,78.91883260106621
43,145287169.70571333,12053.51275378731,81.62227263492518
44,268764363.4050097,16394.034384647657,84.29371683271006
45,496118031.4124507,22273.707177128163,86.95585011758254
46,919409922.6499801,30321.773078927625,89.63509186524229
47,1694583870.1394634,41165.32363700622,92.29063068267747
48,3128828323.1948466,55935.930520505746,94.95381734339995
49,5805360544.902009,76192.91663207288,97.63829196994317
50,10721144296.724953,103542.95870181108,100.30241141255196
51,19217680369.953117,138627.84846470467,102.83700965885848
52,33964741218.760994,184295.255551414,105.31028310000137
53,57889546723.29489,240602.46616212165,107.62600149042663
54,97183984997.12483,311743.4602315257,109.8759470319353
55,158001532596.27158,397494.0661145416,111.98661299580218
56,249299718053.65143,499299.226970813,113.96721787337256
57,392004273389.71606,626102.4464013187,115.93290801457847
58,614142577391.5018,783672.4937060773,117.88269207275005
59,951548542817.3905,975473.4967273024,119.78430948524226
60,1477396970102.694,1215482.1965387622,121.6949720401959
61,2299184974310.43,1516306.3589889843,123.61573912587562
62,3613460562130.984,1900910.4561054378,125.57923319122557
63,5767250243904.801,2401509.992464075,127.60968796076949
64,9190658553575.52,3031609.8946888796,129.63346631727438
65,14755722979110.555,3841317.8700949177,131.68960493276575
66,23944009247899.17,4893261.616539542,133.79196871569806
67,38983562884676.87,6243681.837239696,135.9088152873859
68,62076096852247.2,7878838.547162088,137.9292440205133
69,97673646790670.19,9882997.864548499,139.89777403051
70,152815085328927.56,12361839.884456018,141.8416622826933
71,236436862899147.44,15376503.597994814,143.7371518839201
72,363762554899264.06,19072560.26073228,145.6081799149053
73,562179461338437.9,23710323.9399726,147.4987497504887
74,884398639619877.5,29738840.589704864,149.46648065876334
75,1411542878766037.0,37570505.43665918,151.4969407534772
76,2298595495907977.5,47943670.02960847,153.61462551368624
77,3833036013097812.0,61911517.61262045,155.83542899665565
78,6558111682560044.0,80982168.91736133,158.1677880829348
79,1.1421228454157418e+16,106870147.62859373,160.57712818635653
