t,mse_t,rmse_t,mse_db_t
0,0.7048496982725179,0.8395532730402031,-1.5190348183128897
1,0.703444707683239,0.8387161067269657,-1.5277003339878719
2,0.9077549130311109,0.9527617294114572,-0.4203139188185414
3,1.292946056940738,1.1370778587857289,1.1158040603919475
4,1.9240899828389442,1.387115706363007,2.842253785836087
5,2.920374667421812,1.708910374309259,4.654385725291129
6,4.490409291921533,2.119058586240959,6.522859278901462
7,6.958255936845974,2.6378506282285916,8.42500398817393
8,10.843844842032624,3.2929993686656887,10.351832948978307
9,16.932615753548124,4.114925971818706,12.287240531817138
10,26.421251771013367,5.140160675602793,14.21953389522469
11,40.95639385946285,6.399718264069353,16.12321710763633
12,62.23654110871436,7.8890139503435,17.94045448069984
13,91.55147442298438,9.56825346774344,19.616653429425742
14,128.8032914656195,11.349153777512203,21.099269612154963
15,169.1267490655897,13.004874050354724,22.282123009913775
16,206.1111967867747,14.35657329542028,23.141015850379617
17,233.75933236702997,15.289190049411708,23.68768958216638
18,253.2089184460344,15.912539660470117,24.03478998200326
19,267.58983930013574,16.35817347078016,24.274696187383093
20,279.25838284683573,16.711025786792256,24.46006218741918
21,288.57645013921365,16.987538083525042,24.602608867301065
22,293.61744031279346,17.135268901093834,24.677818482694317
23,292.7493998940782,17.10992109549539,24.66496013486647
24,287.5000772769629,16.95582723658633,24.586379657594026
25,281.7929058517602,16.78668835273236,24.499300555291377
26,277.1521893464032,16.64788843506597,24.427183136241553
27,272.37859300043124,16.503896297554444,24.35172972157364
28,265.0925470136557,16.28166290689178,24.233975178638243
29,254.6276537796383,15.95705655124523,24.059055683345715
30,241.20807275864783,15.530874822708727,23.82391838691435
31,226.02333300716504,15.034072402618163,23.54153274869484
32,210.35518655751295,14.503626669130481,23.229532245324247
33,195.2519224800418,13.973257404057287,22.905953186997262
34,181.37952399527668,13.46772155916793,22.585882578189533
35,168.9282518726837,12.997240163691817,22.27702287856117
36,158.10491309036377,12.573977616107154,21.989453657885093
37,148.60703469515215,12.190448502625001,21.720393683543957
38,140.14187252985147,11.83815325673103,21.46567916097107
39,132.73753354155073,11.521177610884694,21.22993743551269
40,125.98235833146181,11.224186310439693,21.003097338817213
41,119.72442926775278,10.941865895163986,20.781827754164084
42,113.81900624591157,10.668599076069528,20.562147894624218
43,108.3581003903558,10.409519700272236,20.348613828762872
44,103.15782934711422,10.156664282485378,20.13502195112967
45,98.3855433077303,9.918948699722684,19.929312882389354
46,94.17691549608105,9.704479146048028,19.73944462227235
47,90.49345546094067,9.512804815665076,19.566171719126682
48,87.40808147580117,9.349228924130651,19.41551587990139
49,85.14391379031825,9.227345977599315,19.301536094125556
50,83.68335248610897,9.14786054146591,19.22639070388558
51,83.27963782315443,9.125767793624513,19.20538827792735
52,84.0128032902812,9.16584984004654,19.2434547623574
53,85.97256139857592,9.272138987233523,19.34359865957708
54,89.29768521526277,9.449745246050963,19.508402012035766
55,93.82704038839094,9.68643589708779,19.72328017473972
56,99.37373365006191,9.968637502189651,19.972716073521294
57,105.79805857058605,10.28581832284559,20.244776983247107
58,112.95976927227018,10.628253350022767,20.529237966337
59,120.62067117533603,10.98274424610425,20.81421740707093
60,128.55216327359338,11.33808463866774,21.09079389340447
61,136.44323916155528,11.680892053330314,21.349520210057435
62,144.08263624039435,12.003442682847048,21.586116460509423
63,151.03172987058196,12.289496729751871,21.790681966977395
64,156.73408600818314,12.51934846580217,21.951634556610212
65,160.38932046071903,12.664490533010754,22.051754473684152
66,161.3902703300258,12.703947037437844,22.078773490393992
67,159.80785060919806,12.641512987344436,22.035981103503577
68,155.62868727446408,12.475122735847695,21.920896542003415
69,149.44763711174357,12.224877795370537,21.74489052881867
70,142.17082659559557,11.923540858134196,21.5281048845854
71,134.55886913857404,11.599951255870605,21.289123285657507
72,127.10330922153493,11.274010343331025,21.041568578548965
73,119.95114732826167,10.952221113923041,20.790044063342783
74,112.98355535888844,10.629372293738161,20.530152369647606
75,106.21795846563674,10.306209704136469,20.261979499203516
76,100.13846383177041,10.00692079671716,20.0060092484497
77,95.05269530444545,9.749497182134341,19.779644361856963
78,90.95647209746889,9.53711025926978,19.588336071511485
79,87.66754249952503,9.363094707388418,19.428388325626138
