t,mse_t,rmse_t,mse_db_t
0,0.7183888295537582,0.8475782144166745,-1.4364042926513945
1,0.7177785112446462,0.8472181013438311,-1.4400954765723495
2,0.9281747445015406,0.9634182604152469,-0.3237025284528072
3,1.3285301390227846,1.1526188177462593,1.23371411258764
4,1.9892775107791536,1.4104174952045772,2.98695372864555
5,3.038002267665301,1.7429865942299445,4.825880936986437
6,4.700663087948842,2.1681012633059464,6.721591249835804
7,7.328450992389658,2.707111189513585,8.65012187935909
8,11.48835869543154,3.3894481402481347,10.602579868751283
9,18.049107494721046,4.248424118978829,12.564557314659995
10,28.324238223550722,5.322052068850015,14.521582384027884
11,44.137208986315656,6.643584046756363,16.448048671091556
12,67.38555367154088,8.20887042604163,18.285668010872293
13,99.83900435517265,9.991946975198209,19.993002413566728
14,141.9516507139276,11.914346424119437,21.521404471738283
15,189.35821593269085,13.76074910507022,22.77284153168609
16,235.62161514122369,15.349971177211495,23.722151286700914
17,274.0107976269105,16.553271508282297,24.37767676898453
18,304.8061396751127,17.45869810939844,24.84023710699607
19,330.5321096478771,18.180542061442424,25.192136555478896
20,353.53470709356617,18.80251863696899,25.484320556415994
21,374.23936596161144,19.34526727552792,25.731494686816056
22,390.408140601365,19.758748457363513,25.915188647871553
23,400.2400143214722,20.005999458199337,26.023205054153692
24,405.21980624080896,20.130072186676554,26.076906645531743
25,409.65456962224,20.239925138750884,26.124178036984155
26,415.3212140080966,20.379431150257766,26.183841148116716
27,420.269067775387,20.50046506241717,26.23527426672539
28,421.6513844661514,20.534151661711068,26.2495353064444
29,418.10451992730987,20.44760425886881,26.21284862525011
30,409.856802672377,20.244920416548368,26.126321477636356
31,398.3983953763049,19.959919723693904,26.003175805533182
32,385.53885200344536,19.635143289608184,25.860681498590754
33,372.76569696252216,19.307141087238218,25.714359404165727
34,361.0908289636653,19.002390085556744,25.57616458293754
35,350.8577583711284,18.731197462285436,25.45131084343575
36,342.5643515805513,18.508494038698863,25.34742166809942
37,335.8346142608549,18.325790958669558,25.26125456566021
38,330.30386546786593,18.174263821895675,25.189136561665613
39,326.1507517305807,18.05964428582636,25.134183838459872
40,322.7063790816359,17.964030145867486,25.08807550382436
41,319.74501018626273,17.881415217657207,25.048037757762405
42,316.8113934776652,17.7991964278634,25.008007917163955
43,314.2872010835738,17.728147141863804,24.973266953288817
44,311.30239784079134,17.643763709616817,24.93182465896179
45,308.39589277004393,17.56120419475965,24.89108585464575
46,305.8703856263198,17.48915051185505,24.855374306241927
47,303.6417981275143,17.425320603292047,24.82361554597164
48,301.67362395173075,17.368754242942433,24.795373404269903
49,300.61570793769806,17.33827292257502,24.780116698384845
50,300.1961905957801,17.32617068471219,24.774051768688473
51,301.1320058511721,17.353155501267548,24.787569170067705
52,303.669947676968,17.426128304272524,24.82401814625359
53,308.03660116426164,17.55097151625122,24.886023227967545
54,314.62160562077185,17.737576092036132,24.977885430796757
55,323.29374379188584,17.980371069360217,25.09597300457672
56,334.12067174214326,18.278968016333504,25.23903345874048
57,346.9193208854916,18.625770343411077,25.40228487562707
58,361.45296170327526,19.011916308023114,25.58051787655736
59,377.2285860325658,19.42237333676206,25.76604595745571
60,393.9075801352379,19.847105081982054,25.953943382075447
61,411.1312669523381,20.27637213488493,26.139805065748092
62,428.2756512827783,20.69482184708963,26.317233841931582
63,444.5688181525056,21.084800642939587,26.479389982207998
64,459.1912766705431,21.42874883586401,26.619936291071816
65,470.8487421119302,21.699049336593763,26.728814145251253
66,478.3224293138032,21.870583652792696,26.797207461214523
67,481.3126530780907,21.9388389181855,26.824272788594964
68,479.58776514652135,21.89949234905963,26.808680952001026
69,474.04661349030033,21.77261154501913,26.758210483961978
70,466.07267448324615,21.588716369512248,26.68453641295553
71,456.7678498154559,21.372127872896886,26.59695527945503
72,446.7175298640614,21.135693266700798,26.500329951713084
73,436.45594587650754,20.89152808859389,26.399404142998186
74,425.8589672573534,20.63635062837791,26.292657965607184
75,415.1292319719918,20.374720414572362,26.181833159782343
76,405.0400177132171,20.125606021017532,26.07497933371359
77,396.28259752286004,19.906848005720544,25.980050010100953
78,388.81503446011527,19.71839330321097,25.897430496102753
79,382.48842990582057,19.55731141813262,25.82618302485569
