t,mse_t,rmse_t,mse_db_t
0,0.8056164198995069,0.8975613738901128,-0.9387169066809681
1,0.731856020688752,0.8554858389761645,-1.3557435004917764
2,0.9173622374762213,0.9577902888817683,-0.37459141240490545
3,1.297308920141966,1.1389946971526979,1.130434042553338
4,1.9210159396702133,1.3860071932245566,2.835309684442533
5,2.936819417508477,1.7137150922800666,4.678772429508832
6,4.5830725948828395,2.14081120019558,6.611567364303278
7,7.230114698894752,2.6888872603541323,8.591451870181753
8,11.498322032113267,3.390917579669737,10.606344677132691
9,18.188936856483235,4.264848984018453,12.598073152890894
10,28.308219124507904,5.320546882089086,14.519125486753538
11,42.451743674073654,6.515500262763686,16.27895533271988
12,60.3920886973056,7.7712346958064265,17.8098005020821
13,79.89797054285717,8.938566470237673,19.025357481095845
14,98.5713105405523,9.928308543782888,19.93750530692096
15,118.25681584696218,10.874594973927175,20.728261811174168
16,140.71691212560836,11.862415948094569,21.48346296449953
17,163.96551105534894,12.804901837005582,22.147525069895746
18,185.57510371905258,13.622595337124736,22.68519711954614
19,204.96058314220454,14.316444500720301,23.116703480323505
20,220.72166293689563,14.856704309398355,23.438449594972116
21,231.77694438575043,15.224222291655835,23.650702330769377
22,237.42384896083863,15.40856414338593,23.755243412060857
23,239.81505268814078,15.485963085586276,23.798764393726163
24,242.0919583222663,15.55930455779648,23.83980363525708
25,244.8315709596336,15.647094649155594,23.888674192312788
26,246.14709593292233,15.68907568765357,23.911947162909932
27,245.08356307784996,15.655144939535052,23.893141855729255
28,242.90663288432427,15.585462228767046,23.854393739477043
29,240.77266878745317,15.516851123454565,23.816071866204016
30,237.73609171889478,15.418692931597503,23.76095118810625
31,232.53306191476238,15.249034786331967,23.664847102854544
32,224.8537521212793,14.995124278287236,23.519001390107924
33,215.27995340781757,14.672421525018207,23.330035907630844
34,204.75532398680477,14.309274055199474,23.112352029747292
35,194.02767881558384,13.929381853319402,22.878636881747035
36,183.517003970549,13.546844797610586,22.636763104870138
37,173.32212453649964,13.16518608058768,22.388540038612028
38,163.71035456830109,12.794934723096523,22.140761491105287
39,154.70699736002075,12.438126762500081,21.895099571778367
40,146.34258285326248,12.09721384671952,21.65370715785666
41,138.527644765603,11.769776750882023,21.41536450448203
42,131.3373943793803,11.460252806085052,21.1838839600912
43,124.56013398281806,11.160651145108787,20.953790667081634
44,118.17318420269768,10.870749017556136,20.725189378477488
45,112.2071263651898,10.592786525045701,20.50020440189258
46,106.78571370798306,10.333717322821593,20.285131546325943
47,101.83716134961125,10.091440003766126,20.079062851135717
48,97.37772726921091,9.868015366283684,19.884596341864743
49,93.59693448692467,9.674550867452435,19.712616248362384
50,90.53629362431239,9.515056154553813,19.568227113713313
51,88.2707901043191,9.395253594465617,19.458170139376296
52,86.98934035028782,9.32680761838089,19.394660375533107
53,86.81413694896179,9.317410420764011,19.385904521235773
54,87.86424137480273,9.373592767706667,19.438121636597046
55,90.31522543041656,9.503432297355339,19.55760970280587
56,94.18248511174062,9.704766102886799,19.73970145610599
57,99.28835950430172,9.964354444935292,19.968983351078414
58,105.24176544772132,10.258740928969857,20.221881248352965
59,111.46408443303551,10.55765525261341,20.471349530771583
60,117.18444066785267,10.825176241884133,20.68869951437353
61,121.887016441457,11.040245307123254,20.85957446486798
62,125.68048050800174,11.210730596531242,20.9926783245183
63,128.762522362975,11.347357505735642,21.097894756059326
64,131.46411984967162,11.46578038555037,21.188072381675557
65,134.1080669987809,11.580503745467245,21.274549027411027
66,136.71537099827478,11.692534840584175,21.358173453245914
67,139.18219620328475,11.797550432326396,21.43583685093631
68,141.2057725588928,11.883003515900043,21.498524512429054
69,141.81790128585732,11.90873214434926,21.51731054112024
70,140.25020683145775,11.842728014754782,21.469035103966092
71,136.18758707687715,11.669943747802607,21.341375252736363
72,130.2762139321281,11.4138606059531,21.14865128674864
73,123.3081377041811,11.104419737392003,20.90991738748209
74,115.91023743777916,10.766161685474502,20.641217954665095
75,108.66424699863396,10.424214454750725,20.360866748558742
76,102.23552926323616,10.11115865087855,20.09601849629278
77,96.85109644804963,9.841295465946017,19.861045417163812
78,92.7810944123006,9.63229434830044,19.674594909939053
79,89.81231650902053,9.476936029594192,19.53335898194223
