t,mse_t,rmse_t,mse_db_t
0,0.88637945046037,0.9414772702834466,-0.5238032104425348
1,0.833369276540718,0.912890615868472,-0.7916251452762958
2,1.2323969869981435,1.1101337698665614,0.9075062786976522
3,2.2820157255405724,1.51063421301802,3.583186328481749
4,4.56561522852396,2.1367300317363354,6.594993081244161
5,9.374702237067096,3.0618135536095425,9.719574823888381
6,19.555799453592147,4.422193963813906,12.912755748873142
7,41.23791731302975,6.421675584536309,16.152967234810514
8,87.52698984535594,9.35558602362011,19.42141992833639
9,185.95462749601825,13.63651815882699,22.69406990282944
10,393.1062979668101,19.826908431896538,25.94510001719663
11,823.9978125705063,28.705362087430743,29.159260587968493
12,1700.6942098577956,41.2394739279952,32.306262331247034
13,3447.9779324743567,58.7194851175856,35.3756447761808
14,6879.239868529145,82.9411831874199,38.37540452895216
15,13593.801193185962,116.59245770282897,41.333409141566676
16,26855.078198793406,163.87519091916693,44.29026421327233
17,53523.45290598019,231.35136244677747,47.28544122877149
18,108129.80092834345,328.83096102457176,50.33945403436106
19,221279.7354207843,470.40380038939344,53.44941643489376
20,457406.26388989756,676.3181676473711,56.60302107700093
21,951730.8274305301,975.5669261667956,59.78514136734113
22,1988061.4883120533,1409.986343306932,62.98429812466557
23,4162597.797388315,2040.2445435261714,66.19364450086064
24,8728697.538004346,2954.436924018576,69.40949444821527
25,18322151.001227785,4280.438178648044,72.62976458039608
26,38487196.35180636,6203.80498982732,75.85316275519435
27,80887461.26126844,8993.745674704642,79.07881204837417
28,170063266.22669256,13040.83073376434,82.30610515859001
29,357652487.7136463,18911.702401255323,85.5346125020123
30,752321552.1180453,27428.480674620776,88.76403503440707
31,1582761334.7004302,39783.9331225613,91.99415432337388
32,3330281295.3967724,57708.58944209928,95.22480918154687
33,7007904884.14802,83713.23004249699,98.45588198672297
34,14747836278.102348,121440.66978612375,101.68728307676187
35,31038029384.795975,176176.1317114097,104.91894139954809
36,65325140587.23751,255587.83341003835,108.15080353052188
37,137493664458.90247,370801.3814145013,111.3828268686497
38,289399614834.25507,537958.748264451,114.61497948775178
39,609149148653.7778,780480.0757570803,117.84723641576622
40,1282206255688.7588,1132345.4665819786,121.0795789140942
41,2698977599051.778,1642856.5363572615,124.31199280018326
42,5681287019842.2,2383545.0530338627,127.54446730482137
43,11959126529977.457,3458197.0056631328,130.7769946083435
44,25174267631284.555,5017396.499309633,134.00956844932972
45,52992993809992.46,7279628.68627188,137.2421845543492
46,111553686333954.23,10561897.856633259,140.4748392628317
47,234829702237909.88,15324154.209544808,143.70753027423098
48,494339791255662.94,22233753.422570445,146.94025569852306
49,1040642059765603.4,32258984.171322,150.1730137485136
50,2190687183444547.5,46804777.35706631,153.40580367426972
51,4611714727327008.0,67909607.03263573,156.6386243475026
52,9708397208691678.0,98531199.1639789,159.87147536717785
53,2.0437869096414676e+16,142961075.45907268,163.1043561318913
54,4.30255683928733e+16,207426055.2410745,166.33726616321104
55,9.057754378175754e+16,300961033.6601028,169.5702053961375
56,1.9068535719201152e+17,436675345.2990122,172.80317344672284
57,4.014366323698688e+17,633590271.6818408,176.0361700071297
58,8.451221748802374e+17,919305267.51468,179.26919497163698
59,1.7792002020607552e+18,1333866635.7851355,182.50224819224056
60,3.7456995484480584e+18,1935380982.7649074,185.73532938633403
61,7.885765699953583e+18,2808160554.5184884,188.96843869271706
62,1.6601892216043624e+19,4074541963.956639,192.20157589976986
63,3.495216429188896e+19,5912035545.5535755,195.43474073098088
64,7.3585682718478475e+19,8578209761.860482,198.6679332356006
65,1.549228056677765e+20,12446799012.909966,201.9011535350253
66,3.2616706351376164e+20,18060095888.830757,205.1344010368028
67,6.867008762640282e+20,26204978081.7315,208.3676760157564
68,1.4457653988692944e+21,38023221837.04709,211.60097826677412
69,3.043902918135448e+21,55171577085.80975,214.83430796984732
70,6.408648898743023e+21,80054037366.9125,218.06766479180368
71,1.3492887004340078e+22,116158886893.51357,221.30104883393838
72,2.8408347326016112e+22,168547759777.5067,224.5344596909538
73,5.981219671701943e+22,244565321983.75842,227.76789752998303
74,1.2593204167439409e+23,354869048628.3554,231.00136244420202
75,2.651462037990833e+23,514923493151.2479,234.23485413536753
76,5.582609300836894e+23,747168608871.9797,237.46837234795092
77,1.1754163479520112e+24,1084166199414.0988,240.70191726684638
78,2.4748499135778127e+24,1573165570935.8162,243.93548866428625
79,5.210851044482833e+24,2282728859168.9624,247.16908658758058
