t,mse_t,rmse_t,mse_db_t
0,1.4635523977489138,1.2097736969156314,1.6540827555413542
1,2.143588631130572,1.4640999389148857,3.3114144502656995
2,3.896148913405364,1.9738664882421415,5.906355475480324
3,7.82116184774515,2.7966340210590928,8.932712730834076
4,16.432611041458536,4.053715708021288,12.15706575656788
5,35.12130554403525,5.926323104930683,15.455706513124262
6,75.61688228408381,8.695796817088347,18.78618767251176
7,162.58518653398494,12.750889636962,22.110809736097117
8,345.99475133991695,18.600934152346138,25.390695106962422
9,722.180524319596,26.873416684887612,28.586457722456412
10,1471.7319502224652,38.363158762313425,31.67828718194516
11,2939.180042421389,54.214205171904794,34.682261900315176
12,5799.383071126274,76.15368061444092,37.633817964843175
13,11412.001310900412,106.82696902421416,40.57361812872594
14,22557.60869451855,150.19190622173537,43.532930587058125
15,44920.08276410056,211.94358391822234,46.52440547766603
16,90195.74012710738,300.32605635726543,49.55186026644179
17,182348.42460776868,427.0227448365821,52.60902015595463
18,370545.17128685594,608.7242161166713,55.68841158185333
19,755581.9705423524,869.242181755092,58.7828158637607
20,1544397.0047706072,1242.737705539913,61.88758950674843
21,3162003.5469078645,1778.2023357615592,64.99962352756738
22,6481518.158390218,2545.882589278268,68.11676742072555
23,13296813.004489217,3646.47953572884,71.23747561236137
24,27294350.056342885,5224.399492414691,74.36072757176345
25,56051851.61780692,7486.778453901713,77.48589963659161
26,115149538.53026982,10730.77529958902,80.612622018386
27,236629162.80803478,15382.755371130192,83.7406826719861
28,486400945.6188667,22054.499441584856,86.86994410583463
29,1000071694.9554566,31623.910178146165,90.00031135607415
30,2056699331.7792065,45350.84708998506,93.13170806962917
31,4230651678.6294656,65043.45992203571,96.26407270125341
32,8704329109.135702,93296.99410557502,99.3973530326167
33,17912298947.483902,133836.837034816,102.5315132879335
34,36868106763.479706,192010.69439872276,105.66650836459262
35,75898302336.67706,275496.4651981529,108.8023206187626
36,156276238542.9844,395317.895551143,111.93892949521742
37,321834033848.99646,567304.1810607397,115.07631968697945
38,662901256537.0515,814187.482424688,118.2144884222856
39,1365653688817.815,1168611.8640583002,121.35340582139321
40,2813894452737.862,1677466.677087167,124.49307803314362
41,5798958880003.175,2408102.755283332,127.63350029208462
42,11952722385363.26,3457270.9447428705,130.7746683267217
43,24640981652914.598,4963968.337219184,133.91658005357314
44,50806973888297.0,7127901.085754277,137.0592332868806
45,104776214670882.45,10236025.335592056,140.2026270431193
46,216110550624714.28,14700698.984222291,143.3467596987372
47,445823660936080.6,21114536.720848996,146.4916311381064
48,919864972680247.4,30329275.835078016,149.63724081776343
49,1898273646596501.0,43569182.30351014,152.7835881854464
50,3918025653474434.0,62594134.33760734,155.93067275233477
51,8088154644918761.0,89934168.3951031,159.0784944634071
52,1.6699570258730844e+16,129226817.10361376,162.22705295299488
53,3.4485356274535004e+16,185702332.44236594,165.37634717124013
54,7.122585694274351e+16,266881728.37933943,168.52637683088994
55,1.47134377072149e+17,383580991.54174596,171.67714154906156
56,3.039933091373813e+17,551355882.4728193,174.82864024935424
57,6.281844780715484e+17,792580896.8626158,177.98087201131005
58,1.2983255430244992e+18,1139440890.5355728,181.13383601410905
59,2.6838183537805496e+18,1638236354.675524,184.28753118568358
60,5.548755841546772e+18,2355579725.151915,187.4419561524454
61,1.1473896601425609e+19,3387314068.908522,190.59710931860468
62,2.3730065946475414e+19,4871351552.338983,193.75298945134767
63,4.908620827876339e+19,7006155028.170829,196.90959485813255
64,1.015529021401045e+20,10077345986.92059,200.0669233902023
65,2.1013449939235173e+20,14496016673.291727,203.22497359715481
66,4.348848927490014e+20,20853893946.910763,206.38374321186365
67,9.001668642284057e+20,30002780941.579494,209.5432302221319
68,1.8635593508661544e+21,43168962818.97626,212.703432287739
69,3.858643880529856e+21,62117983551.704704,215.86434698794903
70,7.990927123869361e+21,89391985792.18028,219.02597169980044
71,1.6551234072662153e+22,128651599572.88582,222.18830380647478
72,3.4287361739696804e+22,185168468535.26874,225.35134069367734
73,7.104081175079047e+22,266534822773.29254,228.5150791528286
74,1.4721486055034336e+23,383685887869.67834,231.67951651912216
75,3.0511598858183364e+23,552373052005.4663,234.84464965986976
76,6.324811027956398e+23,795286805370.0123,238.01047554236504
77,1.311290925430616e+24,1145116118754.1707,241.17699055757438
78,2.7190623086718465e+24,1648957946301.7988,244.34419159776652
79,5.639070342747565e+24,2374672681181.0435,247.51207512087302
