t,mse_t,rmse_t,mse_db_t
0,0.9615592582044304,0.9805912798941414,-0.1702394624799577
1,0.9780909723155937,0.9889848190521399,-0.09620749571034265
2,1.3276444546955894,1.152234548473352,1.2308178584695988
3,2.0261452347167364,1.4234272846607712,3.066705725027417
4,3.193842942139288,1.7871326034011266,5.043135558101898
5,5.072799688145906,2.252287656616247,7.052477134803331
6,8.005587840428324,2.8294147522815254,9.033932271336448
7,12.510031202779103,3.53695224773803,10.972583929210685
8,19.326797727710314,4.3962253954626025,12.861599013956454
9,29.26602080575051,5.409807834456831,14.6636367700898
10,43.11474410132263,6.56618185107012,16.346258127789163
11,61.24645141352859,7.826011207091937,17.87080930976678
12,83.24095022239374,9.123647857211157,19.203370291799878
13,107.74127171675016,10.379849310888389,20.323820974054772
14,132.95084267255706,11.530431157270618,21.236910943331125
15,157.6461338703575,12.555721160903403,21.97683324532967
16,181.23308657002397,13.462283854161743,22.58237486955858
17,202.08108496850232,14.215522676584998,23.055256649341803
18,217.22126667171275,14.738428229350399,23.36902341847018
19,223.63817717036434,14.95453700956216,23.495459437544113
20,220.73674760884953,14.857211972939254,23.438746392570124
21,211.60946302796953,14.546802501854815,23.25535085144507
22,200.58256673021958,14.162717491012083,23.022931844078542
23,190.4950119876884,13.801993044038547,22.79883608386527
24,181.85878281867903,13.485502690618508,22.597342800268617
25,173.7905075162799,13.182962774592056,22.40026051480403
26,165.7465801658801,12.874260373546905,22.19444576410691
27,157.9068829489317,12.566100546666483,21.98401060734014
28,151.29551075993797,12.300224012591721,21.798260418294547
29,146.16930536466714,12.090049849552612,21.64856183084818
30,141.95689303175396,11.914566422314913,21.521564855055715
31,137.7019723113729,11.734648367606628,21.389401607203332
32,132.70136635690872,11.519607908123815,21.228753945917212
33,126.82652081020726,11.261728144925504,21.03210078760157
34,120.07767771702918,10.957996063013947,20.794622801310148
35,112.70212516935476,10.616125713712831,20.519321054038887
36,104.90429795048516,10.24227991955332,20.207932816915715
37,96.97749732383268,9.847715335235513,19.866709721854242
38,89.25359821209116,9.447412249504685,19.506257334918622
39,81.89811748128186,9.049757868654932,19.132739191366376
40,75.0427811874244,8.662723658724454,18.753089212128113
41,68.82786307864734,8.296255967522177,18.377642860791095
42,63.41236671980833,7.9631882258181195,18.021739625257347
43,58.75733987767621,7.665333644250341,17.690621257397737
44,54.95488389390842,7.41315613581074,17.400062946470804
45,51.90685959325776,7.204641531211512,17.152247545082922
46,49.680207296995235,7.048418779910516,16.961833993213684
47,48.27208101743924,6.9478112393356835,16.83696021729597
48,47.631161524135536,6.90153327342088,16.778911722605297
49,47.85999897280828,6.918092148331668,16.799726849564053
50,49.023189714642896,7.001656212257418,16.904015653901617
51,51.18180569176115,7.154146049093571,17.091156037108856
52,54.471182736476734,7.3804595206854655,17.361668052409826
53,58.92020612691923,7.675949851772042,17.702642575125317
54,64.61183758362296,8.038148890361695,18.103120927052196
55,71.6788271316816,8.46633492909899,18.55390890426306
56,79.99058710092542,8.943745697465097,19.030388843589
57,89.64415430947344,9.468059690848671,19.52521974501518
58,100.32197827842936,10.01608597599029,20.013960875509802
59,111.72077308569936,10.56980477992377,20.481339322714632
60,123.45768521248458,11.111151390044354,20.91518129840963
61,134.96632509002714,11.617500810846847,21.302254229252334
62,145.94673493330302,12.080841648382906,21.641943835562294
63,156.0308946272972,12.491232710477265,21.932105985963
64,165.007693609243,12.845532048507879,22.17504193996596
65,172.46384622377778,13.132549113701337,22.36698067344671
66,177.73835304676166,13.331854823945603,22.49781151605756
67,179.84657471435483,13.410688823261646,22.54902170834983
68,178.31301738934178,13.353389734046624,22.511830491428135
69,173.2054888678564,13.160755634379676,22.385616506562155
70,165.8770918327166,12.879328081569962,22.197864126813997
71,158.05267455999788,12.571900196867531,21.98801849348776
72,151.3398732390678,12.302027200387252,21.799533658705045
73,146.72630060272718,12.11306322128004,21.665079678505226
74,144.43523896038045,12.01812127415847,21.596731642790665
75,144.45539003963373,12.018959607205348,21.59733751239388
76,146.30951804836968,12.095847140583816,21.65272579723584
77,149.38729748544554,12.222409643169613,21.743136706620284
78,152.9840107627137,12.36867053335619,21.846460425797474
79,156.56627519252345,12.512644612252178,21.946982195665925
