t,mse_t,rmse_t,mse_db_t
0,0.8105682070626491,0.9003156152498129,-0.9121043460374763
1,1.1929077077004642,1.0922031439711497,0.7660684468719494
2,2.500417506582809,1.5812708517464076,3.9801253093853033
3,5.14715146397628,2.2687334493007945,7.115669483164703
4,11.138675311481506,3.3374654022898134,10.46833544596948
5,36.25519720957978,6.021228878690776,15.593702718078175
6,124.96402588941456,11.178730960597207,20.967850081576913
7,431.236575576433,20.766236432643083,26.34715588675363
8,1668.2844146870664,40.84463752669457,32.22270092584417
9,6552.3517137068175,80.9465979131107,38.163972012100025
10,27814.38434635773,166.776450215124,44.44269451552106
11,131351.1956385889,362.4240549944069,51.18434030352985
12,632237.1872329098,795.1334398910096,58.00880036797891
13,3243533.4707940686,1800.9812522050497,65.1101838387752
14,16945270.683159094,4116.46337080255,72.29048510633616
15,80099682.7802563,8949.842612038286,79.03630796145947
16,420731047.6670426,20511.7295142814,86.2400456177441
17,1918738934.1158118,43803.412356982095,92.83015888135242
18,8564428410.08426,92544.1970632641,99.32698383456831
19,39249046767.956154,198113.7218063306,105.93829113604998
20,165281981245.47592,406548.86698338727,112.18225510121941
21,745610701371.8712,863487.5224181709,118.72512132598877
22,3465371683057.565,1861550.8811358246,125.39749822279416
23,16067644648787.254,4008446.6628342774,132.05952218331146
24,76419446879887.45,8741821.714030059,138.83203889962152
25,383800084013126.44,19590816.318191707,145.84105065465718
26,1984603794216585.8,44548892.177208915,152.9767381731561
27,1.0357580127574562e+16,101772197.22288874,160.15258301741403
28,5.638370365025984e+16,237452529.2563965,167.51153599773292
29,2.4866264299627862e+17,498660849.6726795,173.95610545385776
30,1.283474596336981e+18,1132905378.3688118,181.0838727715249
31,5.859346940962451e+18,2420608795.522823,187.6784921401445
32,2.9218140142389973e+19,5405380665.817161,194.6565256780621
33,1.3200060507417711e+20,11489151625.51949,201.20575921961714
34,5.6902776961568657e+20,23854302958.076275,207.55133461292388
35,2.71170475415661e+21,52074031475.93443,214.33242402517766
36,1.4073645928385922e+22,118632398308.32858,221.48406620637485
37,6.3587427231663905e+22,252165475891.65314,228.03371253640708
38,3.019697677954689e+23,549517759308.53125,234.7996346502062
39,1.258667504156927e+24,1121903518203.2932,240.99911019876663
40,5.533498779384641e+24,2352339001798.9844,247.4299981848298
41,2.154452770117507e+25,4641608309753.751,253.33336977931384
42,9.450055893085519e+25,9721139795870.398,259.75434377185115
43,4.40094433604819e+26,20978427815373.082,266.4354587556135
44,2.156742410696691e+27,46440740849998.195,273.33798278485347
45,9.133285778768524e+27,95568225780164.62,279.6062704685195
46,4.443798905834157e+28,210803199829465.53,286.4775439768949
47,2.037913896886549e+29,451432597060352.9,293.0918583084951
48,7.789870119500162e+29,882602408760601.8,298.9153021674129
49,3.5237224122682326e+30,1877158068002860.8,305.4700168873874
50,1.5090340145768593e+31,3884628701146171.5,311.78699029156996
51,5.841090541177383e+31,7642702755686226.0,317.6649393817412
52,2.3764099080692495e+32,1.5415608674552068e+16,323.75921354431307
53,9.97270191030463e+32,3.157958503575471e+16,329.98812837926823
54,4.1217801524040147e+33,6.4201091520347336e+16,336.15084823652785
55,1.91712437397183e+34,1.3846026050718776e+17,342.8265028876617
56,8.656617597245263e+34,2.9422130441634003e+17,349.37348233149226
57,4.286691047891256e+35,6.54728267901368e+17,356.3212218399323
58,2.2224907814373425e+36,1.4908020597776696e+18,363.4683996825679
59,1.0705947685985773e+37,3.271994450787741e+18,370.29625116896915
