t,mse_t,rmse_t,mse_db_t
0,0.9783985402458646,0.9891403036202016,-0.0948420393133644
1,1.8393608117664373,1.3562303682510717,2.6466692944963413
2,5.180696819159882,2.2761144125812045,7.143881775759562
3,12.819105833466919,3.580377889757856,11.078577330506237
4,27.116502630603573,5.2073508265339274,14.332336753802892
5,55.270947660774446,7.434443332272729,17.42496910941767
6,107.54350482637787,10.370318453469878,20.315841859624943
7,239.32206485188144,15.470037648689852,23.789827412446765
8,473.86787354198594,21.768506460985925,26.756572661664066
9,941.730162472321,30.687622300730975,29.739264805667883
10,2119.1774366340455,46.03452439891223,33.26167321281297
11,7171.98880814707,84.68759536170023,38.556396031762915
12,18514.401940196276,136.06763737272826,42.67509687853591
13,59893.28997425735,244.73105641552186,47.77378169795212
14,131629.3473960217,362.8075900474268,51.1935272811699
15,345910.646826851,588.1416894140824,55.38963929423992
16,725159.9251517856,851.5632244007403,58.6043379546988
17,1365204.2278226106,1168.4195427253906,61.351976245503366
18,3052597.93976116,1747.168549328072,64.84669606774325
19,8635496.042384066,2938.621452719636,69.36287289475304
20,27441345.906012874,5238.448807234148,74.38405408245353
21,94269210.11260737,9709.233240200143,79.74369868117032
22,359178985.11762875,18952.01796953635,85.55310918990706
23,1367048731.6537998,36973.622106223236,91.3578399628773
24,4616656677.726246,67945.98352902287,96.64327579010106
25,15624617659.962486,124998.47063049406,101.93809398803305
26,43947766178.28963,209637.22517313005,106.42936805209621
27,133757472211.26132,365728.6866124413,111.26318052745405
28,440135113858.803,663426.7961567448,116.43586017839905
29,1903774038784.946,1379773.1838186109,122.79615400176398
30,9471700149538.295,3077612.735471813,129.76427940913666
31,30665828362869.203,5537673.551489759,134.86654700592536
32,104374667227979.55,10216392.084683299,140.18595103856615
33,383204369130604.2,19575606.48180802,145.83430452072724
34,969205350521733.4,31132063.062407754,149.86415803005346
35,2227309301206042.2,47194377.85590612,153.47780530675576
36,5106882970832433.0,71462458.47179087,157.08155905691052
37,1.2262509927114568e+16,110736217.77501057,160.88579371971232
38,3.2582171815689384e+16,180505323.51066375,165.12980029516183
39,7.271761333182542e+16,269662035.3921282,168.616396164484
40,1.59500009699618e+17,399374523.09782857,172.02760713803798
41,3.4037955863895366e+17,583420567.5487912,175.319634708107
42,9.679973414006668e+17,983868559.006063,179.85874164522644
43,2.527464437450831e+18,1589800125.0002563,184.0268505358944
44,7.90253554765593e+18,2811144882.010874,188.97766458085306
45,2.1765561169319195e+19,4665357560.714848,193.3776986881007
46,6.320350798862954e+19,7950063395.258527,198.00741183627704
47,2.4437605698794874e+20,15632532008.21763,203.88058653176938
48,7.39697385548051e+20,27197378284.460636,208.6905408369574
49,2.29198211484416e+21,47874650023.20289,213.6021122435347
50,7.73900427432699e+21,87971610615.7378,218.88685086524814
51,2.38166998312665e+22,154326601178.3662,223.7688158315999
52,8.687797930443142e+22,294750707046.5335,229.38909711103648
53,2.7397815822292677e+23,523429229431.18756,234.3771594186654
54,1.0262857397502133e+24,1013057619165.965,240.1126829442083
55,3.2779955259703194e+24,1810523550239.079,245.15608356480445
56,1.1862067357958243e+25,3444135211915.793,250.74160385816566
57,5.106323829411874e+25,7145854623074.747,257.0810835313708
58,2.521136774112006e+26,15878087964588.2,264.0159640721188
59,8.985642846821823e+26,29976061860794.562,269.5354915265707
