t,mse_t,rmse_t,mse_db_t
0,1.5287249498826483,1.2364161717976065,1.8432935363101686
1,2.9364518102574237,1.7136078344409562,4.678228780851526
2,5.57488754098121,2.361119975981994,7.462361110342949
3,8.135170048201704,2.8522219493233174,9.10366635358164
4,10.2577867098444,3.202777967615676,10.11053664538601
5,13.434356659626314,3.6652908015089762,11.282168739054686
6,15.845594914395265,3.9806525739375025,11.999085491867083
7,17.693294927650534,4.206339849281146,12.478087167790157
8,21.714028115538056,4.659831339816717,13.367403958209913
9,26.58437339154061,5.156003626020894,14.246264282084686
10,32.93485601864678,5.7388897897282165,15.17655769175927
11,43.2982934976027,6.5801438812234725,16.36470779975094
12,63.71793084973779,7.982351210623208,18.042616642550875
13,88.11830910346313,9.38713529802693,19.450661549099483
14,96.38677385337039,9.817676601588095,19.840174443117785
15,104.33788036780797,10.214591541897697,20.184420097496385
16,98.989863597081,9.949364984614897,19.95590725817402
17,86.50820616637317,9.30097877464373,19.370573065831113
18,74.2634181916553,8.61762253708384,18.707749350276192
19,64.22078620455007,8.013787257255466,18.07675617988623
20,72.23773480288797,8.499278487194543,18.587641191156624
21,105.02705953515637,10.248271051019112,20.213012066202538
22,115.19456328474895,10.732873020992512,20.614319826362355
23,125.18243705809356,11.188495745992558,20.975434021667866
24,102.79412545827681,10.138743781074497,20.119682960410294
25,80.28740317752408,8.960323832179508,19.046474112856806
26,81.82735636334425,9.045847465182256,19.128985204372732
27,65.07054309961363,8.06663145926561,18.133844315099587
28,62.631508478070245,7.914007106268622,17.9679287179731
29,57.15641733260619,7.560186329225371,17.570649986101337
30,63.264703838645275,7.953911228989501,18.011614793157268
31,85.3873934480717,9.240529933292338,19.313937564023743
32,113.52507429542194,10.654814606337453,20.550917947930543
33,104.88776673815126,10.24147287933485,20.20724838546963
34,97.76362889866284,9.887549185650752,19.901773138212924
35,99.98671536666868,9.999335746271782,19.999423017379147
36,129.74281360754478,11.390470297908896,21.1308331182283
37,126.96214152221151,11.26774784605209,21.036742392306884
38,133.31981814369584,11.54642014408344,21.248947125849277
39,147.4016174502507,12.140906780395389,21.685022490987762
40,199.63954582955424,14.129385897113655,23.00246573195974
41,299.24119298251503,17.298589335044493,24.760213774731685
42,469.6097812361018,21.670481795200168,26.717371340075008
43,719.546849582086,26.824370441486337,28.570590760385528
44,745.2323726375055,27.298944533397357,28.72291712236637
45,538.5214102322301,23.206064083170805,27.31202974413707
46,525.5271663286493,22.924379300837117,27.20595171138145
47,573.2485322620556,23.942609136475824,27.583429514415645
48,514.5295945216876,22.683244797023367,27.114103594052096
49,455.95101849191144,21.353009588625007,26.589181901616858
50,440.47503391614663,20.987497085554214,26.439212976749083
51,432.0211898856086,20.785119433999135,26.355050487239428
52,411.50155792006876,20.28550117497886,26.143714837641046
53,389.3015294043224,19.730725516420385,25.902861098844944
54,314.1834993890733,17.725222125239313,24.971833725803098
55,279.17749623172637,16.70860545442756,24.458804080189196
56,290.231594082883,17.036184845289835,24.627446871816648
57,294.5301253115769,17.161880005161933,24.691297221705426
58,297.4078446595141,17.245516653887588,24.733524196244275
59,349.66174061389756,18.699244386175007,25.43648115153767
