t,mse_t,rmse_t,mse_db_t
0,1.0179521270992482,1.008936136283783,0.07727354203582529
1,1.4186215747048485,1.1910590139471884,1.5186656040748971
2,2.0918332862017746,1.4463171457884936,3.2052706940761104
3,2.5942216664865585,1.6106587678607032,4.1400708216399265
4,2.8113645165576613,1.6767124131936464,4.48917159113728
5,2.785568492912625,1.6690022447296544,4.449138415706524
6,2.6648627098617643,1.6324407216991876,4.256748396720424
7,2.5673284086837067,1.6022884910913224,4.094814265041275
8,2.602119304142439,1.6131085841140511,4.153272045787286
9,2.6596369189767586,1.6308393296020176,4.248223528538002
10,2.795674682060047,1.6720271176210173,4.464866334520086
11,2.8913985023413176,1.7004112744690085,4.611079517332474
12,2.877574929756209,1.6963416312041066,4.590266411310109
13,2.7870296070539977,1.6694399081889704,4.451415823164183
14,2.6780037203907265,1.636460729865134,4.278111760158112
15,2.742713004677232,1.656113826002679,4.38180365750383
16,3.026490155488239,1.7396810499307738,4.809392655857298
17,3.51829971178524,1.8757131208650324,5.463328327423231
18,4.156807911595899,2.0388251302149234,6.187599559804945
19,4.902076106127526,2.2140632570293755,6.903800495139065
20,5.642012935015921,2.3752921788731425,7.514340774945687
21,6.472234140874778,2.544058596195217,8.110542200149967
22,7.454332078731998,2.7302622728836874,8.72408735982676
23,8.66679453603493,2.943942006228202,9.378585008532372
24,10.08838045335936,3.176221096422502,10.038214520026735
25,11.8030610146412,3.435558326479293,10.719946521681054
26,13.758257188981192,3.7092124755776923,11.385634236418092
27,15.967468311319688,3.99593146979771,12.032360629397672
28,18.416249222692855,4.291415759710641,12.65201183528761
29,21.261697342732802,4.611040809050903,13.275979317375317
30,24.615123752119818,4.961363094162714,13.912020235224514
31,28.652440808281405,5.352797474992063,14.571616240142806
32,33.59405101909194,5.796037527405421,15.262623774396584
33,39.75309814355771,6.30500580043807,15.993709808973723
34,47.37171276325437,6.882711149195088,16.755190872861764
35,56.55812883336774,7.520513867640146,17.524950328470894
36,67.5233413581899,8.217258749618994,18.294539249908073
37,80.61020940059298,8.978318851577558,19.063900493181198
38,96.09460735479794,9.802785693607605,19.826990165783577
39,114.60465778415066,10.705356499629083,20.592022686684345
40,136.2547706493899,11.672821880307689,21.343517170436076
41,161.7797276139603,12.719266001383897,22.08924099865939
42,191.75478228035936,13.847555101185169,22.827462038704166
43,227.57659726202533,15.08564208981591,23.571275995396654
44,269.1152419069307,16.40473230220264,24.299382956404404
45,319.2081573720725,17.866397436866574,25.040739812263443
46,380.07014147689796,19.495387697527278,25.798637525255703
47,454.38901912371716,21.316402584013026,26.574278275629993
48,544.951194738813,23.344189742606467,27.363576090569502
49,654.3806924285077,25.580865748221026,28.158304769477112
50,787.0990339221366,28.055285311722223,28.960293793476403
51,947.6009308723549,30.78312737316264,29.766254786785538
52,1141.5825446393922,33.787313368176996,30.57507319580357
53,1373.279778461974,37.05778971366174,31.377590251203014
54,1647.5461893091822,40.58997646352092,32.16837598975248
55,1973.1773647894847,44.42046110509756,32.95166124830136
56,2366.0730485374006,48.64229690852808,33.74028148612697
57,2842.8549801435875,53.31843002324419,34.53754706004272
58,3412.960066967305,58.42054490474481,35.33131206884791
59,4094.3828565924614,63.98736481988035,36.121884501318945
